SOL end			Ext		
t	x	y	t	x	y
3.338301043	5.631369846	-0.613569353	3.338301043	5.53693481	2.28670723
3.397913562	5.629661326	-0.613543877	3.397913562	5.536420069	2.286864285
3.45752608	5.620619118	-0.61356343	3.45752608	5.532084999	2.288228207
3.517138599	5.624255196	-0.612354506	3.517138599	5.534352681	2.287705693
3.576751118	5.642865449	-0.610642318	3.576751118	5.537414696	2.287691207
3.636363636	5.645619529	-0.611541649	3.636363636	5.538408212	2.288270732
3.695976155	5.646959108	-0.612082816	3.695976155	5.539376564	2.28807122
3.755588674	5.647060617	-0.612489641	3.755588674	5.541173074	2.287158856
3.815201192	5.643086566	-0.6135165	3.815201192	5.541418154	2.287965623
3.874813711	5.664752645	-0.615851961	3.874813711	5.5414341	2.28813893
3.93442623	5.687642981	-0.61749318	3.93442623	5.540966114	2.287125185
3.994038748	5.690116973	-0.61578553	3.994038748	5.538604087	2.28778744
4.053651267	5.717226162	-0.617006345	4.053651267	5.544954506	2.288141927
4.113263785	5.715132655	-0.617381904	4.113263785	5.541223103	2.286813242
4.172876304	5.708950757	-0.616275785	4.172876304	5.538927066	2.286851061
4.232488823	5.70032094	-0.615458708	4.232488823	5.539067919	2.287793194
4.292101341	5.686097064	-0.614228602	4.292101341	5.535318819	2.286960973
4.35171386	5.659780637	-0.613674435	4.35171386	5.534630359	2.286449515
4.411326379	5.621807584	-0.612676483	4.411326379	5.531535641	2.286357716
4.470938897	5.619458749	-0.613291085	4.470938897	5.531975458	2.287012865
4.530551416	5.621704377	-0.613009202	4.530551416	5.533879399	2.287007837
4.590163934	5.603460297	-0.611055813	4.590163934	5.533281597	2.288066174
4.649776453	5.607160433	-0.612137304	4.649776453	5.536756778	2.288188155
4.709388972	5.573925035	-0.606775398	4.709388972	5.53407162	2.290239657
4.76900149	5.49694762	-0.599623013	4.76900149	5.521375354	2.295037514
4.828614009	5.482771762	-0.598094069	4.828614009	5.530371358	2.293242057
4.888226528	5.468849154	-0.595096072	4.888226528	5.52610536	2.292197276
4.947839046	5.472240625	-0.599079487	4.947839046	5.533836132	2.290921856
5.007451565	5.467604382	-0.599144821	5.007451565	5.533905548	2.289810456
5.067064083	5.466545492	-0.603504687	5.067064083	5.530898248	2.288847239
5.126676602	5.465599765	-0.603915794	5.126676602	5.531511833	2.288359868
5.186289121	5.471795384	-0.608019704	5.186289121	5.532113109	2.288486108
5.245901639	5.467969109	-0.607692473	5.245901639	5.532936255	2.28808358
5.305514158	5.457709799	-0.605653957	5.305514158	5.531859143	2.287967568
5.365126677	5.45388254	-0.606300135	5.365126677	5.528512714	2.287821994
5.424739195	5.420036477	-0.606653828	5.424739195	5.522630551	2.288188902
5.484351714	5.402256829	-0.606040397	5.484351714	5.525217574	2.288384684
5.543964232	5.387455258	-0.605497005	5.543964232	5.523309058	2.287443342
5.603576751	5.404435811	-0.607243907	5.603576751	5.52743603	2.287271874
5.66318927	5.410840646	-0.607037013	5.66318927	5.529162931	2.287287584
5.722801788	5.403899768	-0.605883067	5.722801788	5.527271936	2.28677425
5.782414307	5.406252455	-0.60769863	5.782414307	5.526462802	2.286758247
5.842026826	5.398916237	-0.608239723	5.842026826	5.525940307	2.286830309
5.901639344	5.402061601	-0.609660414	5.901639344	5.531944606	2.287107944
5.961251863	5.398265972	-0.6100382	5.961251863	5.532553891	2.287212094
6.020864382	5.397820041	-0.610142671	6.020864382	5.533722609	2.287351484
6.0804769	5.416529158	-0.611171938	6.0804769	5.533843614	2.286966372
6.140089419	5.416673712	-0.611205843	6.140089419	5.533529394	2.287689302
6.199701937	5.418055882	-0.611624155	6.199701937	5.533995518	2.287192101
6.259314456	5.433997329	-0.611908393	6.259314456	5.534326469	2.286624375
6.318926975	5.433105441	-0.612179255	6.318926975	5.532719187	2.286864051
6.378539493	5.413776245	-0.612375517	6.378539493	5.527183193	2.287589468
6.438152012	5.412678521	-0.612615603	6.438152012	5.530387439	2.28777905
6.497764531	5.408564587	-0.612291466	6.497764531	5.524923972	2.287729674
6.557377049	5.410242892	-0.612507058	6.557377049	5.522907689	2.288121554
6.616989568	5.401267551	-0.611928996	6.616989568	5.516232723	2.287652461
6.676602086	5.401218283	-0.612097425	6.676602086	5.52031714	2.288184285
6.736214605	5.401772641	-0.612554993	6.736214605	5.516104316	2.287449723
6.795827124	5.400450633	-0.613204373	6.795827124	5.520824425	2.287971806
6.855439642	5.405635885	-0.61306394	6.855439642	5.523554298	2.287387435
6.915052161	5.402076562	-0.612855085	6.915052161	5.520597512	2.287774383
6.97466468	5.40138027	-0.612874215	6.97466468	5.51974312	2.287703289
7.034277198	5.39942584	-0.61248687	7.034277198	5.517513985	2.288023074
7.093889717	5.409155358	-0.6135166	7.093889717	5.52448272	2.287605862
7.153502235	5.421670423	-0.614911419	7.153502235	5.529381427	2.287682126
7.213114754	5.428127586	-0.615802009	7.213114754	5.531960024	2.287613294
7.272727273	5.425133367	-0.615858943	7.272727273	5.530660714	2.288147061
7.332339791	5.420055242	-0.615478484	7.332339791	5.533003532	2.288247872
7.39195231	5.409989823	-0.614457649	7.39195231	5.528892866	2.28901073
7.451564829	5.406016244	-0.613858793	7.451564829	5.530232539	2.288262771
7.511177347	5.406740049	-0.613988189	7.511177347	5.531096664	2.288416888
7.570789866	5.402995846	-0.613413423	7.570789866	5.528068265	2.288361979
7.630402385	5.402652089	-0.613166129	7.630402385	5.52858844	2.288133207
7.690014903	5.404030246	-0.613543796	7.690014903	5.529335745	2.288407346
7.749627422	5.402586852	-0.613146267	7.749627422	5.529125552	2.288126164
7.80923994	5.402451784	-0.613309465	7.80923994	5.528974868	2.287574996
7.868852459	5.402821116	-0.612045752	7.868852459	5.52679652	2.288133838
7.928464978	5.40446881	-0.611793589	7.928464978	5.52425223	2.288003626
7.988077496	5.40857484	-0.612417556	7.988077496	5.525699768	2.2881149
8.047690015	5.420767783	-0.613991607	8.047690015	5.530028111	2.288130138
8.107302534	5.420234903	-0.614385109	8.107302534	5.530233728	2.287664769
8.166915052	5.416146149	-0.613669789	8.166915052	5.526768748	2.287771407
8.226527571	5.406639202	-0.613098713	8.226527571	5.524931044	2.287821188
8.286140089	5.412033841	-0.612658824	8.286140089	5.521169311	2.287833009
8.345752608	5.416074559	-0.612170176	8.345752608	5.522604782	2.288010596
8.405365127	5.414292577	-0.612899755	8.405365127	5.52607562	2.287687296
8.464977645	5.412340582	-0.611688985	8.464977645	5.522204725	2.287955072
8.524590164	5.409647172	-0.610761954	8.524590164	5.52375903	2.288126289
8.584202683	5.403808295	-0.601902253	8.584202683	5.524533078	2.288526115
8.643815201	5.390493608	-0.610300365	8.643815201	5.522299184	2.287703968
8.70342772	5.391177825	-0.612329445	8.70342772	5.524618431	2.28690394
8.763040238	5.401318995	-0.612381707	8.763040238	5.525576141	2.286571943
8.822652757	5.39647165	-0.611843467	8.822652757	5.525929791	2.286881281
