"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0.0187	-47.6465	-0.0307164	2.6026	0.00406901	13.7054	-0.131421	0.487461	0.0598235	-1.08081	-12.512	-12.0545	-13.2752	-12.8175	-0.0302194	-63.0236		
0.0193	-55.5965	-0.0307164	1.68817	0.00406901	18.8958	0.173752	0.182798	0.0598235	-1.08081	-12.512	-12.5122	-13.7331	-13.2751	-0.0305408	-63.175		
0.02	-76.6719	-0.0307164	-0.140681	0.00406901	18.5955	0.173752	-0.731192	0.0598235	-1.07468	-12.8175	-12.6648	-14.0382	-13.4276	-0.0313124	-63.4779		
0.0207	-94.0658	-0.0307164	-1.99298	-0.301107	16.751	-0.131421	-0.731192	-0.245368	-1.07468	-12.665	-12.2071	-13.4275	-13.2751	-0.031441	-63.4779		
0.0213	-100.148	-0.0307164	-3.82183	0.00406901	16.4507	0.173752	-0.121865	0.0598235	-1.08081	-12.665	-11.9019	-13.1224	-12.665	-0.0313124	-63.6294		
0.022	-82.4343	0.274452	-4.43145	0.309245	18.2738	0.478925	0.182798	0.364995	-1.08081	-12.665	-12.0545	-12.9701	-12.8175	-0.0308623	-63.175		
0.0227	-57.1438	0.274452	-3.51702	0.309245	20.7189	0.478925	-0.426529	0.364995	-1.07468	-12.97	-12.3596	-13.2752	-13.1225	-0.0302194	-63.0236		
0.0233	-37.2955	0.274452	-3.51702	0.00406901	22.2417	0.173752	-1.94985	0.0598235	-1.07468	-13.733	-12.8174	-13.5803	-12.97	-0.0309909	-63.7808		
0.024	-0.0533555	-0.0307164	-1.99298	0.00406901	20.4186	0.173752	-3.77783	0.0598235	-1.08081	-13.2751	-12.5122	-13.4275	-12.97	-0.0313124	-63.175		
0.0247	38.416	-0.0307164	1.38336	0.00406901	11.8823	0.173752	-3.1685	0.0598235	-1.08081	-12.97	-12.5122	-13.4275	-12.665	-0.0309909	-62.8721		
0.0253	40.5502	-0.0307164	0.164128	0.00406901	3.62474	-0.131421	-0.121865	0.0598235	-1.07468	-13.1225	-12.6648	-13.5803	-12.97	-0.0320839	-63.7808		
0.026	22.8362	-0.0307164	-4.12664	-0.301107	3.94646	-0.436594	1.70612	0.0598235	-1.07468	-12.8175	-12.2071	-13.2752	-12.97	-0.0328555	-63.7808		
0.0267	15.5265	-0.0307164	-5.34587	0.00406901	7.59264	-0.131421	1.40145	0.0598235	-1.08081	-13.1225	-11.9019	-13.1224	-12.512	-0.0323411	-63.175		
0.0273	17.3406	0.274452	-4.73626	0.00406901	6.06982	0.173752	1.09679	0.0598235	-1.07468	-12.665	-12.0545	-13.1224	-12.97	-0.0322125	-62.5692		
0.028	35.9616	0.274452	-3.21221	0.00406901	0.278826	0.173752	1.70612	0.364995	-1.06854	-12.207	-11.7493	-13.1224	-13.1225	-0.0323411	-62.7207		
0.0287	67.0679	-0.0307164	-1.68817	0.00406901	-2.76681	-0.131421	0.792125	0.0598235	-1.07468	-12.665	-11.5967	-12.8173	-12.665	-0.0328555	-63.6294		
0.0293	78.0592	-0.0307164	-0.750298	-0.301107	-2.16626	-0.131421	0.182798	-0.245368	-1.07468	-12.8175	-11.7493	-12.665	-12.665	-0.0333056	-63.9323		
0.03	65.2538	-0.0307164	-0.445489	0.00406901	0.278826	0.173752	1.40145	0.0598235	-1.07468	-12.512	-11.7493	-12.9701	-12.512	-0.0331127	-63.4779		
