Bump_1			mass_A		
t	x	y	t	x	y
0	30.28354175	0.033413249	0	17.43057846	4.436537009
0.059612519	30.28298348	0.033594733	0.059612519	17.42690805	4.436041018
0.119225037	30.28278542	0.033616917	0.119225037	17.42391913	4.436000012
0.178837556	30.28095099	0.03366369	0.178837556	17.42427194	4.436648505
0.238450075	30.25081207	0.039716764	0.238450075	17.41328941	4.43585864
0.298062593	30.21767584	0.082867633	0.298062593	17.31077894	4.434126819
0.357675112	30.03576911	0.110310785	0.357675112	17.29604517	4.436207971
0.41728763	30.03065814	0.170946032	0.41728763	17.2097787	4.427100089
0.476900149	29.88595368	0.244150731	0.476900149	16.97963542	4.414558508
0.536512668	29.64668601	0.283267532	0.536512668	16.73159216	4.408994626
0.596125186	29.33003876	0.299956674	0.596125186	16.5840031	4.403689394
0.655737705	29.17836845	0.283431415	0.655737705	16.43133736	4.390315242
0.715350224	29.04099947	0.288009188	0.715350224	16.28873985	4.386814267
0.774962742	29.11609239	0.279787005	0.774962742	16.24640235	4.384228411
0.834575261	29.21347978	0.275101064	0.834575261	16.23770625	4.384928557
0.894187779	29.32134393	0.273373914	0.894187779	16.23797189	4.385247226
0.953800298	29.43976077	0.276647024	0.953800298	16.24500789	4.385730085
1.013412817	29.47680395	0.279844934	1.013412817	16.24440056	4.386285452
1.073025335	29.42222666	0.292048927	1.073025335	16.25188897	4.387336188
1.132637854	29.36683486	0.302521723	1.132637854	16.25876106	4.388047477
1.192250373	29.40026084	0.291964584	1.192250373	16.26905666	4.387138045
1.251862891	29.54587981	0.278418477	1.251862891	16.28515769	4.385144177
1.31147541	29.55508406	0.281902936	1.31147541	16.27074581	4.385528655
1.371087928	29.59673178	0.285225203	1.371087928	16.27081787	4.385592595
1.430700447	29.60908651	0.291526255	1.430700447	16.26766512	4.386158655
1.490312966	29.60257296	0.294835207	1.490312966	16.2666432	4.386785815
1.549925484	29.61982627	0.293814096	1.549925484	16.26649076	4.386861628
1.609538003	29.64482781	0.290611814	1.609538003	16.26513901	4.386130047
1.669150522	29.67986796	0.292803574	1.669150522	16.26571614	4.386345266
1.72876304	29.70182842	0.293078567	1.72876304	16.26421455	4.385790642
1.788375559	29.6978549	0.296577319	1.788375559	16.25950046	4.384745365
1.847988077	29.70903422	0.294822406	1.847988077	16.25985783	4.384829431
1.907600596	29.7229472	0.295787603	1.907600596	16.26549922	4.38497814
1.967213115	29.7472946	0.299423175	1.967213115	16.26742259	4.385383893
2.026825633	29.75832874	0.300850949	2.026825633	16.26887245	4.386029449
2.086438152	29.76279632	0.302200856	2.086438152	16.26821642	4.385926345
2.146050671	29.77594247	0.299475466	2.146050671	16.26825212	4.38557908
2.205663189	29.8242149	0.299521416	2.205663189	16.27142143	4.386176151
2.265275708	29.89839951	0.297452271	2.265275708	16.28251526	4.387116728
2.324888227	29.96819668	0.294086889	2.324888227	16.28963015	4.387777092
2.384500745	30.02075368	0.299789076	2.384500745	16.29935671	4.386402066
2.444113264	30.0763343	0.294163003	2.444113264	16.34544122	4.387055807
2.503725782	30.11844593	0.298720206	2.503725782	16.36256315	4.387970302
2.563338301	30.15405011	0.300562382	2.563338301	16.36655954	4.388213849
2.62295082	30.11373429	0.272437349	2.62295082	16.36650189	4.388426088
2.682563338	30.14929723	0.252454383	2.682563338	16.36759468	4.388886366
2.742175857	30.19738551	0.245172122	2.742175857	16.39761037	4.389664351
2.801788376	30.26310442	0.239264147	2.801788376	16.45205674	4.391502197
2.861400894	30.31607089	0.231863716	2.861400894	16.50440203	4.392540932
2.921013413	30.31543888	0.207306609	2.921013413	16.53648799	4.393667895
2.980625931	30.42131391	0.175414187	2.980625931	16.62537585	4.39944986
3.04023845	30.4693714	0.175942712	3.04023845	16.68833359	4.406893976
3.099850969	30.54986485	0.168063887	3.099850969	16.76891267	4.40989335
3.159463487	30.59614611	0.16944947	3.159463487	16.8009969	4.40968013
3.219076006	30.60168744	0.173562952	3.219076006	16.81725718	4.410453906
3.278688525	30.62314046	0.179605929	3.278688525	16.86193239	4.413680397
3.338301043	30.6929496	0.178252924	3.338301043	16.88142144	4.413777918
3.397913562	30.74477461	0.175607244	3.397913562	16.88019537	4.412716671
3.45752608	30.76799814	0.184573592	3.45752608	16.88011087	4.412607993
3.517138599	30.78134517	0.195860521	3.517138599	16.86809634	4.412409262
3.576751118	30.76780422	0.203911181	3.576751118	16.86217218	4.412836862
3.636363636	30.75301647	0.209419519	3.636363636	16.85190009	4.412475001
3.695976155	30.77196282	0.205471398	3.695976155	16.84916868	4.411574151
3.755588674	30.80735371	0.193928905	3.755588674	16.84859952	4.4108412
3.815201192	30.84241502	0.19043042	3.815201192	16.85336186	4.410866684
3.874813711	30.77626894	0.205869788	3.874813711	16.84889942	4.410797074
3.93442623	30.7624618	0.210002676	3.93442623	16.84737423	4.410746788
3.994038748	30.76264506	0.210143949	3.994038748	16.84759675	4.411100449
4.053651267	30.76498029	0.21044572	4.053651267	16.84106738	4.411417085
4.113263785	30.76730228	0.209530515	4.113263785	16.83364559	4.410654018
4.172876304	30.79273458	0.198735981	4.172876304	16.83229008	4.410037577
4.232488823	30.81581072	0.188187585	4.232488823	16.83607702	4.408874193
4.292101341	30.84811977	0.189701146	4.292101341	16.83914942	4.408423422
4.35171386	30.88822866	0.185129477	4.35171386	16.84314029	4.408408562
4.411326379	30.91240885	0.188417871	4.411326379	16.84669393	4.408552102
4.470938897	30.92795357	0.195147829	4.470938897	16.84723379	4.409473954
4.530551416	30.9089418	0.204183482	4.530551416	16.84690021	4.410170213
4.590163934	30.90437848	0.207996467	4.590163934	16.84618453	4.410831223
4.649776453	30.85853019	0.209240173	4.649776453	16.84468553	4.410913241
4.709388972	30.82214542	0.210696718	4.709388972	16.84445615	4.411220839
4.76900149	30.78809696	0.214344281	4.76900149	16.84289589	4.410780404
4.828614009	30.76446306	0.219926781	4.828614009	16.84219546	4.411805258
4.888226528	30.65041486	0.21318974	4.888226528	16.83990169	4.41508674
4.947839046	30.54582729	0.215520693	4.947839046	16.84337707	4.416010625
5.007451565	30.5491635	0.254286255	5.007451565	16.852292	4.412742195
5.067064083	30.44307623	0.264887138	5.067064083	16.85828384	4.41269086
5.126676602	30.43342095	0.260015915	5.126676602	16.85554411	4.412829772
5.186289121	30.52199082	0.251966814	5.186289121	16.8514923	4.41119358
5.245901639	30.58872057	0.244561501	5.245901639	16.8536761	4.410078153
5.305514158	30.58413121	0.251948186	5.305514158	16.84761403	4.409744688
5.365126677	30.56815758	0.260354301	5.365126677	16.84432805	4.409734233
5.424739195	30.49086777	0.26656028	5.424739195	16.84319028	4.409871445
5.484351714	30.47414407	0.266942147	5.484351714	16.84193804	4.409998588
5.543964232	30.44969723	0.263319808	5.543964232	16.83953098	4.409752386
5.603576751	30.38777709	0.269748466	5.603576751	16.83744378	4.409521891
5.66318927	30.33464635	0.270748458	5.66318927	16.8354586	4.409401079
5.722801788	30.29162224	0.265621125	5.722801788	16.82697256	4.408936629
5.782414307	30.2580743	0.267285754	5.782414307	16.82304393	4.409758331
5.842026826	30.23255688	0.260116799	5.842026826	16.81880226	4.409502833
5.901639344	30.17333936	0.264156703	5.901639344	16.81195886	4.408725617
