GM fas end			Ext		
3.219076006	3.996239709	1.913753723	3.219076006	6.759518256	8.819450069
3.278688525	4.007816224	1.908653887	3.278688525	6.7600769	8.819556193
3.338301043	4.053384158	1.901849339	3.338301043	6.759053148	8.819385966
3.397913562	4.046445898	1.890495626	3.397913562	6.759054332	8.819834043
3.45752608	4.06205163	1.897162057	3.45752608	6.759703106	8.819475743
3.517138599	4.102079251	1.902619226	3.517138599	6.760758105	8.819257337
3.576751118	4.170119048	1.901452795	3.576751118	6.761680556	8.818706312
3.636363636	4.183868155	1.898337918	3.636363636	6.762370503	8.818703828
3.695976155	4.189210079	1.893405406	3.695976155	6.759660913	8.818866135
3.755588674	4.222667692	1.866094086	3.755588674	6.760547003	8.818804749
3.815201192	4.193634588	1.833135764	3.815201192	6.760630182	8.819215444
3.874813711	4.214990995	1.823141132	3.874813711	6.759440518	8.819545328
3.93442623	4.205390712	1.822923663	3.93442623	6.758168035	8.819208826
3.994038748	4.207260907	1.824756768	3.994038748	6.756142331	8.819016905
4.053651267	4.209707314	1.816661144	4.053651267	6.747564578	8.819646712
4.113263785	4.329441429	1.765959866	4.113263785	6.749677125	8.819669647
4.172876304	4.357173593	1.750924457	4.172876304	6.751325819	8.81957621
4.232488823	4.404498681	1.741910912	4.232488823	6.749501192	8.819769212
4.292101341	4.440576674	1.73149681	4.292101341	6.750777861	8.81947241
4.35171386	4.473003629	1.725449763	4.35171386	6.749437664	8.819470272
4.411326379	4.495630738	1.72394094	4.411326379	6.749200432	8.819520585
4.470938897	4.566156591	1.7138377	4.470938897	6.747841483	8.820254987
4.530551416	4.598456034	1.716421283	4.530551416	6.755951063	8.819813336
4.590163934	4.623676009	1.712995513	4.590163934	6.760637471	8.819551837
4.649776453	4.682953979	1.702982677	4.649776453	6.760716445	8.819605167
4.709388972	4.74833837	1.686840834	4.709388972	6.758146978	8.81975609
4.76900149	4.789589997	1.686379457	4.76900149	6.757234802	8.819850252
4.828614009	4.808964756	1.686675612	4.828614009	6.757407653	8.819576043
4.888226528	4.836553554	1.699067195	4.888226528	6.760463491	8.81925826
4.947839046	4.889292623	1.699879731	4.947839046	6.759005889	8.81979506
5.007451565	4.927574482	1.700260066	5.007451565	6.756995346	8.82000837
5.067064083	4.961637623	1.692502916	5.067064083	6.75777858	8.819168238
5.126676602	5.003791639	1.689026032	5.126676602	6.754123687	8.819702237
5.186289121	5.059231672	1.685977092	5.186289121	6.757709363	8.819075925
5.245901639	5.110838049	1.677718113	5.245901639	6.760680574	8.818845785
5.305514158	5.142937302	1.674891467	5.305514158	6.762767607	8.819075674
5.365126677	5.184746199	1.670292413	5.365126677	6.76548373	8.818855184
5.424739195	5.204197638	1.671725836	5.424739195	6.764264982	8.818944942
5.484351714	5.243448429	1.668726101	5.484351714	6.763913401	8.819194207
5.543964232	5.245614521	1.668079975	5.543964232	6.763640721	8.819545522
5.603576751	5.235038449	1.666331659	5.603576751	6.764683345	8.819403083
5.66318927	5.232680261	1.664290762	5.66318927	6.763922379	8.819658478
5.722801788	5.235232263	1.663083949	5.722801788	6.763638716	8.819411655
5.782414307	5.236382058	1.661290965	5.782414307	6.763206267	8.819582466
5.842026826	5.246887967	1.663220215	5.842026826	6.761345028	8.819767189
5.901639344	5.271953191	1.670452151	5.901639344	6.761055818	8.819737183
5.961251863	5.307567057	1.670674373	5.961251863	6.758976503	8.819931554
6.020864382	5.340473107	1.672722857	6.020864382	6.760191678	8.820065848
6.0804769	5.36839633	1.673755573	6.0804769	6.758628857	8.820203245
6.140089419	5.372476065	1.673145997	6.140089419	6.756495684	8.820746668
6.199701937	5.376045949	1.669585664	6.199701937	6.754785515	8.821100937
6.259314456	5.385259381	1.662966197	6.259314456	6.756410269	8.8208154
6.318926975	5.378813186	1.662086552	6.318926975	6.755272699	8.82121164
6.378539493	5.377693357	1.662973476	6.378539493	6.753858003	8.821470945
6.438152012	5.384820331	1.661129915	6.438152012	6.75519945	8.821057983
6.497764531	5.390223767	1.658979226	6.497764531	6.755868135	8.820971614
6.557377049	5.40533417	1.653151518	6.557377049	6.753311544	8.821465059
6.616989568	5.406557465	1.649777711	6.616989568	6.758085503	8.820615442
6.676602086	5.39699567	1.647142126	6.676602086	6.757424191	8.821023755
6.736214605	5.388757923	1.645510112	6.736214605	6.755507818	8.820945474
6.795827124	5.386426202	1.646017428	6.795827124	6.760545868	8.820406038
6.855439642	5.387374737	1.650175752	6.855439642	6.752865526	8.820427209
6.915052161	5.38978076	1.654764341	6.915052161	6.751839781	8.820543004
6.97466468	5.386259365	1.653768026	6.97466468	6.74746647	8.821287338
7.034277198	5.385366325	1.65446858	7.034277198	6.731138121	8.823444929
7.093889717	5.382057669	1.651797751	7.093889717	6.730360134	8.823311602
7.153502235	5.386641808	1.643232452	7.153502235	6.726323135	8.823014612
7.213114754	5.38564047	1.641204895	7.213114754	6.680098025	8.826541939
7.272727273	5.385173438	1.644506275	7.272727273	6.66805701	8.82675855
7.332339791	5.380779542	1.633762762	7.332339791	6.654647697	8.828099252
7.39195231	5.382486898	1.647536505	7.39195231	6.655487437	8.828560454
7.451564829	5.406139419	1.651587568	7.451564829	6.6230354	8.830775564
7.511177347	5.452620488	1.65091113	7.511177347	6.612402198	8.831422664
7.570789866	5.493280677	1.649790305	7.570789866	6.612812803	8.831257438
7.630402385	5.497782704	1.643845462	7.630402385	6.611468121	8.831364407
7.690014903	5.498756142	1.641691539	7.690014903	6.604789826	8.831995676
7.749627422	5.511326078	1.637027721	7.749627422	6.59773195	8.832004506
7.80923994	5.513815772	1.642053152	7.80923994	6.589504358	8.832751923
7.868852459	5.525999531	1.648025566	7.868852459	6.583378678	8.833277529
7.928464978	5.529842679	1.651764926	7.928464978	6.585700407	8.833753975
7.988077496	5.533641509	1.653227862	7.988077496	6.590135347	8.833456393
8.047690015	5.530155265	1.651076888	8.047690015	6.592715731	8.833181777
8.107302534	5.527347015	1.650476016	8.107302534	6.585599007	8.834168034
8.166915052	5.524351066	1.650661937	8.166915052	6.576019808	8.833317363
8.226527571	5.519453036	1.649277419	8.226527571	6.532387134	8.837582626
8.286140089	5.496851148	1.645463623	8.286140089	6.508066028	8.839165202
8.345752608	5.494531676	1.650980724	8.345752608	6.540896612	8.837201714
8.405365127	5.506347445	1.646697125	8.405365127	6.539271136	8.837172042
8.464977645	5.51819741	1.645424645	8.464977645	6.53583304	8.838056473
8.524590164	5.46599847	1.635232462	8.524590164	6.539117487	8.83773761
8.584202683	5.465819568	1.616431773	8.584202683	6.552327168	8.837410662
8.643815201	5.381540605	1.59601224	8.643815201	6.536607445	8.838812392
8.70342772	5.326076649	1.606295632	8.70342772	6.52833541	8.838451448
8.763040238	5.256302336	1.601955203	8.763040238	6.517009204	8.839051
8.822652757	5.225403945	1.603771634	8.822652757	6.523600963	8.83753546
8.882265276	5.220865675	1.599568885	8.882265276	6.514987131	8.839995379
8.941877794	5.205575351	1.597928681	8.941877794	6.511846983	8.841502565
9.001490313	5.208248325	1.60347596	9.001490313	6.44811345	8.846462724
9.061102832	5.204599608	1.601491976	9.061102832	6.433565094	8.84745425
9.12071535	5.196437274	1.607015071	9.12071535	6.421490363	8.846170737
9.180327869	5.224162733	1.617673133	9.180327869	6.396946985	8.8474713
9.239940387	5.244983665	1.620679028	9.239940387	6.418681162	8.844367238
9.299552906	5.240366234	1.608108995	9.299552906	6.406450326	8.846340011
9.359165425	5.254634829	1.602152965	9.359165425	6.397113936	8.84747912
9.418777943	5.288783836	1.590583981	9.418777943	6.394236161	8.847718708
9.478390462	5.296860268	1.583918514	9.478390462	6.390091346	8.848675644
9.538002981	5.317594932	1.57923141	9.538002981	6.385523332	8.848852661
9.597615499	5.304295833	1.580609878	9.597615499	6.384492358	8.849461266
9.657228018	5.312465644	1.588874119	9.657228018	6.377091981	8.850112629
9.716840537	5.328530128	1.594000153	9.716840537	6.375389877	8.850469897
9.776453055	5.371085525	1.594263535	9.776453055	6.377096223	8.85039363
9.836065574	5.417578647	1.595253312	9.836065574	6.37821886	8.85048642
9.895678092	5.460488189	1.593342215	9.895678092	6.37467454	8.850796561
9.955290611	5.451849198	1.586448329	9.955290611	6.375632389	8.851264989
10.01490313	5.439727064	1.580386362	10.01490313	6.373291262	8.851983508
10.07451565	5.457972148	1.579635283	10.07451565	6.379379616	8.851232236
10.13412817	5.469912501	1.577867509	10.13412817	6.377481795	8.85093656
10.19374069	5.505357755	1.575538012	10.19374069	6.376351742	8.850729806
10.2533532	5.516575153	1.570434836	10.2533532	6.380465653	8.850210326
10.31296572	5.508720782	1.564097908	10.31296572	6.38085866	8.84969124
10.37257824	5.503696033	1.554770226	10.37257824	6.381262183	8.849493344
10.43219076	5.506509866	1.554831329	10.43219076	6.381588798	8.850068918
10.49180328	5.509388606	1.559275082	10.49180328	6.380624838	8.85079147
10.5514158	5.506758251	1.562183614	10.5514158	6.380027497	8.850652171
10.61102832	5.516375918	1.563368085	10.61102832	6.376021694	8.85108015
10.67064083	5.519833651	1.563804166	10.67064083	6.37902681	8.850681164
10.73025335	5.514155216	1.565022792	10.73025335	6.373099333	8.85108121
10.78986587	5.530227712	1.569228631	10.78986587	6.375245196	8.851052943
10.84947839	5.531354916	1.569880042	10.84947839	6.373634872	8.850925921
10.90909091	5.530482676	1.569924119	10.90909091	6.374592402	8.850786535
10.96870343	5.537203624	1.573041561	10.96870343	6.372310774	8.85048908
11.02831595	5.549239275	1.571942007	11.02831595	6.373609361	8.850608488
11.08792846	5.629741662	1.566230488	11.08792846	6.375204216	8.850387439
11.14754098	5.643491746	1.558592074	11.14754098	6.375088591	8.850730026
11.2071535	5.660757064	1.555184938	11.2071535	6.375324092	8.850860749
11.26676602	5.679597754	1.553550165	11.26676602	6.377644085	8.850837771
11.32637854	5.69561041	1.553779031	11.32637854	6.378540854	8.85074792
11.38599106	5.686809524	1.55674397	11.38599106	6.377894695	8.850704559
11.44560358	5.680393805	1.558848716	11.44560358	6.378474202	8.850970797
11.5052161	5.685695497	1.560473833	11.5052161	6.376957943	8.850841231
11.56482861	5.713334744	1.554560172	11.56482861	6.379897986	8.850609858
11.62444113	5.739709414	1.551387682	11.62444113	6.382628466	8.850430975
11.68405365	5.756066499	1.551676182	11.68405365	6.378711595	8.850861645
11.74366617	5.757198365	1.55533486	11.74366617	6.377394141	8.851063822
11.80327869	5.752735271	1.553566617	11.80327869	6.377814719	8.85122927
11.86289121	5.743990122	1.552889548	11.86289121	6.373418279	8.851629535
11.92250373	5.743160247	1.551037133	11.92250373	6.37296497	8.851859767
11.98211624	5.741995654	1.543302119	11.98211624	6.375103494	8.851421926
12.04172876	5.7382832	1.531031784	12.04172876	6.376624738	8.85143093
12.10134128	5.75395767	1.506574197	12.10134128	6.375340727	8.852188418
12.1609538	5.744373677	1.488947426	12.1609538	6.374049372	8.852414806
12.22056632	5.732169016	1.474524171	12.22056632	6.370814675	8.852958122
12.28017884	5.740608605	1.437510505	12.28017884	6.373423044	8.852911898
12.33979136	5.717444314	1.412790746	12.33979136	6.378801157	8.85388247
12.39940387	5.717138362	1.403608695	12.39940387	6.388727873	8.853209366
12.45901639	5.707390902	1.388653396	12.45901639	6.386611185	8.85379154
12.51862891	5.717866844	1.386290877	12.51862891	6.382758183	8.853452439
12.57824143	5.727615718	1.391855162	12.57824143	6.37834785	8.853079688
12.63785395	5.712397871	1.38887524	12.63785395	6.374460132	8.853164228
12.69746647	5.713355104	1.389593219	12.69746647	6.369882224	8.852644936
12.75707899	5.710050264	1.39647206	12.75707899	6.364700123	8.852662387
12.81669151	5.710277106	1.403917896	12.81669151	6.355993919	8.853165888
12.87630402	5.725064927	1.40902273	12.87630402	6.368233669	8.852292338
12.93591654	5.720320321	1.410271799	12.93591654	6.372676603	8.851922686
12.99552906	5.723065419	1.407956564	12.99552906	6.38160617	8.851413439
13.05514158	5.72000849	1.405688856	13.05514158	6.380642876	8.85100781
13.1147541	5.737468844	1.403498339	13.1147541	6.379433219	8.851174544
13.17436662	5.733144432	1.398145351	13.17436662	6.375631017	8.851215189
13.23397914	5.735293889	1.394098712	13.23397914	6.367865282	8.85169567
13.29359165	5.808113027	1.352602541	13.29359165	6.358571474	8.852608945
13.35320417	5.761825791	1.339907438	13.35320417	6.364562229	8.852489012
13.41281669	5.719824871	1.334735286	13.41281669	6.369471707	8.851497562
13.47242921	5.717868094	1.332911545	13.47242921	6.374113977	8.849968345
13.53204173	5.709564915	1.332949564	13.53204173	6.372427191	8.850218672
13.59165425	5.705464213	1.326024945	13.59165425	6.36862207	8.850926127
13.65126677	5.673479307	1.323394308	13.65126677	6.36883436	8.851603487
13.71087928	5.608282913	1.320873208	13.71087928	6.380528181	8.850449626
13.7704918	5.546273729	1.320663818	13.7704918	6.39326948	8.849357954
13.83010432	5.517521963	1.298168646	13.83010432	6.404611633	8.847227062
13.88971684	5.493407547	1.287204944	13.88971684	6.395085048	8.848832191
13.94932936	5.472548441	1.282707338	13.94932936	6.377673578	8.8507571
14.00894188	5.432440135	1.282040547	14.00894188	6.36112498	8.85174941
14.0685544	5.366779148	1.286004031	14.0685544	6.311578726	8.854218173
14.12816692	5.285308334	1.294416759	14.12816692	6.275522299	8.857621324
14.18777943	5.266144048	1.296482154	14.18777943	6.245091755	8.859558106
14.24739195	5.283888833	1.299810821	14.24739195	6.214319423	8.861635694
14.30700447	5.269121472	1.293848421	14.30700447	6.238993364	8.859090778
14.36661699	5.249236624	1.288683232	14.36661699	6.233144514	8.861530441
14.42622951	5.138930495	1.299308858	14.42622951	6.244313466	8.860686892
14.48584203	5.111018692	1.309376281	14.48584203	6.241522234	8.860088875
14.54545455	5.112537176	1.306699952	14.54545455	6.244408183	8.858883233
14.60506706	5.116578022	1.305853476	14.60506706	6.236162297	8.859660742
14.66467958	5.069838299	1.305658045	14.66467958	6.239841834	8.859514118
14.7242921	5.00249906	1.307825795	14.7242921	6.244052526	8.860445829
14.78390462	4.98740057	1.311638771	14.78390462	6.24437491	8.860202222
14.84351714	4.982805835	1.313306116	14.84351714	6.24465096	8.860282426
14.90312966	4.966559307	1.312893625	14.90312966	6.243558299	8.860070853
14.96274218	4.871109637	1.324751861	14.96274218	6.243282791	8.859604784
15.02235469	4.88735135	1.328667284	15.02235469	6.24027526	8.860029969
15.08196721	4.90409857	1.329499655	15.08196721	6.239169281	8.860105744
15.14157973	4.905215761	1.329466311	15.14157973	6.237340989	8.860537216
15.20119225	4.910492229	1.327205193	15.20119225	6.237059561	8.86037534
15.26080477	4.93277042	1.326129487	15.26080477	6.237765615	8.860552936
15.32041729	4.973687678	1.317629266	15.32041729	6.234120683	8.860864051
15.38002981	4.990588173	1.313659863	15.38002981	6.238743574	8.86028376
15.43964232	4.994932441	1.313542607	15.43964232	6.237805277	8.860338647
15.49925484	4.972256927	1.3132598	15.49925484	6.235610858	8.860411339
15.55886736	4.977131087	1.315442249	15.55886736	6.236398464	8.860653466
15.61847988	4.983113084	1.317357596	15.61847988	6.235959761	8.860526884
15.6780924	4.983029688	1.314323298	15.6780924	6.241025808	8.860337475
15.73770492	4.966583153	1.312366936	15.73770492	6.238064441	8.860667591
15.79731744	4.967160563	1.313160082	15.79731744	6.235909848	8.860834631
15.85692996	4.973764893	1.31511357	15.85692996	6.239210885	8.860591837
15.91654247	4.964343031	1.315065254	15.91654247	6.236939912	8.861060489
15.97615499	4.949012361	1.314244534	15.97615499	6.23543513	8.861193041
16.03576751	4.94626937	1.316931579	16.03576751	6.236140946	8.860778437
16.09538003	4.942570966	1.317340668	16.09538003	6.238756549	8.860141829
16.15499255	4.954632878	1.319397939	16.15499255	6.23874417	8.860338947
16.21460507	4.949816385	1.317223672	16.21460507	6.233769772	8.861109568
16.27421759	4.94862587	1.313155655	16.27421759	6.239439465	8.861330714
16.3338301	4.923623494	1.316592539	16.3338301	6.237232777	8.861602942
16.39344262	4.843865722	1.318819287	16.39344262	6.23330134	8.861507426
16.45305514	4.821468973	1.32038008	16.45305514	6.237201673	8.861605928
16.51266766	4.796188183	1.322087036	16.51266766	6.243981612	8.860540028
16.57228018	4.774108837	1.319543378	16.57228018	6.263934963	8.858868625
16.6318927	4.736228138	1.314243723	16.6318927	6.251018906	8.85982492
16.69150522	4.73693224	1.305050312	16.69150522	6.234535792	8.861408768
16.75111773	4.725783492	1.305354336	16.75111773	6.213566182	8.862814848
16.81073025	4.73285058	1.294206735	16.81073025	6.215814108	8.863135284
16.87034277	4.724439473	1.274078284	16.87034277	6.234321213	8.861260683
16.92995529	4.722524889	1.267918	16.92995529	6.247021457	8.859544086
16.98956781	4.716153909	1.264414099	16.98956781	6.244900747	8.859483987
17.04918033	4.733324221	1.265270086	17.04918033	6.241017718	8.859578578
17.10879285	4.746863659	1.274384365	17.10879285	6.239926214	8.860279026
17.16840537	4.765178261	1.271245887	17.16840537	6.229833366	8.861155702
17.22801788	4.777565835	1.268534132	17.22801788	6.233572066	8.860896349
17.2876304	4.797594825	1.266056513	17.2876304	6.238006522	8.860500899
17.34724292	4.885258745	1.266858602	17.34724292	6.238388918	8.860466751
17.40685544	4.919643885	1.270375735	17.40685544	6.227267032	8.861620119
17.46646796	4.910713629	1.272078685	17.46646796	6.220868658	8.862167283
17.52608048	4.89973192	1.282378605	17.52608048	6.216389043	8.861776642
17.585693	4.75399593	1.309683651	17.585693	6.211108762	8.862745888
17.64530551	4.781617337	1.330146436	17.64530551	6.223805004	8.86195874
17.70491803	4.853444583	1.336126236	17.70491803	6.226649913	8.86155911
17.76453055	4.873148264	1.335142958	17.76453055	6.222482379	8.861680771
17.82414307	4.909915706	1.332878742	17.82414307	6.208738001	8.861968411
17.88375559	4.941712738	1.329964523	17.88375559	6.203919688	8.862387643
17.94336811	4.98374435	1.324649814	17.94336811	6.215505171	8.86138419
18.00298063	4.960447304	1.321048766	18.00298063	6.224997097	8.860849937
18.06259314	4.958460322	1.318176938	18.06259314	6.231764334	8.860688034
18.12220566	4.959090095	1.319858635	18.12220566	6.230883247	8.861040886
18.18181818	4.953534463	1.318857052	18.18181818	6.231050199	8.861136043
18.2414307	4.961225784	1.321101948	18.2414307	6.231197706	8.861120784
18.30104322	4.975619872	1.319963276	18.30104322	6.231722703	8.860802801
18.36065574	4.980139966	1.317385902	18.36065574	6.234534359	8.860851645
18.42026826	4.972061223	1.316909947	18.42026826	6.235896726	8.860701469
18.47988077	4.967882038	1.314044465	18.47988077	6.235825481	8.860860058
18.53949329	4.965088666	1.314308209	18.53949329	6.2363255	8.860988251
18.59910581	4.965200146	1.314753679	18.59910581	6.235881203	8.860934255
18.65871833	4.951944732	1.317414886	18.65871833	6.233179429	8.860641986
18.71833085	4.950287725	1.320025952	18.71833085	6.23260442	8.860480709
18.77794337	4.941341952	1.322407989	18.77794337	6.226539102	8.860850291
18.83755589	4.940321932	1.323456671	18.83755589	6.223613106	8.860827125
18.89716841	4.963733335	1.325816792	18.89716841	6.22326618	8.860647338
18.95678092	4.979376504	1.329447076	18.95678092	6.223585325	8.860841965
19.01639344	4.984287663	1.333944639	19.01639344	6.21474527	8.861311914
19.07600596	4.977057015	1.3287696	19.07600596	6.225627547	8.86104515
19.13561848	4.97176675	1.324706736	19.13561848	6.232488209	8.860706704
19.195231	4.965308816	1.322540732	19.195231	6.239627606	8.860057134
19.25484352	4.966645384	1.320203846	19.25484352	6.239055088	8.860105615
19.31445604	4.967838465	1.320380012	19.31445604	6.238677115	8.859786341
19.37406855	4.977399996	1.322116676	19.37406855	6.238756508	8.859717838
19.43368107	4.961879708	1.317314459	19.43368107	6.237098723	8.860152366
19.49329359	4.955364357	1.313693994	19.49329359	6.238316124	8.860200994
19.55290611	4.960073111	1.313753276	19.55290611	6.239819928	8.860261825
19.61251863	4.961029691	1.313672291	19.61251863	6.23807505	8.860361077
19.67213115	4.966034609	1.31511402	19.67213115	6.239400739	8.86026636
19.73174367	4.967672319	1.315800416	19.73174367	6.241516341	8.860178331
19.79135618	4.961717537	1.313480625	19.79135618	6.240700098	8.860399436
19.8509687	4.962377504	1.31100912	19.8509687	6.241063093	8.8601689
19.91058122	4.960581612	1.310475977	19.91058122	6.239327835	8.86030312
19.97019374	4.961314024	1.312851967	19.97019374	6.239352057	8.8604418
20.02980626	4.970858378	1.317138033	20.02980626	6.239223883	8.860282428
20.08941878	4.97710707	1.317821199	20.08941878	6.239122956	8.860423824
20.1490313	4.986492922	1.320594018	20.1490313	6.238706676	8.860347453
20.20864382	4.989010679	1.320411358	20.20864382	6.236939832	8.860533921
20.26825633	5.069812585	1.318018879	20.26825633	6.241050706	8.860188096
20.32786885	5.106772639	1.316059476	20.32786885	6.242822011	8.860202255
20.38748137	5.1353468	1.316744222	20.38748137	6.240960884	8.860033669
20.44709389	5.148818071	1.315784956	20.44709389	6.24381908	8.860034812
20.50670641	5.130665423	1.30819905	20.50670641	6.242134244	8.860192432
20.56631893	5.126766618	1.30541897	20.56631893	6.242409306	8.860136036
20.62593145	5.128100166	1.307070912	20.62593145	6.24289555	8.860155572
20.68554396	5.140405315	1.308126779	20.68554396	6.24138697	8.86038657
20.74515648	5.150808849	1.311454864	20.74515648	6.24201044	8.860314744
20.804769	5.153436309	1.312104958	20.804769	6.241287906	8.860318993
20.86438152	5.140050886	1.309790812	20.86438152	6.238664277	8.860570278
20.92399404	5.13173239	1.307585766	20.92399404	6.238781058	8.860685179
20.98360656	5.13142666	1.306334989	20.98360656	6.24007242	8.860679291
21.04321908	5.124256408	1.306437253	21.04321908	6.239309788	8.860679213
21.10283159	5.119997525	1.304972416	21.10283159	6.238198899	8.86081777
21.16244411	5.103816723	1.302689482	21.16244411	6.239535032	8.860847419
21.22205663	5.110696355	1.304234275	21.22205663	6.238816452	8.86069623
21.28166915	5.111913112	1.305280576	21.28166915	6.239652504	8.860581597
21.34128167	5.113561838	1.302927051	21.34128167	6.23804763	8.860657556
21.40089419	5.12000585	1.304981297	21.40089419	6.239160611	8.86065605
21.46050671	5.110588537	1.299942834	21.46050671	6.239135879	8.860768735
21.52011923	5.088085959	1.288276028	21.52011923	6.239548463	8.860715661
21.57973174	5.072766335	1.285925134	21.57973174	6.240351246	8.86062619
21.63934426	5.039953266	1.290682259	21.63934426	6.241428051	8.860612448
21.69895678	5.028668937	1.282227324	21.69895678	6.240790138	8.860761047
21.7585693	5.02953553	1.283159033	21.7585693	6.240982402	8.861014224
21.81818182	5.052741508	1.267360511	21.81818182	6.237765198	8.86154052
21.87779434	5.026135375	1.246399429	21.87779434	6.236953378	8.862095225
21.93740686	5.013103495	1.235111971	21.93740686	6.226211195	8.863193932
21.99701937	4.969704272	1.235696625	21.99701937	6.224120684	8.863183351
22.05663189	4.914155758	1.244635991	22.05663189	6.215431201	8.863730066
22.11624441	4.849968399	1.24512036	22.11624441	6.215803928	8.862541749
22.17585693	4.813112241	1.240870805	22.17585693	6.230144006	8.860956079
22.23546945	4.797395255	1.249599017	22.23546945	6.234250948	8.86070036
22.29508197	4.798702377	1.243518402	22.29508197	6.231071313	8.860704793
22.35469449	4.795918143	1.237015082	22.35469449	6.227744482	8.861124589
22.414307	4.787537926	1.226553979	22.414307	6.22572522	8.86108197
22.47391952	4.806639276	1.213892279	22.47391952	6.229570382	8.860285502
22.53353204	4.787592228	1.187162914	22.53353204	6.227065995	8.860424429
22.59314456	4.785042929	1.187014692	22.59314456	6.228075096	8.860759055
22.65275708	4.776917842	1.190297659	22.65275708	6.233038754	8.860770374
22.7123696	4.790819879	1.1919616	22.7123696	6.235157596	8.860916657
22.77198212	4.764487943	1.241134892	22.77198212	6.238694673	8.86045301
22.83159463	4.758451831	1.264722927	22.83159463	6.242081647	8.860008576
22.89120715	4.81196585	1.268326292	22.89120715	6.243674397	8.859807331
22.95081967	4.938057024	1.259472293	22.95081967	6.255607591	8.857870996
