GM fas end			Ext		
t	x	y	t	x	y
0	1.574158315	2.115414767	0	6.764465373	8.819850781
0.059612519	1.600328068	2.11285769	0.059612519	6.766047532	8.818537667
0.119225037	1.706246005	2.102977894	0.119225037	6.767115329	8.818286076
0.178837556	1.750686146	2.097302177	0.178837556	6.768096248	8.817991729
0.238450075	1.854578738	2.090583792	0.238450075	6.768976997	8.818015837
0.298062593	1.899868179	2.08710459	0.298062593	6.772385865	8.817932468
0.357675112	1.909316811	2.089580473	0.357675112	6.770491388	8.81793153
0.41728763	1.961058027	2.085933294	0.41728763	6.775277908	8.817555401
0.476900149	2.015888012	2.078835701	0.476900149	6.77350243	8.817909382
0.536512668	2.048933347	2.074683835	0.536512668	6.771938442	8.818473125
0.596125186	2.065949403	2.075834039	0.596125186	6.76977291	8.818640302
0.655737705	2.140165368	2.069754611	0.655737705	6.765745525	8.819030126
0.715350224	2.222617461	2.059593484	0.715350224	6.765508747	8.819060122
0.774962742	2.279027253	2.061637169	0.774962742	6.763970603	8.81873839
0.834575261	2.328739161	2.060170358	0.834575261	6.764183097	8.818871541
0.894187779	2.417785399	2.057818003	0.894187779	6.765713603	8.818596827
0.953800298	2.452183726	2.05394472	0.953800298	6.766927081	8.818915967
1.013412817	2.497390125	2.048301662	1.013412817	6.769843737	8.818521745
1.073025335	2.5033196	2.051678146	1.073025335	6.766059265	8.818790697
1.132637854	2.507611532	2.047743669	1.132637854	6.7660839	8.81868339
1.192250373	2.57170566	2.03645743	1.192250373	6.764755258	8.81863826
1.251862891	2.595075701	2.032278661	1.251862891	6.769671006	8.818053665
1.31147541	2.636406407	2.032886305	1.31147541	6.777586721	8.817279927
1.371087928	2.688187388	2.026872514	1.371087928	6.777155927	8.817853797
1.430700447	2.74824581	2.02127039	1.430700447	6.777530692	8.817751122
1.490312966	2.802975285	2.015940384	1.490312966	6.772342464	8.818779031
1.549925484	2.88185853	2.007569478	1.549925484	6.771068791	8.818888622
1.609538003	2.92580773	1.998606868	1.609538003	6.766348536	8.819178443
1.669150522	2.940550583	1.999736383	1.669150522	6.767373837	8.819090312
1.72876304	2.952148443	1.999495721	1.72876304	6.763936211	8.819416427
1.788375559	3.042774027	1.984384477	1.788375559	6.764504915	8.818994476
1.847988077	3.075505624	1.977581112	1.847988077	6.764127651	8.819215862
1.907600596	3.100180117	1.972579751	1.907600596	6.764448643	8.819143562
1.967213115	3.143001343	1.963948242	1.967213115	6.765467757	8.818968154
2.026825633	3.174548133	1.958337034	2.026825633	6.765801191	8.818964278
2.086438152	3.175920632	1.964127984	2.086438152	6.763419536	8.818998133
2.146050671	3.183508193	1.972317109	2.146050671	6.761614583	8.819090497
2.205663189	3.239001421	1.975631675	2.205663189	6.759573722	8.819256962
2.265275708	3.311830077	1.97793488	2.265275708	6.75594234	8.818857592
2.324888227	3.356253455	1.975652757	2.324888227	6.757251829	8.818471013
2.384500745	3.429869582	1.968689923	2.384500745	6.757944148	8.818758978
2.444113264	3.496417825	1.96028821	2.444113264	6.760137168	8.818721426
2.503725782	3.552032362	1.951966168	2.503725782	6.761223317	8.818857333
2.563338301	3.608120189	1.944767561	2.563338301	6.762027452	8.818986182
2.62295082	3.61961543	1.945578198	2.62295082	6.761496462	8.819360992
2.682563338	3.664447631	1.944350125	2.682563338	6.760139018	8.819480442
2.742175857	3.715337271	1.940096896	2.742175857	6.759688802	8.819707974
2.801788376	3.767652816	1.93622467	2.801788376	6.758830106	8.819757644
2.861400894	3.825933371	1.927480979	2.861400894	6.758126405	8.81987031
2.921013413	3.82913618	1.923346386	2.921013413	6.758396374	8.819831659
2.980625931	3.878449562	1.913170876	2.980625931	6.761275474	8.819498972
3.04023845	3.931309236	1.910755629	3.04023845	6.762720778	8.8194307
3.099850969	3.964541996	1.910860425	3.099850969	6.762236826	8.819364999
3.159463487	3.99324039	1.914216915	3.159463487	6.760358727	8.819476204
