"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	0.215455	-1.54951	0.326326	0.827773	0.286245	-7.39731	0.208729	0.911964	0.566551	-60.5771	-59.8142	-60.883	-61.035	-0.0275882	-74.4734		
0.0007	0.215455	-0.324316	0.0211615	-1.30437	0.286245	-36.0853	0.208729	0.911964	0.566551	-59.509	-58.5935	-59.6613	-59.6613	-0.0261102	-56.2935		
0.0013	0.215455	0.576561	0.0211615	-1.30437	0.286245	-40.366	0.208729	0.605601	0.566551	-58.1365	-57.984	-58.5935	-58.4415	-0.0250428	-43.7801		
0.002	-0.0897204	-0.324316	-0.284023	-2.23248	-0.0189079	-28.7631	-0.0964402	-0.919089	0.572707	-58.1365	-58.1364	-58.7455	-58.5935	-0.0252891	-56.4621		
0.0027	-0.0897204	0.864842	0.0211615	-4.66563	-0.0189079	-24.4825	-0.0964402	-1.83818	0.566551	-58.7471	-58.2887	-59.0514	-58.7455	-0.0256176	-52.1786		
0.0033	0.215455	0.864842	0.326326	-4.06361	-0.0189079	-28.1623	0.208729	-1.22545	0.572707	-59.2046	-58.7458	-59.3573	-59.0514	-0.0257818	-52.3472		
0.004	-0.0897204	-1.26123	0.0211615	-2.53349	-0.0189079	-26.6228	0.208729	0.299238	0.572707	-58.7471	-58.4411	-58.8994	-59.0514	-0.0254534	-52.6508		
0.0047	-0.0897204	-0.936912	0.0211615	-4.96664	-0.0189079	-18.3994	0.208729	1.52469	0.572707	-58.2877	-57.984	-58.4415	-58.7455	-0.0250428	-52.6508		
0.0053	-0.0897204	-0.324316	0.0211615	-6.79777	0.286245	-11.0772	0.208729	1.21833	0.566551	-58.2877	-57.8317	-58.7455	-58.7455	-0.025207	-52.6508		
0.006	-0.0897204	-1.54951	0.0211615	-1.00336	-0.0189079	-6.49611	-0.0964402	0.299238	0.572707	-58.4409	-57.5251	-58.7455	-58.5935	-0.0248786	-52.1786		
0.0067	-0.0897204	-1.54951	0.0211615	3.88802	-0.0189079	1.46444	-0.0964402	-0.00712472	0.572707	-58.4409	-57.6774	-58.5935	-58.2894	-0.0247144	-52.0437		
0.0073	-0.0897204	-0.648632	0.0211615	0.526764	-0.0189079	7.24711	0.208729	-0.00712472	0.566551	-58.2877	-57.8317	-58.5935	-58.4415	-0.0247144	-52.1786		
0.008	-0.0897204	-0.648632	0.0211615	-4.96664	0.286245	11.5278	0.208729	-0.919089	0.560642	-58.1365	-57.6774	-58.4415	-58.2894	-0.0245502	-52.3472		
0.0087	-0.0897204	-0.648632	0.0211615	-8.6289	-0.0189079	18.5496	-0.0964402	-1.22545	0.566551	-58.1365	-57.8317	-58.4415	-58.2894	-0.0247144	-52.3472		
0.0093	-0.0897204	-0.936912	0.0211615	-10.159	-0.324088	24.6327	-0.0964402	-2.75014	0.572707	-58.4409	-57.8317	-58.7455	-59.0514	-0.025207	-52.7857		
0.01	-0.0897204	-1.54951	0.0211615	-5.59374	-0.0189079	22.1919	-0.0964402	-4.88756	0.566551	-58.594	-57.984	-58.8994	-59.0514	-0.0252891	-52.9543		
0.0107	0.215455	-0.0360351	0.0211615	-1.00336	-0.0189079	-0.0750996	0.208729	-3.0565	0.566551	-58.4409	-57.984	-58.7455	-58.5935	-0.025207	-52.6508		
0.0113	-0.0897204	0.864842	0.0211615	-2.23248	0.286245	-27.8619	0.208729	0.605601	0.566551	-59.0515	-58.4411	-59.6613	-59.0514	-0.0263565	-53.2579		
0.012	-0.0897204	1.18916	0.0211615	-4.96664	0.286245	-27.2236	-0.0964402	0.299238	0.572707	-59.6621	-59.0524	-59.9672	-59.5093	-0.0270134	-53.6964		
0.0127	0.215455	1.47744	0.0211615	-1.30437	-0.0189079	-9.53764	-0.0964402	-1.53181	0.572707	-59.0515	-58.4411	-58.8994	-59.0514	-0.0261102	-53.2579		
0.0133	-0.0897204	-0.0360351	0.0211615	6.92319	-0.0189079	-3.75498	0.208729	-0.612726	0.566551	-58.594	-57.6774	-58.4415	-58.4415	-0.0257818	-52.6508		
0.014	-0.0897204	-1.26123	0.0211615	6.32117	-0.0189079	-4.35577	-0.0964402	1.52469	0.572707	-58.1365	-57.6774	-58.4415	-58.4415	-0.0256176	-52.3472		
0.0147	-0.0897204	1.47744	0.0211615	3.26092	-0.0189079	5.40717	-0.401609	2.13029	0.572707	-58.1365	-57.6774	-58.2894	-58.5935	-0.0252891	-52.3472		
0.0153	-0.0897204	4.25214	0.0211615	9.68243	-0.324088	11.5278	-0.0964402	0.605601	0.578862	-58.594	-58.2887	-58.5935	-58.7455	-0.0261102	-53.0892		
0.016	-0.0897204	1.80175	0.0211615	10.8865	-0.0189079	2.06524	0.208729	0.605601	0.578862	-58.8984	-58.8982	-59.0514	-59.3573	-0.026685	-53.5615		
0.0167	-0.0897204	1.18916	0.0211615	2.05689	-0.0189079	-2.51584	0.208729	0.605601	0.572707	-58.4409	-58.1364	-58.5935	-58.8994	-0.0257818	-52.6508		
0.0173	0.215455	2.70263	0.326326	-2.83449	0.286245	7.24711	0.513923	0.605601	0.566551	-58.594	-57.8317	-58.7455	-58.5935	-0.0257818	-52.7857		
0.018	-0.0897204	-0.0360351	0.326326	-1.60538	0.286245	19.1504	0.208729	0.605601	0.566551	-59.3559	-58.4411	-59.6613	-59.0514	-0.0271776	-53.5615		
0.0187	0.215455	-2.7747	0.326326	-0.401344	-0.0189079	25.5714	0.208729	-0.306363	0.572707	-59.3559	-58.5935	-59.2034	-59.3573	-0.026685	-53.2579		
0.0193	0.215455	-1.87382	0.326326	-1.93147	-0.0189079	32.5932	0.208729	-0.306363	0.578862	-59.2046	-58.5935	-59.0514	-59.3573	-0.025946	-53.3928		
0.02	0.215455	-0.936912	0.326326	-4.36462	0.286245	37.7751	0.208729	0.911964	0.572707	-59.2046	-58.7458	-59.2034	-59.3573	-0.0262744	-53.3928		
