mass_E			mass_A		
t	x	y	t	x	y
0.00000000000000	24.38248005000000	-1.06518932500000	0.00000000000000	5.50842600900000	2.79525041600000
0.05961251863000	24.38905191000000	-1.06517362100000	0.05961251863000	5.49845497000000	2.79523597200000
0.11922503730000	24.39511378000000	-1.06444560000000	0.11922503730000	5.49340410900000	2.79554460900000
0.17883755590000	24.40852481000000	-1.06432342800000	0.17883755590000	5.48244185400000	2.79568658100000
0.23845007450000	24.39221112000000	-1.06323055300000	0.23845007450000	5.47436540200000	2.79592673000000
0.29806259310000	24.45159709000000	-1.06187024300000	0.29806259310000	5.46420408500000	2.79639119600000
0.35767511180000	24.51891650000000	-1.06059792400000	0.35767511180000	5.43925569600000	2.79643655700000
0.41728763040000	24.53542016000000	-1.06129694700000	0.41728763040000	5.42888965200000	2.79642814000000
0.47690014900000	24.55263124000000	-1.06149630000000	0.47690014900000	5.41948227400000	2.79713979200000
0.53651266770000	24.57844071000000	-1.06028629200000	0.53651266770000	5.41081000900000	2.79777235500000
0.59612518630000	24.60604718000000	-1.06115895800000	0.59612518630000	5.40471739200000	2.79813757200000
0.65573770490000	24.64948540000000	-1.06149627400000	0.65573770490000	5.40238945600000	2.79823659900000
0.71535022350000	24.70070938000000	-1.06274930700000	0.71535022350000	5.41024357800000	2.79728340600000
0.77496274220000	24.69240815000000	-1.06348951300000	0.77496274220000	5.39167268200000	2.79732609200000
0.83457526080000	24.70137178000000	-1.06595241600000	0.83457526080000	5.35957549100000	2.79751454200000
0.89418777940000	24.68264471000000	-1.06325053900000	0.89418777940000	5.34128724700000	2.79798919100000
0.95380029810000	24.69500591000000	-1.06299400800000	0.95380029810000	5.33711617900000	2.79822525100000
1.01341281700000	24.68324779000000	-1.06251629400000	1.01341281700000	5.31295551900000	2.79833194300000
1.07302533500000	24.69181219000000	-1.06213506700000	1.07302533500000	5.29381432300000	2.79848473000000
1.13263785400000	24.72485761000000	-1.06040731300000	1.13263785400000	5.28255687900000	2.79880355200000
1.19225037300000	24.76285391000000	-1.06152164300000	1.19225037300000	5.27894668000000	2.79838459300000
1.25186289100000	24.79348347000000	-1.06161904500000	1.25186289100000	5.27808774600000	2.79831282900000
1.31147541000000	24.82846599000000	-1.06268991000000	1.31147541000000	5.27291850900000	2.79835150900000
1.37108792800000	24.83745282000000	-1.06345716600000	1.37108792800000	5.26150380900000	2.79840879800000
1.43070044700000	24.90500490000000	-1.06369101100000	1.43070044700000	5.27153956700000	2.79754965300000
1.49031296600000	24.97528894000000	-1.06404666900000	1.49031296600000	5.27759389900000	2.79709804500000
1.54992548400000	24.99603918000000	-1.06751788900000	1.54992548400000	5.27633425600000	2.79727008500000
1.60953800300000	25.05420138000000	-1.06375609600000	1.60953800300000	5.27822216300000	2.79724795700000
1.66915052200000	25.09542134000000	-1.06357338200000	1.66915052200000	5.28158124600000	2.79712232400000
1.72876304000000	25.14012780000000	-1.06491452000000	1.72876304000000	5.28024095700000	2.79727629100000
1.78837555900000	25.17911727000000	-1.06551021800000	1.78837555900000	5.28091905100000	2.79784961000000
1.84798807700000	25.20764441000000	-1.06649433400000	1.84798807700000	5.28304510700000	2.79741451200000
1.90760059600000	25.23591192000000	-1.06669725000000	1.90760059600000	5.28444218200000	2.79752109800000
1.96721311500000	25.27478005000000	-1.06862772200000	1.96721311500000	5.28482685900000	2.79739794100000
2.02682563300000	25.27949661000000	-1.06902846500000	2.02682563300000	5.28466703500000	2.79765436500000
2.08643815200000	25.28813758000000	-1.07128230700000	2.08643815200000	5.28570670600000	2.79769836300000
2.14605067100000	25.28976779000000	-1.06804089200000	2.14605067100000	5.29055280900000	2.79773764700000
2.20566318900000	25.38235695000000	-1.06658589500000	2.20566318900000	5.29079722700000	2.79801975800000
2.26527570800000	25.41518278000000	-1.06818381000000	2.26527570800000	5.29061783200000	2.79774357100000
2.32488822700000	25.42746707000000	-1.07241299200000	2.32488822700000	5.29248738100000	2.79748613400000
2.38450074500000	25.45208774000000	-1.06894838700000	2.38450074500000	5.29460278800000	2.79752357900000
2.44411326400000	25.52331246000000	-1.06903498100000	2.44411326400000	5.29478750100000	2.79794421500000
2.50372578200000	25.55587687000000	-1.07090796200000	2.50372578200000	5.28991713900000	2.79781122200000
2.56333830100000	25.55687154000000	-1.07129176300000	2.56333830100000	5.29156500400000	2.79777727700000
2.62295082000000	25.61419045000000	-1.07095132100000	2.62295082000000	5.28702143500000	2.79799272700000
2.68256333800000	25.67451122000000	-1.07035275900000	2.68256333800000	5.28654181400000	2.79798127900000
2.74217585700000	25.69899507000000	-1.07062180700000	2.74217585700000	5.28556049600000	2.79787765500000
2.80178837600000	25.74066366000000	-1.07126829900000	2.80178837600000	5.28592044500000	2.79805599500000
2.86140089400000	25.76505353000000	-1.07140798500000	2.86140089400000	5.28630101600000	2.79816329500000
2.92101341300000	25.78894933000000	-1.07136377100000	2.92101341300000	5.28872733700000	2.79797378300000
2.98062593100000	25.83376516000000	-1.07063365000000	2.98062593100000	5.28696453200000	2.79788370200000
3.04023845000000	25.89610984000000	-1.07090265500000	3.04023845000000	5.28679306800000	2.79782615200000
3.09985096900000	25.91153620000000	-1.07203949500000	3.09985096900000	5.28496333500000	2.79783626800000
3.15946348700000	25.92552485000000	-1.07173360400000	3.15946348700000	5.27859864200000	2.79798336500000
3.21907600600000	25.96066912000000	-1.07226695500000	3.21907600600000	5.27559293000000	2.79804678200000
3.27868852500000	26.00251867000000	-1.07300434900000	3.27868852500000	5.27311287400000	2.79796660900000
3.33830104300000	25.99690824000000	-1.07340597000000	3.33830104300000	5.27015649100000	2.79778500500000
3.39791356200000	26.00792903000000	-1.07239157500000	3.39791356200000	5.27371997600000	2.79780849500000
3.45752608000000	26.07166243000000	-1.07113887800000	3.45752608000000	5.26110324400000	2.79768794800000
3.51713859900000	26.08917038000000	-1.07112986000000	3.51713859900000	5.25826738800000	2.79767251700000
3.57675111800000	26.13958495000000	-1.07366097500000	3.57675111800000	5.26166930700000	2.79830524500000
3.63636363600000	26.15626870000000	-1.07464001700000	3.63636363600000	5.26450026100000	2.79815716500000
3.69597615500000	26.18148411000000	-1.07348805900000	3.69597615500000	5.26617754700000	2.79851556400000
3.75558867400000	26.22187364000000	-1.07509937400000	3.75558867400000	5.27007509600000	2.79844743700000
3.81520119200000	26.25719804000000	-1.07416285300000	3.81520119200000	5.27453023200000	2.79853614600000
3.87481371100000	26.26097200000000	-1.07552935200000	3.87481371100000	5.27559234000000	2.79801546100000
3.93442623000000	26.30008490000000	-1.07742781800000	3.93442623000000	5.27430132800000	2.79791276900000
3.99403874800000	26.33561723000000	-1.07667537800000	3.99403874800000	5.26953472200000	2.79774791500000
4.05365126700000	26.34497648000000	-1.07725884100000	4.05365126700000	5.26416673200000	2.79758511300000
4.11326378500000	26.38061497000000	-1.07590051500000	4.11326378500000	5.27159861200000	2.79727865600000
4.17287630400000	26.41926583000000	-1.07798507800000	4.17287630400000	5.27035751400000	2.79670071200000
4.23248882300000	26.46085852000000	-1.07677207800000	4.23248882300000	5.26687587900000	2.79698549600000
4.29210134100000	26.51294328000000	-1.07907394800000	4.29210134100000	5.27405498600000	2.79688310100000
4.35171386000000	26.55342931000000	-1.07743577400000	4.35171386000000	5.27922969600000	2.79709112400000
4.41132637900000	26.60979077000000	-1.07730186700000	4.41132637900000	5.28102330500000	2.79757727400000
4.47093889700000	26.64609497000000	-1.07875794300000	4.47093889700000	5.28524340000000	2.79766231000000
4.53055141600000	26.70031240000000	-1.07824658300000	4.53055141600000	5.28503288800000	2.79786293500000
4.59016393400000	26.74477938000000	-1.07903215300000	4.59016393400000	5.28579915400000	2.79747820900000
4.64977645300000	26.78202389000000	-1.08026418900000	4.64977645300000	5.28151541700000	2.79762860100000
4.70938897200000	26.81745085000000	-1.07967882300000	4.70938897200000	5.27931211900000	2.79751373500000
4.76900149000000	26.86121238000000	-1.08156129900000	4.76900149000000	5.27608474700000	2.79748835300000
4.82861400900000	26.89195269000000	-1.08142176800000	4.82861400900000	5.27568701400000	2.79762818500000
4.88822652800000	26.91875461000000	-1.08279025900000	4.88822652800000	5.27733599800000	2.79799554900000
4.94783904600000	26.96149762000000	-1.08214709900000	4.94783904600000	5.27751295200000	2.79791089600000
5.00745156500000	27.01772176000000	-1.08408248900000	5.00745156500000	5.27956854700000	2.79816655000000
5.06706408300000	27.04372782000000	-1.08293347600000	5.06706408300000	5.28451456500000	2.79793215100000
5.12667660200000	27.08672180000000	-1.08328579400000	5.12667660200000	5.28592048000000	2.79799452800000
5.18628912100000	27.10034041000000	-1.08624991600000	5.18628912100000	5.28422273900000	2.79815287300000
5.24590163900000	27.14003556000000	-1.08306198700000	5.24590163900000	5.28536344800000	2.79825353200000
5.30551415800000	27.18901977000000	-1.08213327400000	5.30551415800000	5.28330777500000	2.79829334500000
