GM fasc end			Ext		
t	x	y	t	x	y
0	15.44918622	1.088667042	0	3.546006672	8.311303999
0.059612519	15.47909567	1.086863146	0.059612519	3.550119321	8.311435701
0.119225037	15.5982256	1.071855407	0.119225037	3.552904222	8.312344992
0.178837556	15.73059646	1.054333156	0.178837556	3.552270364	8.312061181
0.238450075	15.81801971	1.045326287	0.238450075	3.550521324	8.312287102
0.298062593	15.88130651	1.044669866	0.298062593	3.550627518	8.312334075
0.357675112	15.94054647	1.038944312	0.357675112	3.550748807	8.31218734
0.41728763	16.03571174	1.027465702	0.41728763	3.55212656	8.312223878
0.476900149	16.09381192	1.02098472	0.476900149	3.552650635	8.311388516
0.536512668	16.16476833	1.014644768	0.536512668	3.552629733	8.311123511
0.596125186	16.27456693	1.00016076	0.596125186	3.555774015	8.310985305
0.655737705	16.33087058	0.994931151	0.655737705	3.554037281	8.311005693
0.715350224	16.40262751	0.987728225	0.715350224	3.556682915	8.31040666
0.774962742	16.46608062	0.978828764	0.774962742	3.554993553	8.310557307
0.834575261	16.56965842	0.970363929	0.834575261	3.555744375	8.310265556
0.894187779	16.6266985	0.966010403	0.894187779	3.555138646	8.310269724
0.953800298	16.71664916	0.958016417	0.953800298	3.551687282	8.310656129
1.013412817	16.7653768	0.954506331	1.013412817	3.550217186	8.310837145
1.073025335	16.845592	0.94378369	1.073025335	3.54961045	8.310786086
1.132637854	16.917172	0.938501441	1.132637854	3.54908045	8.310962185
1.192250373	16.99961239	0.931313829	1.192250373	3.548757632	8.310816187
1.251862891	17.06876259	0.926019062	1.251862891	3.54883793	8.311102963
1.31147541	17.1266246	0.919932257	1.31147541	3.548861815	8.311006035
1.371087928	17.18706857	0.915727842	1.371087928	3.548637008	8.310988232
1.430700447	17.27273346	0.908079074	1.430700447	3.548541748	8.310928357
1.490312966	17.34840085	0.897448714	1.490312966	3.547822693	8.311202532
1.549925484	17.44154459	0.888295363	1.549925484	3.548253642	8.311052944
1.609538003	17.52875317	0.877296588	1.609538003	3.548331642	8.311131364
1.669150522	17.5933117	0.870076982	1.669150522	3.547797816	8.311191786
1.72876304	17.6507706	0.86529003	1.72876304	3.548869377	8.311007975
1.788375559	17.69071675	0.859500133	1.788375559	3.547981798	8.311219949
1.847988077	17.77828831	0.852391136	1.847988077	3.547337706	8.31092356
1.907600596	17.83360165	0.848309449	1.907600596	3.547478457	8.311080317
1.967213115	17.87451345	0.844707304	1.967213115	3.548620477	8.311062045
2.026825633	17.91976351	0.839250021	2.026825633	3.55044614	8.310912387
2.086438152	18.00090598	0.828691211	2.086438152	3.549350841	8.311065063
2.146050671	18.07356801	0.819053433	2.146050671	3.549826106	8.31093728
2.205663189	18.1373462	0.814955859	2.205663189	3.5476186	8.311279594
2.265275708	18.20247959	0.809850149	2.265275708	3.547215979	8.311299346
2.324888227	18.28177171	0.803558024	2.324888227	3.547386683	8.31141853
2.384500745	18.32436279	0.79929443	2.384500745	3.547920454	8.311414035
2.444113264	18.41205238	0.78816493	2.444113264	3.548934694	8.311385804
2.503725782	18.46111576	0.783356708	2.503725782	3.548947375	8.311148211
2.563338301	18.54994103	0.775566267	2.563338301	3.548723775	8.311246919
2.62295082	18.59929887	0.771237831	2.62295082	3.549831384	8.310881899
2.682563338	18.70504793	0.760472955	2.682563338	3.551958083	8.310245993
2.742175857	18.73616337	0.757788989	2.742175857	3.551802693	8.309880161
2.801788376	18.83605577	0.745797271	2.801788376	3.55435574	8.309578697
2.861400894	18.88934848	0.741197933	2.861400894	3.553057193	8.309273183
2.921013413	18.97645596	0.732165853	2.921013413	3.557949792	8.308758669
2.980625931	19.04815333	0.726662843	2.980625931	3.558148116	8.308788045
3.04023845	19.12109694	0.719083629	3.04023845	3.559020707	8.308915182
3.099850969	19.20155596	0.710339034	3.099850969	3.555697182	8.309687419
3.159463487	19.26424627	0.70538415	3.159463487	3.555897807	8.309844678
3.219076006	19.30731491	0.702026697	3.219076006	3.552873305	8.310694778
3.278688525	19.32194914	0.703032877	3.278688525	3.550428613	8.310705514
3.338301043	19.38576627	0.699254035	3.338301043	3.549236523	8.310777921
3.397913562	19.42079491	0.696618239	3.397913562	3.550122885	8.310869825
3.45752608	19.46557907	0.68891858	3.45752608	3.550488336	8.310935121
3.517138599	19.4938739	0.687482965	3.517138599	3.548503941	8.311173309
3.576751118	19.53914662	0.681838485	3.576751118	3.551968388	8.311283746
3.636363636	19.59738863	0.674879717	3.636363636	3.550704979	8.311108499
3.695976155	19.66708975	0.664955744	3.695976155	3.549024881	8.311066273
3.755588674	19.71675852	0.659928556	3.755588674	3.547987332	8.311134561
3.815201192	19.76275673	0.655436657	3.815201192	3.548176911	8.311204496
3.874813711	19.80408773	0.648939137	3.874813711	3.547139914	8.311188876
3.93442623	19.84111811	0.646781167	3.93442623	3.547142905	8.311327289
3.994038748	19.91713064	0.642939054	3.994038748	3.547208089	8.311371631
4.053651267	19.98294745	0.636117584	4.053651267	3.546609573	8.311476504
4.113263785	20.02787376	0.633983421	4.113263785	3.547762002	8.311370963
4.172876304	20.08540716	0.628756037	4.172876304	3.548394832	8.311540196
4.232488823	20.1743594	0.618399833	4.232488823	3.548891494	8.311767015
4.292101341	20.22649509	0.611842626	4.292101341	3.548690451	8.311508814
4.35171386	20.28519113	0.604050076	4.35171386	3.550016601	8.311545499
4.411326379	20.34987409	0.598590618	4.411326379	3.550435268	8.311480398
4.470938897	20.37750576	0.595484387	4.470938897	3.549833376	8.31133156
4.530551416	20.42537432	0.590200488	4.530551416	3.552226091	8.311029674
4.590163934	20.4863839	0.583785632	4.590163934	3.552362491	8.310716764
4.649776453	20.53592754	0.577461335	4.649776453	3.552996953	8.310715677
4.709388972	20.57235067	0.572133287	4.709388972	3.552675066	8.310703877
4.76900149	20.58437282	0.569121746	4.76900149	3.562053464	8.309850967
4.828614009	20.71226187	0.558526302	4.828614009	3.563527871	8.309498319
4.888226528	20.81110034	0.54601369	4.888226528	3.56342264	8.309610309
4.947839046	20.94661746	0.529443472	4.947839046	3.563224212	8.309454401
5.007451565	20.92195216	0.531077942	5.007451565	3.565136284	8.309366477
5.067064083	20.91902559	0.533044151	5.067064083	3.56680321	8.309441962
5.126676602	20.94292317	0.535480066	5.126676602	3.570907385	8.309167773
5.186289121	21.03527976	0.531683492	5.186289121	3.576042578	8.309142791
5.245901639	21.10014158	0.521644182	5.245901639	3.589191604	8.307828206
5.305514158	21.18622171	0.512167481	5.305514158	3.618515568	8.304139516
5.365126677	21.20791232	0.508917766	5.365126677	3.622612341	8.303945118
5.424739195	21.23398866	0.506388924	5.424739195	3.62941082	8.303745023
5.484351714	21.31289912	0.49752117	5.484351714	3.628310405	8.303760395
5.543964232	21.36599341	0.492424673	5.543964232	3.626296587	8.303870813
5.603576751	21.44010611	0.485455065	5.603576751	3.622102074	8.304125794
5.66318927	21.49864058	0.478106886	5.66318927	3.619879124	8.304137815
5.722801788	21.55655613	0.471185824	5.722801788	3.61760384	8.30462405
5.782414307	21.60473088	0.466328471	5.782414307	3.618031104	8.305307665
5.842026826	21.67026718	0.458863365	5.842026826	3.617349708	8.305164625
5.901639344	21.72575258	0.453134936	5.901639344	3.614796317	8.305928296
5.961251863	21.79510716	0.445786006	5.961251863	3.616369484	8.306148637
6.020864382	21.83691952	0.441575522	6.020864382	3.617437919	8.305759989
6.0804769	21.94150489	0.430767926	6.0804769	3.618540765	8.305128166
6.140089419	22.02296698	0.423663157	6.140089419	3.618322191	8.304874731
6.199701937	22.08063316	0.418370657	6.199701937	3.618855729	8.304445059
6.259314456	22.12038022	0.415088141	6.259314456	3.618106574	8.304569713
6.318926975	22.13631928	0.412943647	6.318926975	3.620490535	8.30439913
6.378539493	22.19115746	0.406802871	6.378539493	3.623678068	8.304112006
6.438152012	22.22131949	0.40283893	6.438152012	3.623411398	8.303580047
6.497764531	22.31289693	0.39118101	6.497764531	3.623482532	8.303405713
6.557377049	22.46156526	0.376027311	6.557377049	3.627238711	8.302441455
6.616989568	22.61728835	0.361067181	6.616989568	3.626628352	8.301875537
6.676602086	22.61111924	0.363728368	6.676602086	3.627805627	8.301600998
6.736214605	22.60230841	0.365007362	6.736214605	3.628141603	8.301654373
6.795827124	22.68623865	0.357367398	6.795827124	3.626454934	8.301718658
6.855439642	22.75839684	0.351723607	6.855439642	3.625460676	8.302390619
6.915052161	22.83755235	0.344512571	6.915052161	3.624736959	8.302433554
6.97466468	22.88164264	0.33942565	6.97466468	3.624672549	8.302517294
7.034277198	22.95940732	0.329676826	7.034277198	3.623169238	8.303256965
7.093889717	23.03206551	0.322966485	7.093889717	3.623366155	8.303488397
7.153502235	23.08630988	0.316839733	7.153502235	3.624971842	8.303377492
7.213114754	23.11192627	0.314172461	7.213114754	3.624831335	8.303575633
7.272727273	23.15416381	0.309127104	7.272727273	3.625968889	8.303510441
7.332339791	23.18529637	0.305736495	7.332339791	3.626459442	8.303456555
7.39195231	23.22665731	0.301289826	7.39195231	3.625446169	8.303782957
7.451564829	23.28909274	0.294871815	7.451564829	3.623475223	8.303938693
7.511177347	23.34724043	0.287995568	7.511177347	3.624878434	8.303964389
7.570789866	23.41585876	0.279567155	7.570789866	3.622581895	8.304293997
7.630402385	23.45935379	0.272346854	7.630402385	3.623407412	8.304254049
7.690014903	23.52062618	0.265656922	7.690014903	3.622180682	8.304359145
