GM fasc end			Ext		
7.749627422	23.62857451	0.2503162	7.749627422	3.622618442	8.304391421
7.80923994	23.70865434	0.24188603	7.80923994	3.622205863	8.304508354
7.868852459	23.7502485	0.245990686	7.868852459	3.622935833	8.304477185
7.928464978	23.77887935	0.249215921	7.928464978	3.623340137	8.304377825
7.988077496	23.84058275	0.243622489	7.988077496	3.624806432	8.304254955
8.047690015	23.89780993	0.236339183	8.047690015	3.623131222	8.304334826
8.107302534	23.95299482	0.231024154	8.107302534	3.623366734	8.304446366
8.166915052	23.98428678	0.227053408	8.166915052	3.625736477	8.30439607
8.226527571	24.05147284	0.220221522	8.226527571	3.625881326	8.304313329
8.286140089	24.09164134	0.215253978	8.286140089	3.632473134	8.304388465
8.345752608	24.16920399	0.207455164	8.345752608	3.626325972	8.304510445
8.405365127	24.18986577	0.204874464	8.405365127	3.625882062	8.30440142
8.464977645	24.25108632	0.198441555	8.464977645	3.624821336	8.304364352
8.524590164	24.33595326	0.189282036	8.524590164	3.626415639	8.304315288
8.584202683	24.36934771	0.185598501	8.584202683	3.625519684	8.304497125
8.643815201	24.39866597	0.181122303	8.643815201	3.624823719	8.304343863
8.70342772	24.43770871	0.176750411	8.70342772	3.625327849	8.304437353
8.763040238	24.4766475	0.172775105	8.763040238	3.624629126	8.304298033
8.822652757	24.50834617	0.171156853	8.822652757	3.622441818	8.304571612
8.882265276	24.56961335	0.165493733	8.882265276	3.623612935	8.30443152
8.941877794	24.61632027	0.160230579	8.941877794	3.622332687	8.304239087
9.001490313	24.65549427	0.155268279	9.001490313	3.621070116	8.304283408
9.061102832	24.69197046	0.151787926	9.061102832	3.622370458	8.304238031
9.12071535	24.73158639	0.148041706	9.12071535	3.623024778	8.304004254
9.180327869	24.78138322	0.143738421	9.180327869	3.623429108	8.303811011
9.239940387	24.7677231	0.144084498	9.239940387	3.623622838	8.303963789
9.299552906	24.77048139	0.144706951	9.299552906	3.624220803	8.303909592
9.359165425	24.83165132	0.140862024	9.359165425	3.623727794	8.30340762
9.418777943	24.88324713	0.135778009	9.418777943	3.62418637	8.303798071
9.478390462	24.93820102	0.12956831	9.478390462	3.625153757	8.303509858
9.538002981	24.94276329	0.128413909	9.538002981	3.624307156	8.303861369
9.597615499	24.98145437	0.12317896	9.597615499	3.624768246	8.303851089
9.657228018	25.01640938	0.119294251	9.657228018	3.627746782	8.303806117
9.716840537	25.05955751	0.114289916	9.716840537	3.628724374	8.303576741
9.776453055	25.09662732	0.111383368	9.776453055	3.627692995	8.303482673
9.836065574	25.14025059	0.107965325	9.836065574	3.625681353	8.304011583
9.895678092	25.16649487	0.105287011	9.895678092	3.626233885	8.303781386
9.955290611	25.19573492	0.102066842	9.955290611	3.627767046	8.303676282
10.01490313	25.22492709	0.09930113	10.01490313	3.62913246	8.303654546
10.07451565	25.2452312	0.097577156	10.07451565	3.63196392	8.302995523
10.13412817	25.27963211	0.093382705	10.13412817	3.631991497	8.302495308
10.19374069	25.29809753	0.090555197	10.19374069	3.634123394	8.301399762
10.2533532	25.3099489	0.0888751	10.2533532	3.642762768	8.299340442
10.31296572	25.34956261	0.08403164	10.31296572	3.644434178	8.298688593
10.37257824	25.36362199	0.082526142	10.37257824	3.638285382	8.299671207
10.43219076	25.36769403	0.081724359	10.43219076	3.63901127	8.299965214
10.49180328	25.36091853	0.082824733	10.49180328	3.641413272	8.299618555
10.5514158	25.37148858	0.090244195	10.5514158	3.641083921	8.299908999
10.61102832	25.38321046	0.097903786	10.61102832	3.638442852	8.301051197
10.67064083	25.46663594	0.09059858	10.67064083	3.633256163	8.301873464
10.73025335	25.57582473	0.08064885	10.73025335	3.627059992	8.302559265
10.78986587	25.58104147	0.078313151	10.78986587	3.624432777	8.303343545
10.84947839	25.62951369	0.08132751	10.84947839	3.622996569	8.303668871
10.90909091	25.70662677	0.062950896	10.90909091	3.623583778	8.303675422
10.96870343	25.76260108	0.054263553	10.96870343	3.622123241	8.30389331
11.02831595	25.81227249	0.043640078	11.02831595	3.620107139	8.304096313
11.08792846	25.85030704	0.039726127	11.08792846	3.621352909	8.304517646
11.14754098	25.91991733	0.036524118	11.14754098	3.621390233	8.304337773
11.2071535	25.93083803	0.0359367	11.2071535	3.621372429	8.304348626
11.26676602	25.95286059	0.031452805	11.26676602	3.621704448	8.304279649
11.32637854	25.95793008	0.022823427	11.32637854	3.621956565	8.304637319
11.38599106	25.97151597	0.004681975	11.38599106	3.621783411	8.305215182
11.44560358	25.97663662	0.001439523	11.44560358	3.621776063	8.305542601
11.5052161	26.02443144	0.004110114	11.5052161	3.619016005	8.306245696
11.56482861	26.04116248	0.006405198	11.56482861	3.616678267	8.306489962
11.62444113	26.05945361	0.007759389	11.62444113	3.616665099	8.306049919
11.68405365	26.10883529	0.004284201	11.68405365	3.618606902	8.306140227
11.74366617	26.11621885	0.005057672	11.74366617	3.618742369	8.305884442
11.80327869	26.12930294	0.005233809	11.80327869	3.619152679	8.306188912
11.86289121	26.14723308	0.007263984	11.86289121	3.61988914	8.306104372
11.92250373	26.15610753	0.004407084	11.92250373	3.620100888	8.30655355
11.98211624	26.16617302	0.00256919	11.98211624	3.622067685	8.305998999
12.04172876	26.16980628	-9.02E-06	12.04172876	3.619642624	8.306003201
12.10134128	26.18171116	-0.002910503	12.10134128	3.61946224	8.305860406
12.1609538	26.21211248	-0.008014577	12.1609538	3.621439539	8.305709653
12.22056632	26.25892922	-0.013048331	12.22056632	3.625799468	8.305537109
12.28017884	26.2637968	-0.011593172	12.28017884	3.627012489	8.305452292
12.33979136	26.28713097	-0.012387473	12.33979136	3.627617462	8.305345794
12.39940387	26.33425214	-0.018132739	12.39940387	3.628143582	8.305154639
12.45901639	26.34184223	-0.020157871	12.45901639	3.63308669	8.305516958
12.51862891	26.35679988	-0.021874926	12.51862891	3.631930864	8.305196059
12.57824143	26.39161479	-0.02406811	12.57824143	3.636147297	8.305139386
12.63785395	26.39193653	-0.022543896	12.63785395	3.639417051	8.304037217
12.69746647	26.39259857	-0.021585797	12.69746647	3.642164203	8.303343479
12.75707899	26.41130562	-0.024592373	12.75707899	3.640959572	8.30243311
12.81669151	26.41781215	-0.025310209	12.81669151	3.646877703	8.298741367
12.87630402	26.44622004	-0.026958613	12.87630402	3.648145208	8.293953377
12.93591654	26.45624792	-0.026720453	12.93591654	3.643482174	8.295269089
12.99552906	26.47589515	-0.028625705	12.99552906	3.64863032	8.29640503
13.05514158	26.47824067	-0.029219481	13.05514158	3.645012932	8.298737141
13.1147541	26.48616878	-0.030563495	13.1147541	3.640038764	8.300929444
13.17436662	26.5159969	-0.034178362	13.17436662	3.630680785	8.302139816
13.23397914	26.54929199	-0.037261484	13.23397914	3.630368483	8.302548055
13.29359165	26.54877211	-0.037008112	13.29359165	3.624132086	8.303289949
13.35320417	26.55677711	-0.03768923	13.35320417	3.623165066	8.303448933
13.41281669	26.55790241	-0.037926342	13.41281669	3.623522558	8.303966531
13.47242921	26.5648291	-0.038497562	13.47242921	3.622459494	8.304057845
13.53204173	26.5533213	-0.037623153	13.53204173	3.620785402	8.304276503
13.59165425	26.55320913	-0.036347074	13.59165425	3.620789209	8.304109902
13.65126677	26.55083142	-0.034888421	13.65126677	3.621671829	8.304215817
13.71087928	26.54438571	-0.03109754	13.71087928	3.621659975	8.304480347
13.7704918	26.55424644	-0.034943227	13.7704918	3.622058885	8.304399549
13.83010432	26.54420179	-0.034941151	13.83010432	3.620695273	8.30452162
13.88971684	26.53777758	-0.034776844	13.88971684	3.620624883	8.304492659
13.94932936	26.53250296	-0.031879573	13.94932936	3.62180791	8.30455743
14.00894188	26.53337703	-0.032373405	14.00894188	3.621679372	8.304737134
14.0685544	26.53658645	-0.033521329	14.0685544	3.620096554	8.304923272
14.12816692	26.5348814	-0.034594333	14.12816692	3.621323181	8.304500628
14.18777943	26.53432598	-0.035244256	14.18777943	3.621049136	8.304560535
14.24739195	26.53337472	-0.035679829	14.24739195	3.6205259	8.304625505
14.30700447	26.53756145	-0.035949037	14.30700447	3.620848818	8.304368154
14.36661699	26.53760041	-0.035366941	14.36661699	3.620754078	8.304287473
14.42622951	26.53258846	-0.035419616	14.42622951	3.621323198	8.304236073
14.48584203	26.52758908	-0.034567943	14.48584203	3.622784875	8.304350016
14.54545455	26.51173037	-0.030977929	14.54545455	3.624822873	8.304255776
14.60506706	26.53834882	-0.035016431	14.60506706	3.623070724	8.304290486
14.66467958	26.53910197	-0.035877538	14.66467958	3.62334264	8.304300726
14.7242921	26.53074574	-0.035646601	14.7242921	3.622482186	8.304661029
14.78390462	26.53195382	-0.035512912	14.78390462	3.623050493	8.304509741
14.84351714	26.53505997	-0.035637436	14.84351714	3.621945918	8.304625069
14.90312966	26.5398194	-0.03593793	14.90312966	3.622418013	8.304839375
14.96274218	26.53382536	-0.033377614	14.96274218	3.621664668	8.305237533
15.02235469	26.53187169	-0.033200457	15.02235469	3.621174176	8.305251312
15.08196721	26.53574575	-0.035195509	15.08196721	3.623019203	8.306166723
15.14157973	26.55078243	-0.040116823	15.14157973	3.624135685	8.305876969
15.20119225	26.56066073	-0.044174284	15.20119225	3.624041462	8.305251929
15.26080477	26.56431428	-0.042960166	15.26080477	3.623603118	8.304877171
15.32041729	26.58091459	-0.029022738	15.32041729	3.624411051	8.304673555
15.38002981	26.69116647	-0.037002031	15.38002981	3.623398758	8.304704684
15.43964232	26.69551302	-0.044707882	15.43964232	3.62521882	8.30466926
15.49925484	26.68109679	-0.045861361	15.49925484	3.625609474	8.30508937
15.55886736	26.68576833	-0.047951168	15.55886736	3.625433318	8.304871826
15.61847988	26.69117101	-0.051059413	15.61847988	3.623077593	8.304969264
15.6780924	26.68868314	-0.051536939	15.6780924	3.623235061	8.304754532
15.73770492	26.69223921	-0.052369686	15.73770492	3.623468315	8.304519348
15.79731744	26.69678341	-0.053746343	15.79731744	3.622809403	8.304417433
15.85692996	26.70062468	-0.054581214	15.85692996	3.621286622	8.304440624
15.91654247	26.72223606	-0.055623279	15.91654247	3.620427001	8.304781455
15.97615499	26.75555615	-0.058091619	15.97615499	3.620475016	8.304565037
16.03576751	26.73413269	-0.053604032	16.03576751	3.618393248	8.304751441
16.09538003	26.73618943	-0.053813305	16.09538003	3.61919253	8.304775561
16.15499255	26.73705456	-0.053770658	16.15499255	3.618755578	8.304779406
16.21460507	26.7377658	-0.053259249	16.21460507	3.621028821	8.303708521
16.27421759	26.72645764	-0.050017425	16.27421759	3.62445976	8.303444333
16.3338301	26.73730895	-0.053377623	16.3338301	3.623884072	8.304168077
16.39344262	26.73327191	-0.0521806	16.39344262	3.623225887	8.304063801
16.45305514	26.72870952	-0.05136233	16.45305514	3.621409686	8.304303637
16.51266766	26.73211903	-0.052492435	16.51266766	3.620422038	8.304342973
16.57228018	26.74272201	-0.055421644	16.57228018	3.620309692	8.304461711
16.6318927	26.75098265	-0.058430493	16.6318927	3.619414252	8.304705495
16.69150522	26.75620584	-0.059950141	16.69150522	3.619744479	8.304857468
16.75111773	26.7601039	-0.061175738	16.75111773	3.621968389	8.304798121
16.81073025	26.75738769	-0.060702818	16.81073025	3.620409177	8.304755088
16.87034277	26.75643093	-0.060260949	16.87034277	3.621116903	8.304655874
16.92995529	26.77760172	-0.064148383	16.92995529	3.620215805	8.304734408
16.98956781	26.76935449	-0.062043815	16.98956781	3.620103658	8.30452678
17.04918033	26.74697537	-0.056803726	17.04918033	3.620193291	8.304770209
17.10879285	26.74992878	-0.057993376	17.10879285	3.620641901	8.305005959
17.16840537	26.76045218	-0.061057967	17.16840537	3.621781982	8.305662205
17.22801788	26.76293457	-0.062334808	17.22801788	3.623161021	8.305013591
17.2876304	26.76174813	-0.062219807	17.2876304	3.626644752	8.305154708
17.34724292	26.75367847	-0.06058541	17.34724292	3.628909279	8.305017782
17.40685544	26.74930896	-0.05992119	17.40685544	3.629328644	8.305129545
17.46646796	26.74781465	-0.05921738	17.46646796	3.629224634	8.305046025
17.52608048	26.75964888	-0.062001612	17.52608048	3.627706255	8.305140902
17.585693	26.75474437	-0.060742721	17.585693	3.62463757	8.304760717
17.64530551	26.75213865	-0.060105062	17.64530551	3.623442861	8.304596991
17.70491803	26.75714075	-0.060065147	17.70491803	3.622422255	8.304725509
17.76453055	26.75940501	-0.060212218	17.76453055	3.622069215	8.304605816
17.82414307	26.75863685	-0.061223788	17.82414307	3.620366865	8.30441998
17.88375559	26.75551531	-0.060685656	17.88375559	3.620079807	8.304492649
17.94336811	26.74634235	-0.05898425	17.94336811	3.620330101	8.304216733
18.00298063	26.75538969	-0.059513817	18.00298063	3.61984151	8.304285192
18.06259314	26.74449735	-0.058002212	18.06259314	3.620175676	8.304474899
18.12220566	26.73664326	-0.057394991	18.12220566	3.620365017	8.304348949
18.18181818	26.74975302	-0.061272099	18.18181818	3.621456582	8.304239895
18.2414307	26.75564184	-0.062786457	18.2414307	3.620374166	8.304540109
18.30104322	26.75646982	-0.063340545	18.30104322	3.620355873	8.304418071
18.36065574	26.75529539	-0.062443396	18.36065574	3.620237118	8.304702988
18.42026826	26.75280995	-0.061008994	18.42026826	3.619293831	8.30484915
18.47988077	26.74690292	-0.0595566	18.47988077	3.619077818	8.304766722
18.53949329	26.74585883	-0.059363011	18.53949329	3.618503979	8.305046321
18.59910581	26.75769679	-0.06114392	18.59910581	3.616321375	8.305208019
18.65871833	26.75355439	-0.060564929	18.65871833	3.617866822	8.30496172
18.71833085	26.7475001	-0.059621736	18.71833085	3.617152419	8.304757995
18.77794337	26.75640718	-0.061458046	18.77794337	3.617548263	8.304682825
18.83755589	26.76216876	-0.062737931	18.83755589	3.618135707	8.304779499
18.89716841	26.77141422	-0.065116723	18.89716841	3.617884744	8.304715945
18.95678092	26.7643404	-0.063825041	18.95678092	3.617919924	8.304589966
19.01639344	26.75477346	-0.062057718	19.01639344	3.618082012	8.304369857
19.07600596	26.75480555	-0.062656361	19.07600596	3.617789431	8.304302291
19.13561848	26.76121024	-0.064885763	19.13561848	3.619090369	8.304389134
19.195231	26.75679916	-0.065580063	19.195231	3.620197923	8.304429488
19.25484352	26.76315239	-0.067422548	19.25484352	3.619671554	8.304913499
19.31445604	26.76327899	-0.065283258	19.31445604	3.619238938	8.304922075
19.37406855	26.77063577	-0.064454819	19.37406855	3.6209344	8.304958112
19.43368107	26.77775891	-0.064162523	19.43368107	3.619070071	8.305992869
19.49329359	26.77590861	-0.06496508	19.49329359	3.618858282	8.305761933
19.55290611	26.77575099	-0.065346322	19.55290611	3.616104841	8.306444601
19.61251863	26.7633104	-0.063309638	19.61251863	3.616825031	8.306301287
19.67213115	26.76733964	-0.063821828	19.67213115	3.616001353	8.306760117
19.73174367	26.76039976	-0.062705358	19.73174367	3.615850478	8.306226987
19.79135618	26.75834135	-0.064025324	19.79135618	3.617601607	8.30568897
19.8509687	26.75756146	-0.066865829	19.8509687	3.617951033	8.305220706
19.91058122	26.75767325	-0.070917318	19.91058122	3.617995203	8.304831119
19.97019374	26.77189416	-0.07736515	19.97019374	3.617657085	8.304980693
20.02980626	26.75466666	-0.067410124	20.02980626	3.616223345	8.305310162
20.08941878	26.75806122	-0.065613592	20.08941878	3.617891594	8.304659969
20.1490313	26.74388008	-0.061012778	20.1490313	3.618321697	8.30480145
20.20864382	26.75235245	-0.0631931	20.20864382	3.619339268	8.304242508
20.26825633	26.75663461	-0.061654432	20.26825633	3.619927592	8.304057935
20.32786885	26.74856909	-0.058925128	20.32786885	3.619409723	8.304324974
20.38748137	26.75197419	-0.059400511	20.38748137	3.619737143	8.304375336
20.44709389	26.7561003	-0.059009395	20.44709389	3.619046686	8.304320285
20.50670641	26.7525618	-0.059051135	20.50670641	3.619207094	8.3042137
20.56631893	26.75392902	-0.060035673	20.56631893	3.617616583	8.304651709
20.62593145	26.75108212	-0.060833791	20.62593145	3.618035227	8.304883324
20.68554396	26.75490347	-0.061256468	20.68554396	3.618860423	8.304934148
20.74515648	26.75637112	-0.062924883	20.74515648	3.618078831	8.305528552
20.804769	26.75730873	-0.065365563	20.804769	3.615502298	8.306041795
20.86438152	26.76213358	-0.068328029	20.86438152	3.613635071	8.306139318
20.92399404	26.77083732	-0.072001973	20.92399404	3.613957405	8.307122614
20.98360656	26.7997891	-0.076392192	20.98360656	3.615760234	8.306693252
21.04321908	26.76303952	-0.07403027	21.04321908	3.614336567	8.305985785
21.10283159	26.75447138	-0.073730775	21.10283159	3.616111215	8.304945571
21.16244411	26.75870626	-0.072790289	21.16244411	3.615083451	8.306235012
21.22205663	26.74929059	-0.067478499	21.22205663	3.617074851	8.305561621
21.28166915	26.75179854	-0.066032163	21.28166915	3.617554246	8.306003053
21.34128167	26.75339142	-0.062835635	21.34128167	3.616566832	8.306155896
21.40089419	26.75500835	-0.061753454	21.40089419	3.616230362	8.305614274
21.46050671	26.74996841	-0.060122574	21.46050671	3.611019424	8.305508748
21.52011923	26.75273315	-0.060691361	21.52011923	3.612082876	8.303927552
21.57973174	26.75413301	-0.060655378	21.57973174	3.612803823	8.303730596
21.63934426	26.75642032	-0.060709682	21.63934426	3.610006743	8.302958626
21.69895678	26.75299181	-0.059989743	21.69895678	3.613748936	8.302897985
21.7585693	26.75061896	-0.059886625	21.7585693	3.613374753	8.303038702
21.81818182	26.75121185	-0.06012905	21.81818182	3.615563201	8.303800261
21.87779434	26.74638766	-0.05970796	21.87779434	3.616261919	8.304041506
21.93740686	26.75056451	-0.060217196	21.93740686	3.620184029	8.303716902
21.99701937	26.74935979	-0.060448926	21.99701937	3.619608734	8.303792448
22.05663189	26.74028294	-0.058536639	22.05663189	3.623413559	8.304042989
22.11624441	26.73354886	-0.057806129	22.11624441	3.627988468	8.304678132
22.17585693	26.74128477	-0.058954941	22.17585693	3.632160303	8.304213435
22.23546945	26.74496112	-0.059451796	22.23546945	3.63042474	8.305436661
22.29508197	26.74709435	-0.059208874	22.29508197	3.631074963	8.304004575
22.35469449	26.74409108	-0.05900347	22.35469449	3.630133305	8.304230932
22.414307	26.74156246	-0.058703621	22.414307	3.627284516	8.304445654
22.47391952	26.74620965	-0.058896327	22.47391952	3.625817999	8.304660225
22.53353204	26.74664745	-0.059311646	22.53353204	3.623748395	8.305116578
22.59314456	26.7486075	-0.059090554	22.59314456	3.624234631	8.304395925
22.65275708	26.74890875	-0.059061965	22.65275708	3.623027521	8.304623392
22.7123696	26.75203701	-0.059167055	22.7123696	3.620342383	8.304784188
22.77198212	26.75188992	-0.05857095	22.77198212	3.620470793	8.304774846
