mass_C			mass_A		
t	x	y	t	x	y
0.00000000	31.92860310	0.00000000	0.00000000	48.53126763	0.00000000
0.02554996	31.92765999	0.00000000	0.02554996	48.53111833	0.00000000
0.05109993	31.92804199	0.00000000	0.05109993	48.53095112	0.00000000
0.07664989	31.92785937	0.00000000	0.07664989	48.53121421	0.00000000
0.10219985	31.92698638	0.00000000	0.10219985	48.53137683	0.00000000
0.12774981	31.92723715	0.00000000	0.12774981	48.53110392	0.00000000
0.15329978	31.92758002	0.00000000	0.15329978	48.53140657	0.00000000
0.17884974	31.92792610	0.00000000	0.17884974	48.53133329	0.00000000
0.20439970	31.92755029	0.00000000	0.20439970	48.53130565	0.00000000
0.22994967	31.92795831	0.00000000	0.22994967	48.53151012	0.00000000
0.25549963	31.92780128	0.00000000	0.25549963	48.53149603	0.00000000
0.28104959	31.92825422	0.00000000	0.28104959	48.53130606	0.00000000
0.30659956	31.92839130	0.00000000	0.30659956	48.53148343	0.00000000
0.33214952	31.92986857	0.00000000	0.33214952	48.53148171	0.00000000
0.35769948	31.92908695	0.00000000	0.35769948	48.53123443	0.00000000
0.38324944	31.92962817	0.00000000	0.38324944	48.53126694	0.00000000
0.40879941	31.92915532	0.00000000	0.40879941	48.53122489	0.00000000
0.43434937	31.92924719	0.00000000	0.43434937	48.53151969	0.00000000
0.45989933	31.92866386	0.00000000	0.45989933	48.53141009	0.00000000
0.48544930	31.92942918	0.00000000	0.48544930	48.53161715	0.00000000
0.51099926	31.92931323	0.00000000	0.51099926	48.53148047	0.00000000
0.53654922	31.92961985	0.00000000	0.53654922	48.53149607	0.00000000
0.56209919	31.92988255	0.00000000	0.56209919	48.53153818	0.00000000
0.58764915	31.93058917	0.00000000	0.58764915	48.53139972	0.00000000
0.61319911	31.92930318	0.00000000	0.61319911	48.53189191	0.00000000
0.63874907	31.93050102	0.00000000	0.63874907	48.53155937	0.00000000
0.66429904	31.93090565	0.00000000	0.66429904	48.53203099	0.00000000
0.68984900	31.93011277	0.00000000	0.68984900	48.53170641	0.00000000
0.71539896	31.93001784	0.00000000	0.71539896	48.53106688	0.00000000
0.74094893	31.92680941	0.00000000	0.74094893	48.53129470	0.00000000
0.76649889	31.92340886	0.00000000	0.76649889	48.53152893	0.00000000
0.79204885	31.92443624	0.00000000	0.79204885	48.53077601	0.00000000
0.81759881	31.92305932	0.00000000	0.81759881	48.53104342	0.00000000
0.84314878	31.92408832	0.00000000	0.84314878	48.53096415	0.00000000
0.86869874	31.92513979	0.00000000	0.86869874	48.53124273	0.00000000
0.89424870	31.92501044	0.00000000	0.89424870	48.53108508	0.00000000
0.91979867	31.92401241	0.00000000	0.91979867	48.53155981	0.00000000
0.94534863	31.92333507	0.00000000	0.94534863	48.53165226	0.00000000
0.97089859	31.92573904	0.00000000	0.97089859	48.53107012	0.00000000
0.99644856	31.92030994	0.00000000	0.99644856	48.53123109	0.00000000
