GMfas			Ext		
t	x	y	t	x	y
0	10.52903541	13.8879915	0	-4.715457578	23.83566913
0.055260831	10.52823916	13.88788205	0.055260831	-4.715426023	23.83483855
0.110521662	10.53348755	13.88851157	0.110521662	-4.716657776	23.83501572
0.165782493	10.52679811	13.88803642	0.165782493	-4.716686228	23.83512872
0.221043324	10.52770617	13.88796389	0.221043324	-4.716528955	23.83500006
0.276304156	10.52418554	13.88814008	0.276304156	-4.714769649	23.83481707
0.331564987	10.52566941	13.8876217	0.331564987	-4.715181256	23.83502256
0.386825818	10.51493486	13.88756497	0.386825818	-4.716527406	23.83497227
0.442086649	10.50587057	13.88700908	0.442086649	-4.717592858	23.83511652
0.49734748	10.5022551	13.8851237	0.49734748	-4.718498764	23.83506294
0.552608311	10.53660786	13.88909168	0.552608311	-4.717656032	23.83510908
0.607869142	10.53518905	13.88716486	0.607869142	-4.717673218	23.83500101
0.663129973	10.53515568	13.8863657	0.663129973	-4.717380533	23.83483103
0.718390805	10.56139164	13.88703102	0.718390805	-4.716614688	23.83487006
0.773651636	10.54709423	13.88695892	0.773651636	-4.716696751	23.83485786
0.828912467	10.53728862	13.8876441	0.828912467	-4.718218542	23.83510915
0.884173298	10.53373685	13.88758452	0.884173298	-4.716866959	23.83501141
0.939434129	10.53447919	13.88809573	0.939434129	-4.718726084	23.83495225
0.99469496	10.54839027	13.88849262	0.99469496	-4.717954775	23.83490997
1.049955791	10.5485518	13.8879773	1.049955791	-4.718271371	23.83476116
1.105216622	10.5320553	13.8844209	1.105216622	-4.7188057	23.83460264
1.160477454	10.52397405	13.88130756	1.160477454	-4.722002907	23.8343363
1.215738285	10.52583839	13.88114633	1.215738285	-4.720649308	23.83416377
1.270999116	10.52901186	13.88154185	1.270999116	-4.719305059	23.83392923
1.326259947	10.52539836	13.8824224	1.326259947	-4.716516834	23.83375226
1.381520778	10.51872426	13.8838779	1.381520778	-4.71827949	23.8340434
1.436781609	10.52273615	13.88489784	1.436781609	-4.716547907	23.83423785
1.49204244	10.52672149	13.88592103	1.49204244	-4.719751566	23.8343914
1.547303271	10.5373765	13.88700453	1.547303271	-4.718110388	23.83487977
1.602564103	10.55590515	13.88792403	1.602564103	-4.717754049	23.83474888
1.657824934	10.55954553	13.88610181	1.657824934	-4.717372643	23.83465226
1.713085765	10.54680894	13.8866384	1.713085765	-4.718314673	23.83493839
1.768346596	10.52166142	13.88493903	1.768346596	-4.718947145	23.83448387
1.823607427	10.51106995	13.8857792	1.823607427	-4.718398187	23.83488989
1.878868258	10.51721645	13.886753	1.878868258	-4.718976049	23.83500989
1.934129089	10.52373906	13.88666288	1.934129089	-4.718123397	23.83488389
1.98938992	10.54371483	13.88752994	1.98938992	-4.717224798	23.83483946
2.044650752	10.53990809	13.88671199	2.044650752	-4.717428122	23.83506031
2.099911583	10.53242459	13.88642425	2.099911583	-4.717732924	23.8349816
2.155172414	10.50461606	13.88623273	2.155172414	-4.719166773	23.8348154
2.210433245	10.46266713	13.88689399	2.210433245	-4.720085133	23.83460276
2.265694076	10.42140368	13.88473004	2.265694076	-4.721385055	23.83434303
2.320954907	10.42083499	13.88539985	2.320954907	-4.720498177	23.83446984
2.376215738	10.42562069	13.8850708	2.376215738	-4.719957242	23.834536
2.431476569	10.4396197	13.88532436	2.431476569	-4.720037155	23.83450459
2.486737401	10.44472403	13.88436031	2.486737401	-4.718604313	23.83480704
2.541998232	10.453261	13.88414302	2.541998232	-4.718512691	23.83474535
2.597259063	10.43212918	13.88464057	2.597259063	-4.718167438	23.83460268
2.652519894	10.41150414	13.88281012	2.652519894	-4.717929752	23.83468939
2.707780725	10.4055177	13.88179132	2.707780725	-4.718595914	23.83480886
2.763041556	10.40769363	13.87922692	2.763041556	-4.718265586	23.83490408
2.818302387	10.41597013	13.87732366	2.818302387	-4.717922461	23.83488938
2.873563218	10.42143401	13.87942562	2.873563218	-4.718069793	23.83483665
2.92882405	10.43302914	13.88138109	2.92882405	-4.717098989	23.83480174
2.984084881	10.42686096	13.88073521	2.984084881	-4.717400039	23.83473975
3.039345712	10.4200326	13.87869308	3.039345712	-4.718258521	23.83458665
3.094606543	10.4099229	13.87838586	3.094606543	-4.717886681	23.83440305
3.149867374	10.41214446	13.87946863	3.149867374	-4.720190336	23.83416671
3.205128205	10.42507703	13.87609427	3.205128205	-4.718704794	23.83391321
3.260389036	10.40916463	13.87731081	3.260389036	-4.719897401	23.83419231
3.315649867	10.39406853	13.87090728	3.315649867	-4.717528726	23.83410162
3.370910698	10.40350512	13.87283788	3.370910698	-4.719026922	23.83376504
3.42617153	10.41640314	13.87868267	3.42617153	-4.71941305	23.83376486
