Best track			Ext Marker		
t	x	y	t	x	y
0	20.98565109	0	0	42.59147296	0
0.025531698	20.98583081	0	0.025531698	42.59074387	0
0.051063395	20.98585473	0	0.051063395	42.59156078	0
0.076595093	20.98582847	0	0.076595093	42.59141945	0
0.10212679	20.98525703	0	0.10212679	42.59139938	0
0.127658488	20.98587445	0	0.127658488	42.59144754	0
0.153190186	20.98570045	0	0.153190186	42.59144901	0
0.178721883	20.98617188	0	0.178721883	42.5913707	0
0.204253581	20.9852469	0	0.204253581	42.5915079	0
0.229785278	20.98582446	0	0.229785278	42.59128179	0
0.255316976	20.98512015	0	0.255316976	42.59130509	0
0.280848674	20.98522847	0	0.280848674	42.5912296	0
0.306380371	20.9850578	0	0.306380371	42.59150885	0
0.331912069	20.98530894	0	0.331912069	42.59132567	0
0.357443766	20.98529776	0	0.357443766	42.59131838	0
0.382975464	20.98581973	0	0.382975464	42.59136229	0
0.408507162	20.98552404	0	0.408507162	42.59102993	0
0.434038859	20.98547242	0	0.434038859	42.59129665	0
0.459570557	20.98553778	0	0.459570557	42.59134047	0
0.485102254	20.98576184	0	0.485102254	42.59141117	0
0.510633952	20.9854087	0	0.510633952	42.59142837	0
0.53616565	20.98270298	0	0.53616565	42.5911715	0
0.561697347	20.98143837	0	0.561697347	42.59108657	0
0.587229045	20.9818509	0	0.587229045	42.59102238	0
0.612760743	20.98316621	0	0.612760743	42.59122621	0
0.63829244	20.98415847	0	0.63829244	42.59096506	0
0.663824138	20.98542332	0	0.663824138	42.59094012	0
0.689355835	20.9857504	0	0.689355835	42.59086525	0
0.714887533	20.98614563	0	0.714887533	42.59118792	0
0.740419231	20.98616757	0	0.740419231	42.59123384	0
0.765950928	20.98617083	0	0.765950928	42.5913706	0
0.791482626	20.98592495	0	0.791482626	42.59114403	0
0.817014323	20.98629483	0	0.817014323	42.59127399	0
0.842546021	20.98608644	0	0.842546021	42.59119809	0
0.868077719	20.98578057	0	0.868077719	42.59074002	0
0.893609416	20.98555221	0	0.893609416	42.59152346	0
0.919141114	20.98583418	0	0.919141114	42.59106679	0
0.944672811	20.98594658	0	0.944672811	42.5908273	0
0.970204509	20.9859526	0	0.970204509	42.59118691	0
0.995736207	20.98595182	0	0.995736207	42.59133471	0
1.021267904	20.98651878	0	1.021267904	42.59161604	0
1.046799602	20.98594637	0	1.046799602	42.5910014	0
1.072331299	20.98602627	0	1.072331299	42.59112245	0
1.097862997	20.98595802	0	1.097862997	42.59132882	0
1.123394695	20.98529249	0	1.123394695	42.59155626	0
1.148926392	20.98552499	0	1.148926392	42.59097183	0
1.17445809	20.98588213	0	1.17445809	42.59108752	0
1.199989787	20.98569303	0	1.199989787	42.59124761	0
1.225521485	20.98570251	0	1.225521485	42.59148883	0
1.251053183	20.98517723	0	1.251053183	42.59141076	0
1.27658488	20.9856254	0	1.27658488	42.59132959	0
1.302116578	20.98581019	0	1.302116578	42.59153448	0
1.327648275	20.98602645	0	1.327648275	42.59130212	0
1.353179973	20.98599636	0	1.353179973	42.59178502	0
1.378711671	20.98608975	0	1.378711671	42.5912103	0
1.404243368	20.9856679	0	1.404243368	42.59118169	0
1.429775066	20.98598029	0	1.429775066	42.59134421	0
1.455306763	20.98583333	0	1.455306763	42.59131979	0
1.480838461	20.98577185	0	1.480838461	42.5914457	0
1.506370159	20.98543153	0	1.506370159	42.59110135	0
1.531901856	20.985559	0	1.531901856	42.59129574	0
1.557433554	20.98533812	0	1.557433554	42.59095699	0
1.582965251	20.9855105	0	1.582965251	42.59114229	0
1.608496949	20.98557352	0	1.608496949	42.59137763	0
1.634028647	20.98541812	0	1.634028647	42.59154049	0
1.659560344	20.98525294	0	1.659560344	42.59112955	0
1.685092042	20.98520786	0	1.685092042	42.59114846	0
1.710623739	20.98472367	0	1.710623739	42.59085702	0
1.736155437	20.98493321	0	1.736155437	42.59095166	0
1.761687135	20.98487737	0	1.761687135	42.59131692	0
1.787218832	20.98542272	0	1.787218832	42.59116798	0
1.81275053	20.98459032	0	1.81275053	42.59123392	0
1.838282227	20.98354896	0	1.838282227	42.59083523	0
1.863813925	20.96213483	0	1.863813925	42.59015956	0
1.889345623	20.95101675	0	1.889345623	42.5897314	0
1.91487732	20.86568427	0	1.91487732	42.58904615	0
1.940409018	20.84451977	0	1.940409018	42.5895279	0
1.965940715	20.83039337	0	1.965940715	42.59018281	0
1.991472413	20.73024869	0	1.991472413	42.58937242	0
2.017004111	20.71619234	0	2.017004111	42.5896804	0
2.042535808	20.67273186	0	2.042535808	42.59122138	0
2.068067506	20.55907363	0	2.068067506	42.58884148	0
2.093599203	20.12152714	0	2.093599203	42.58799587	0
2.119130901	19.93079533	0	2.119130901	42.58632365	0
2.144662599	19.75199457	0	2.144662599	42.58581421	0
2.170194296	19.65010608	0	2.170194296	42.58719528	0
2.195725994	19.32643221	0	2.195725994	42.58675902	0
2.221257691	19.19488911	0	2.221257691	42.58680188	0
2.246789389	19.02197481	0	2.246789389	42.58812948	0
2.272321087	18.90791288	0	2.272321087	42.58797612	0
2.297852784	18.80382293	0	2.297852784	42.58907593	0
2.323384482	18.64663894	0	2.323384482	42.59068565	0
2.348916179	18.62821237	0	2.348916179	42.58965309	0
2.374447877	18.52718144	0	2.374447877	42.59057525	0
2.399979575	18.45976665	0	2.399979575	42.58984969	0
2.425511272	18.39548876	0	2.425511272	42.59134799	0
2.45104297	18.25892313	0	2.45104297	42.59077809	0
2.476574667	18.19412161	0	2.476574667	42.59059476	0
2.502106365	18.09372298	0	2.502106365	42.59047843	0
2.527638063	18.04215521	0	2.527638063	42.59065079	0
2.55316976	17.85175717	0	2.55316976	42.5906538	0
2.578701458	17.83515988	0	2.578701458	42.59131883	0
2.604233155	17.77020468	0	2.604233155	42.59121655	0
2.629764853	17.66865686	0	2.629764853	42.59072051	0
2.655296551	17.61147446	0	2.655296551	42.59089889	0
2.680828248	17.608368	0	2.680828248	42.59143799	0
2.706359946	17.55468039	0	2.706359946	42.59112705	0
2.731891643	17.50682887	0	2.731891643	42.59101729	0
2.757423341	17.39103722	0	2.757423341	42.59070018	0
2.782955039	17.36425392	0	2.782955039	42.59020958	0
2.808486736	17.29418469	0	2.808486736	42.5903107	0
2.834018434	17.23960153	0	2.834018434	42.59135345	0
2.859550131	17.1941521	0	2.859550131	42.59087074	0
2.885081829	17.07263733	0	2.885081829	42.59021552	0
2.910613527	17.00381816	0	2.910613527	42.58985856	0
2.936145224	17.00054791	0	2.936145224	42.58962026	0
2.961676922	16.88044888	0	2.961676922	42.59010899	0
2.98720862	16.85397089	0	2.98720862	42.59087063	0
3.012740317	16.75578724	0	3.012740317	42.59046113	0
3.038272015	16.71145241	0	3.038272015	42.59065463	0
3.063803712	16.6464378	0	3.063803712	42.59090676	0
3.08933541	16.52675584	0	3.08933541	42.59028382	0
3.114867108	16.49685351	0	3.114867108	42.58987188	0
3.140398805	16.35905098	0	3.140398805	42.59089022	0
3.165930503	16.29250598	0	3.165930503	42.59166952	0
3.1914622	16.1595729	0	3.1914622	42.5911685	0
3.216993898	16.12499375	0	3.216993898	42.59119196	0
3.242525596	16.06507776	0	3.242525596	42.59125444	0
3.268057293	16.00293837	0	3.268057293	42.59142147	0
3.293588991	15.92028958	0	3.293588991	42.59243983	0
3.319120688	15.86575965	0	3.319120688	42.59149742	0
3.344652386	15.75251402	0	3.344652386	42.59287028	0
3.370184084	15.72192392	0	3.370184084	42.59188116	0
3.395715781	15.64205814	0	3.395715781	42.59161511	0
3.421247479	15.5853459	0	3.421247479	42.59117138	0
3.446779176	15.55793615	0	3.446779176	42.59111137	0
3.472310874	15.50308352	0	3.472310874	42.59086229	0
3.497842572	15.42212995	0	3.497842572	42.58957836	0
3.523374269	15.37099796	0	3.523374269	42.5907175	0
3.548905967	15.24710775	0	3.548905967	42.58969949	0
3.574437664	15.17293765	0	3.574437664	42.59008706	0
3.599969362	15.14451882	0	3.599969362	42.58983573	0
3.62550106	15.10481803	0	3.62550106	42.59135202	0
3.651032757	15.03061637	0	3.651032757	42.59019992	0
3.676564455	15.01133968	0	3.676564455	42.5895421	0
3.702096152	14.96308335	0	3.702096152	42.5905295	0
3.72762785	14.9123269	0	3.72762785	42.59036389	0
3.753159548	14.86911453	0	3.753159548	42.59062002	0
3.778691245	14.80024247	0	3.778691245	42.5905579	0
3.804222943	14.77042948	0	3.804222943	42.58936109	0
3.82975464	14.64628141	0	3.82975464	42.58941299	0
3.855286338	14.60772646	0	3.855286338	42.58930489	0
3.880818036	14.5647741	0	3.880818036	42.58823278	0
3.906349733	14.48044273	0	3.906349733	42.58858661	0
3.931881431	14.43674553	0	3.931881431	42.58874244	0
3.957413128	14.37323505	0	3.957413128	42.58947974	0
3.982944826	14.33026184	0	3.982944826	42.58964373	0
4.008476524	14.31455593	0	4.008476524	42.58949303	0
4.034008221	14.24897184	0	4.034008221	42.58990455	0
4.059539919	14.22049559	0	4.059539919	42.58968101	0
4.085071616	14.1997421	0	4.085071616	42.59024846	0
4.110603314	14.15794445	0	4.110603314	42.59051484	0
4.136135012	14.13629183	0	4.136135012	42.59067825	0
4.161666709	14.09998976	0	4.161666709	42.59003073	0
4.187198407	14.08105974	0	4.187198407	42.5907823	0
4.212730104	14.03045438	0	4.212730104	42.59116917	0
4.238261802	13.99253899	0	4.238261802	42.59042692	0
4.2637935	13.91697777	0	4.2637935	42.5901507	0
4.289325197	13.89160974	0	4.289325197	42.59060634	0
4.314856895	13.85034399	0	4.314856895	42.59058723	0
4.340388592	13.84236137	0	4.340388592	42.59061183	0
4.36592029	13.75042245	0	4.36592029	42.590179	0
4.391451988	13.72197506	0	4.391451988	42.59015297	0
4.416983685	13.6989189	0	4.416983685	42.58975355	0
4.442515383	13.61332382	0	4.442515383	42.5887681	0
