MTJ	Best track		ExtMarker		
t	x	y	t	x	y
0	32.88364021	0	0	45.04960765	0
0.018336175	32.8839638	0	0.018336175	45.04881137	0
0.036672351	32.88548288	0	0.036672351	45.04866819	0
0.055008526	32.88604763	0	0.055008526	45.04996561	0
0.073344702	32.88742909	0	0.073344702	45.05060589	0
0.091680877	32.88756466	0	0.091680877	45.05027137	0
0.110017053	32.88850459	0	0.110017053	45.05021523	0
0.128353228	32.8873314	0	0.128353228	45.05011335	0
0.146689404	32.88648325	0	0.146689404	45.04972103	0
0.165025579	32.88595733	0	0.165025579	45.04988835	0
0.183361754	32.88570182	0	0.183361754	45.0511735	0
0.20169793	32.883868	0	0.20169793	45.04964497	0
0.220034105	32.88331975	0	0.220034105	45.04976715	0
0.238370281	32.88235378	0	0.238370281	45.05003563	0
0.256706456	32.88156774	0	0.256706456	45.04910306	0
0.275042632	32.88102653	0	0.275042632	45.04972142	0
0.293378807	32.88090675	0	0.293378807	45.05015871	0
0.311714983	32.88013935	0	0.311714983	45.04966222	0
0.330051158	32.88128873	0	0.330051158	45.0490723	0
0.348387333	32.88168362	0	0.348387333	45.04898361	0
0.366723509	32.88168062	0	0.366723509	45.04892927	0
0.385059684	32.88206964	0	0.385059684	45.04956818	0
0.40339586	32.88159075	0	0.40339586	45.04914665	0
0.421732035	32.88099055	0	0.421732035	45.04977819	0
0.440068211	32.87942442	0	0.440068211	45.04943865	0
0.458404386	32.87980362	0	0.458404386	45.04873284	0
0.476740562	32.88030043	0	0.476740562	45.04896101	0
0.495076737	32.87978187	0	0.495076737	45.04863811	0
0.513412912	32.88064762	0	0.513412912	45.04889812	0
0.531749088	32.87987509	0	0.531749088	45.0475646	0
0.550085263	32.87993015	0	0.550085263	45.04888184	0
0.568421439	32.88059723	0	0.568421439	45.04865742	0
0.586757614	32.88039852	0	0.586757614	45.04959294	0
0.60509379	32.88153108	0	0.60509379	45.04909647	0
0.623429965	32.88212268	0	0.623429965	45.04887349	0
0.64176614	32.88279384	0	0.64176614	45.04848521	0
0.660102316	32.88232275	0	0.660102316	45.04864455	0
0.678438491	32.88149016	0	0.678438491	45.04801646	0
0.696774667	32.88156475	0	0.696774667	45.04862736	0
0.715110842	32.88125369	0	0.715110842	45.04806569	0
0.733447018	32.88054574	0	0.733447018	45.04894995	0
0.751783193	32.87955342	0	0.751783193	45.04742355	0
0.770119369	32.8801394	0	0.770119369	45.04702565	0
0.788455544	32.88010964	0	0.788455544	45.04851511	0
0.806791719	32.88097749	0	0.806791719	45.04807427	0
0.825127895	32.88073247	0	0.825127895	45.04851151	0
0.84346407	32.87919011	0	0.84346407	45.04864322	0
0.861800246	32.87774948	0	0.861800246	45.04779309	0
0.880136421	32.87387138	0	0.880136421	45.04731571	0
0.898472597	32.86849422	0	0.898472597	45.04700374	0
0.916808772	32.86548789	0	0.916808772	45.04790006	0
0.935144948	32.85974306	0	0.935144948	45.04630937	0
0.953481123	32.86027054	0	0.953481123	45.04867434	0
0.971817298	32.85321571	0	0.971817298	45.04646995	0
0.990153474	32.84243481	0	0.990153474	45.04585592	0
1.008489649	32.81424463	0	1.008489649	45.0442281	0
1.026825825	32.80688744	0	1.026825825	45.0458483	0
1.045162	32.80534057	0	1.045162	45.0465271	0
1.063498176	32.80673402	0	1.063498176	45.04793164	0
1.081834351	32.80700199	0	1.081834351	45.04680216	0
1.100170526	32.80777223	0	1.100170526	45.04710977	0
1.118506702	32.80851465	0	1.118506702	45.04857208	0
1.136842877	32.80998892	0	1.136842877	45.04840547	0
1.155179053	32.8100255	0	1.155179053	45.04957498	0
1.173515228	32.81199776	0	1.173515228	45.0480997	0
1.191851404	32.81062802	0	1.191851404	45.04829439	0
1.210187579	32.81023571	0	1.210187579	45.04839094	0
1.228523755	32.810286	0	1.228523755	45.04892214	0
1.24685993	32.80853867	0	1.24685993	45.04923469	0
1.265196105	32.80742902	0	1.265196105	45.04879913	0
1.283532281	32.80583185	0	1.283532281	45.04781652	0
1.301868456	32.80175001	0	1.301868456	45.04837418	0
1.320204632	32.79291256	0	1.320204632	45.04690745	0
1.338540807	32.77568717	0	1.338540807	45.04667824	0
1.356876983	32.76689733	0	1.356876983	45.04611599	0
1.375213158	32.70365675	0	1.375213158	45.0446676	0
1.393549333	32.65428624	0	1.393549333	45.04276603	0
1.411885509	32.55699195	0	1.411885509	45.03764531	0
1.430221684	32.41251002	0	1.430221684	45.03608187	0
1.44855786	32.26410984	0	1.44855786	45.05085061	0
1.466894035	32.19469558	0	1.466894035	45.05668376	0
1.485230211	32.07009417	0	1.485230211	45.05773703	0
1.503566386	31.95875878	0	1.503566386	45.04509425	0
1.521902562	31.83356029	0	1.521902562	45.0429916	0
1.540238737	31.7679003	0	1.540238737	45.03931886	0
1.558574912	31.59745234	0	1.558574912	45.03741128	0
1.576911088	31.41176712	0	1.576911088	45.02544712	0
1.595247263	31.18896496	0	1.595247263	45.01408986	0
1.613583439	31.07331083	0	1.613583439	44.9917399	0
1.631919614	30.85538295	0	1.631919614	44.93141004	0
1.65025579	30.64494382	0	1.65025579	44.90151504	0
1.668591965	30.49267492	0	1.668591965	44.88371939	0
1.686928141	30.42803525	0	1.686928141	44.88563412	0
1.705264316	30.27912568	0	1.705264316	44.88265473	0
1.723600491	30.1201483	0	1.723600491	44.87887825	0
1.741936667	29.9726093	0	1.741936667	44.88068289	0
1.760272842	29.9058133	0	1.760272842	44.8848468	0
1.778609018	29.75868164	0	1.778609018	44.88938123	0
1.796945193	29.61949172	0	1.796945193	44.89869164	0
1.815281369	29.4868384	0	1.815281369	44.90345254	0
1.833617544	29.32527811	0	1.833617544	44.90795396	0
1.851953719	29.26327139	0	1.851953719	44.90513192	0
1.870289895	29.1450006	0	1.870289895	44.90013533	0
1.88862607	29.02315723	0	1.88862607	44.89520301	0
1.906962246	28.92314444	0	1.906962246	44.88848577	0
1.925298421	28.82826751	0	1.925298421	44.87771802	0
1.943634597	28.79280072	0	1.943634597	44.88357973	0
1.961970772	28.69498389	0	1.961970772	44.87726923	0
1.980306948	28.62372172	0	1.980306948	44.87586092	0
1.998643123	28.54594124	0	1.998643123	44.88261217	0
2.016979298	28.51587383	0	2.016979298	44.88065189	0
2.035315474	28.4427099	0	2.035315474	44.88000812	0
2.053651649	28.37465337	0	2.053651649	44.88048018	0
2.071987825	28.27152544	0	2.071987825	44.87584556	0
2.090324	28.17629921	0	2.090324	44.87289593	0
2.108660176	28.12508219	0	2.108660176	44.87456126	0
2.126996351	28.00706157	0	2.126996351	44.86823045	0
2.145332527	27.87053908	0	2.145332527	44.86411261	0
2.163668702	27.6429637	0	2.163668702	44.83123313	0
2.182004877	27.58600417	0	2.182004877	44.82251779	0
2.200341053	27.50967009	0	2.200341053	44.81698938	0
2.218677228	27.41000214	0	2.218677228	44.80906234	0
2.237013404	27.2875235	0	2.237013404	44.79798447	0
2.255349579	27.19350603	0	2.255349579	44.79560749	0
2.273685755	27.14033275	0	2.273685755	44.79708882	0
2.29202193	27.04173743	0	2.29202193	44.79708756	0
2.310358106	26.92355838	0	2.310358106	44.79198685	0
2.328694281	26.80489696	0	2.328694281	44.79406966	0
