GM fasc			Ext		
t	x	y	t	x	y
0	13.4131343	1.15911088	0	2.429697223	8.530257126
0.059612519	13.46416341	1.153535595	0.059612519	2.428712956	8.530209123
0.119225037	13.54459293	1.148065654	0.119225037	2.428812034	8.530493006
0.178837556	13.59796782	1.143521071	0.178837556	2.430588344	8.530385943
0.238450075	13.68124125	1.133963772	0.238450075	2.429806489	8.530510253
0.298062593	13.77230423	1.120393344	0.298062593	2.432194406	8.530266986
0.357675112	13.87586667	1.106416653	0.357675112	2.432151318	8.529938434
0.41728763	13.96459431	1.091093789	0.41728763	2.432401346	8.530082708
0.476900149	14.04089907	1.087257966	0.476900149	2.430003172	8.530473579
0.536512668	14.11373352	1.086554024	0.536512668	2.430923891	8.52991459
0.596125186	14.22132604	1.078869373	0.596125186	2.431064362	8.529340659
0.655737705	14.26898438	1.072803233	0.655737705	2.430773737	8.529432426
0.715350224	14.36128448	1.065365247	0.715350224	2.429444878	8.529638447
0.774962742	14.41079422	1.058658199	0.774962742	2.431803631	8.529718269
0.834575261	14.48330076	1.048972344	0.834575261	2.430372717	8.529714351
0.894187779	14.57088382	1.036443244	0.894187779	2.430313876	8.52970795
0.953800298	14.61783073	1.031385444	0.953800298	2.430858524	8.530015543
1.013412817	14.65893364	1.027758501	1.013412817	2.430819971	8.529921727
1.073025335	14.70848242	1.02490131	1.073025335	2.433996867	8.529197
1.132637854	14.76258624	1.019613589	1.132637854	2.436063771	8.529021419
1.192250373	14.83847323	1.009965956	1.192250373	2.436507549	8.528857065
1.251862891	14.89652778	1.003628314	1.251862891	2.438354568	8.529207019
1.31147541	14.9644725	0.996269779	1.31147541	2.438144586	8.529196001
1.371087928	15.03140983	0.988962945	1.371087928	2.437685534	8.529201696
1.430700447	15.05127864	0.989436417	1.430700447	2.435741416	8.529505609
1.490312966	15.09414467	0.986571131	1.490312966	2.435051885	8.52982022
1.549925484	15.15268828	0.97807244	1.549925484	2.433925951	8.529953637
1.609538003	15.23235795	0.968837267	1.609538003	2.432837248	8.530201186
1.669150522	15.30056417	0.962924444	1.669150522	2.43171979	8.530056824
1.72876304	15.38502256	0.953545271	1.72876304	2.433998632	8.530404661
1.788375559	15.44235098	0.947925974	1.788375559	2.432585385	8.529950583
1.847988077	15.50036508	0.940669183	1.847988077	2.433114461	8.530123207
1.907600596	15.57723884	0.933954422	1.907600596	2.432377035	8.529906156
1.967213115	15.6456674	0.926581241	1.967213115	2.430426134	8.529957605
2.026825633	15.72850808	0.917552175	2.026825633	2.429870009	8.52998954
2.086438152	15.75255863	0.917728606	2.086438152	2.43108115	8.529932741
2.146050671	15.83155023	0.908250067	2.146050671	2.432462997	8.529984699
2.205663189	15.87278617	0.900561647	2.205663189	2.429634492	8.53027676
2.265275708	15.95168373	0.894415862	2.265275708	2.429924881	8.53032696
2.324888227	16.02472685	0.886103143	2.324888227	2.430403103	8.530381049
2.384500745	16.11113544	0.879868149	2.384500745	2.429238753	8.531055385
2.444113264	16.16272582	0.873180234	2.444113264	2.430274807	8.531011365
2.503725782	16.19256485	0.873164892	2.503725782	2.428655903	8.531551434
2.563338301	16.25666386	0.867242037	2.563338301	2.430084674	8.531261635
2.62295082	16.35491703	0.85618171	2.62295082	2.427898235	8.533752538
2.682563338	16.45234221	0.844145377	2.682563338	2.42804836	8.534035258
2.742175857	16.51668502	0.837378444	2.742175857	2.427644135	8.535979708
2.801788376	16.59285587	0.83384314	2.801788376	2.428225927	8.534818164
2.861400894	16.63352579	0.828619253	2.861400894	2.426944649	8.535515894
2.921013413	16.73065147	0.82026056	2.921013413	2.427715989	8.53528521
2.980625931	16.76733727	0.818385525	2.980625931	2.428869779	8.534596206
3.04023845	16.82815508	0.814841826	3.04023845	2.428050728	8.533653223
3.099850969	16.84290553	0.814027382	3.099850969	2.431503891	8.53254939
3.159463487	16.89297431	0.808060911	3.159463487	2.431201504	8.531801925
3.219076006	16.98080196	0.793972426	3.219076006	2.430603153	8.532468265
3.278688525	17.02183939	0.787098898	3.278688525	2.426582611	8.531958863
3.338301043	17.04716752	0.785047227	3.338301043	2.429166773	8.530998289
3.397913562	17.07532023	0.782790904	3.397913562	2.425722744	8.53175145
3.45752608	17.11921772	0.780005171	3.45752608	2.428511323	8.530932521
3.517138599	17.13305367	0.780085865	3.517138599	2.428690863	8.53027686
3.576751118	17.2207764	0.772554548	3.576751118	2.430026091	8.530293066
3.636363636	17.29584638	0.76503411	3.636363636	2.430077726	8.530042399
3.695976155	17.3223314	0.763892131	3.695976155	2.432485892	8.529686878
3.755588674	17.36181737	0.75853009	3.755588674	2.431756925	8.530484718
3.815201192	17.4121872	0.752176628	3.815201192	2.439352882	8.529106315
3.874813711	17.46985672	0.744145984	3.874813711	2.438899836	8.529175483
3.93442623	17.49696888	0.742352876	3.93442623	2.440453133	8.529158553
3.994038748	17.53244952	0.740466448	3.994038748	2.443290954	8.529126891
4.053651267	17.600709	0.731905869	4.053651267	2.440249193	8.529806093
4.113263785	17.66293175	0.726081629	4.113263785	2.440235968	8.530799443
4.172876304	17.72532669	0.719084426	4.172876304	2.438621729	8.531291681
4.232488823	17.7880559	0.714468519	4.232488823	2.435511256	8.531684694
4.292101341	17.80675278	0.712416958	4.292101341	2.434075632	8.533009781
4.35171386	17.87711122	0.703663797	4.35171386	2.434690666	8.533674796
4.411326379	17.95042003	0.692797184	4.411326379	2.430488332	8.53408526
4.470938897	18.00001744	0.689279325	4.470938897	2.429379674	8.534099045
4.530551416	18.09546101	0.67843806	4.530551416	2.430606063	8.534259528
4.590163934	18.14426939	0.673935136	4.590163934	2.428375318	8.533173056
4.649776453	18.23177339	0.667876557	4.649776453	2.430722968	8.531053293
4.709388972	18.2571698	0.667198728	4.709388972	2.427672065	8.531995532
4.76900149	18.34568562	0.658784295	4.76900149	2.427951077	8.532204977
4.828614009	18.41627648	0.655422184	4.828614009	2.429060943	8.531708136
4.888226528	18.47660946	0.650064521	4.888226528	2.430432353	8.530402155
4.947839046	18.52729319	0.645824457	4.947839046	2.434551932	8.5291546
5.007451565	18.57637528	0.643297791	5.007451565	2.434659483	8.529889129
5.067064083	18.63764167	0.638678968	5.067064083	2.435103575	8.530589732
5.126676602	18.67613337	0.635200606	5.126676602	2.438801747	8.529054646
5.186289121	18.73587278	0.62795408	5.186289121	2.44145158	8.528662824
5.245901639	18.77027164	0.622222456	5.245901639	2.440477033	8.53057735
5.305514158	18.8231723	0.612458259	5.305514158	2.436586692	8.530182248
5.365126677	18.82405953	0.611359635	5.365126677	2.434265211	8.53089875
5.424739195	18.91347927	0.601096032	5.424739195	2.433894719	8.530004809
5.484351714	18.95706719	0.598270326	5.484351714	2.438399616	8.52940986
5.543964232	18.97718214	0.594753841	5.543964232	2.436724835	8.530250353
5.603576751	19.0183482	0.589142286	5.603576751	2.437610084	8.531026012
5.66318927	19.03188032	0.587057119	5.66318927	2.439655954	8.530606656
5.722801788	19.06358729	0.583755819	5.722801788	2.438521326	8.531235361
5.782414307	19.13787231	0.575897608	5.782414307	2.437858898	8.53042624
5.842026826	19.16526113	0.574357399	5.842026826	2.437210436	8.530117913
5.901639344	19.17396265	0.574546621	5.901639344	2.436628104	8.529933069
