FASC			ExtMarker		
t	x	y	t	x	y
0	21.92918939	0	0	45.01980703	0
0.018755392	21.93086762	0	0.018755392	45.01982331	0
0.037510784	21.9273363	0	0.037510784	45.01817064	0
0.056266177	21.92116859	0	0.056266177	45.01591687	0
0.075021569	21.92358286	0	0.075021569	45.01368082	0
0.093776961	21.92555497	0	0.093776961	45.01553435	0
0.112532353	21.92488903	0	0.112532353	45.01516135	0
0.131287745	21.92053631	0	0.131287745	45.01430444	0
0.150043137	21.92066338	0	0.150043137	45.01307642	0
0.16879853	21.91800484	0	0.16879853	45.01258237	0
0.187553922	21.91602148	0	0.187553922	45.01323904	0
0.206309314	21.90986517	0	0.206309314	45.01268342	0
0.225064706	21.90636052	0	0.225064706	45.01224537	0
0.243820098	21.90021238	0	0.243820098	45.01237563	0
0.262575491	21.89338921	0	0.262575491	45.01208854	0
0.281330883	21.88934523	0	0.281330883	45.01083713	0
0.300086275	21.86018498	0	0.300086275	45.01256682	0
0.318841667	21.84529375	0	0.318841667	45.01331638	0
0.337597059	21.82718941	0	0.337597059	45.0141374	0
0.356352451	21.81849553	0	0.356352451	45.01374332	0
0.375107844	21.8186269	0	0.375107844	45.01404583	0
0.393863236	21.8256974	0	0.393863236	45.01502493	0
0.412618628	21.82591223	0	0.412618628	45.01596765	0
0.43137402	21.80509765	0	0.43137402	45.01360355	0
0.450129412	21.78516423	0	0.450129412	45.01540363	0
0.468884804	21.77194026	0	0.468884804	45.01609112	0
0.487640197	21.76934818	0	0.487640197	45.01640828	0
0.506395589	21.76666597	0	0.506395589	45.01681744	0
0.525150981	21.76213221	0	0.525150981	45.01773036	0
0.543906373	21.7595122	0	0.543906373	45.01719964	0
0.562661765	21.76398591	0	0.562661765	45.01811416	0
0.581417157	21.76267106	0	0.581417157	45.01854872	0
0.60017255	21.76256451	0	0.60017255	45.01816117	0
0.618927942	21.7640612	0	0.618927942	45.01909414	0
0.637683334	21.7606403	0	0.637683334	45.01823866	0
0.656438726	21.76352655	0	0.656438726	45.01849188	0
0.675194118	21.76434719	0	0.675194118	45.01844138	0
0.693949511	21.7640218	0	0.693949511	45.01799511	0
0.712704903	21.76250218	0	0.712704903	45.01846039	0
0.731460295	21.75933695	0	0.731460295	45.018164	0
0.750215687	21.75364284	0	0.750215687	45.01724179	0
0.768971079	21.74572137	0	0.768971079	45.01713213	0
0.787726471	21.74042834	0	0.787726471	45.01651076	0
0.806481864	21.70401441	0	0.806481864	45.01624672	0
0.825237256	21.70263339	0	0.825237256	45.0174263	0
0.843992648	21.69578923	0	0.843992648	45.01644536	0
0.86274804	21.68971669	0	0.86274804	45.01640195	0
0.881503432	21.68516055	0	0.881503432	45.01612619	0
0.900258824	21.68161537	0	0.900258824	45.01523667	0
0.919014217	21.68574371	0	0.919014217	45.01613627	0
0.937769609	21.6895016	0	0.937769609	45.01587647	0
0.956525001	21.68552955	0	0.956525001	45.01481653	0
0.975280393	21.68155303	0	0.975280393	45.01505877	0
0.994035785	21.68405506	0	0.994035785	45.01501218	0
1.012791177	21.68531459	0	1.012791177	45.01420697	0
1.03154657	21.69154179	0	1.03154657	45.01545495	0
1.050301962	21.69068916	0	1.050301962	45.01521265	0
1.069057354	21.6905156	0	1.069057354	45.01454371	0
1.087812746	21.69118756	0	1.087812746	45.0149774	0
1.106568138	21.69282555	0	1.106568138	45.01518031	0
1.125323531	21.6921331	0	1.125323531	45.01579796	0
1.144078923	21.69344814	0	1.144078923	45.01593026	0
1.162834315	21.6914758	0	1.162834315	45.01514198	0
1.181589707	21.69071385	0	1.181589707	45.01568756	0
1.200345099	21.69092162	0	1.200345099	45.01603342	0
1.219100491	21.69194721	0	1.219100491	45.01520986	0
1.237855884	21.69361061	0	1.237855884	45.01541524	0
1.256611276	21.69201679	0	1.256611276	45.01371874	0
1.275366668	21.69168622	0	1.275366668	45.01521001	0
1.29412206	21.69278644	0	1.29412206	45.01403975	0
1.312877452	21.69307968	0	1.312877452	45.01453115	0
1.331632844	21.69288378	0	1.331632844	45.01501767	0
1.350388237	21.69447353	0	1.350388237	45.01511358	0
1.369143629	21.69461373	0	1.369143629	45.01427637	0
1.387899021	21.69604766	0	1.387899021	45.0149076	0
1.406654413	21.69485778	0	1.406654413	45.01498931	0
1.425409805	21.69540484	0	1.425409805	45.01554455	0
1.444165197	21.69375399	0	1.444165197	45.01564069	0
1.46292059	21.68931576	0	1.46292059	45.01538261	0
1.481675982	21.68615463	0	1.481675982	45.01573661	0
1.500431374	21.68181792	0	1.500431374	45.01522378	0
1.519186766	21.68677137	0	1.519186766	45.01629678	0
1.537942158	21.68240006	0	1.537942158	45.01674932	0
1.556697551	21.67811696	0	1.556697551	45.01540836	0
1.575452943	21.66284832	0	1.575452943	45.01476491	0
1.594208335	21.62220432	0	1.594208335	45.01518192	0
1.612963727	21.61795517	0	1.612963727	45.01608096	0
1.631719119	21.60359981	0	1.631719119	45.01610388	0
1.650474511	21.58174692	0	1.650474511	45.01732005	0
1.669229904	21.55485551	0	1.669229904	45.01581002	0
1.687985296	21.54764643	0	1.687985296	45.0168162	0
1.706740688	21.51098028	0	1.706740688	45.01629677	0
1.72549608	21.46139023	0	1.72549608	45.01586753	0
1.744251472	21.4311593	0	1.744251472	45.01693125	0
1.763006864	21.3795299	0	1.763006864	45.01695521	0
1.781762257	21.33374758	0	1.781762257	45.01647893	0
1.800517649	21.29034879	0	1.800517649	45.01612477	0
1.819273041	21.25969773	0	1.819273041	45.01654558	0
1.838028433	21.22403032	0	1.838028433	45.01676242	0
1.856783825	21.17035399	0	1.856783825	45.01651038	0
1.875539218	21.0959989	0	1.875539218	45.01702696	0
1.89429461	21.04740744	0	1.89429461	45.01704961	0
1.913050002	20.89384822	0	1.913050002	45.01683299	0
1.931805394	20.69316507	0	1.931805394	45.01695261	0
1.950560786	20.50802181	0	1.950560786	45.01766892	0
1.969316178	20.35052177	0	1.969316178	45.0171025	0
1.988071571	20.16309489	0	1.988071571	45.01702068	0
2.006826963	20.06054638	0	2.006826963	45.01735221	0
2.025582355	19.90555416	0	2.025582355	45.01775159	0
2.044337747	19.74525484	0	2.044337747	45.01590047	0
2.063093139	19.6022155	0	2.063093139	45.01679586	0
2.081848531	19.48394296	0	2.081848531	45.01670441	0
2.100603924	19.43010216	0	2.100603924	45.01687475	0
2.119359316	19.26685711	0	2.119359316	45.01658624	0
2.138114708	19.09215241	0	2.138114708	45.01520849	0
2.1568701	18.93781301	0	2.1568701	45.01513939	0
2.175625492	18.78693492	0	2.175625492	45.01472308	0
2.194380885	18.67661423	0	2.194380885	45.01536158	0
2.213136277	18.51955576	0	2.213136277	45.01460831	0
2.231891669	18.37053532	0	2.231891669	45.01258463	0
2.250647061	18.21331315	0	2.250647061	45.01235342	0
2.269402453	18.03917713	0	2.269402453	45.01194765	0
2.288157845	17.8865078	0	2.288157845	45.01274178	0
2.306913238	17.81322141	0	2.306913238	45.01295369	0
2.32566863	17.68829814	0	2.32566863	45.01169954	0
2.344424022	17.59474453	0	2.344424022	45.01103997	0
2.363179414	17.45512312	0	2.363179414	45.00863238	0
2.381934806	17.37757615	0	2.381934806	45.01118937	0
2.400690198	17.22262403	0	2.400690198	45.00931087	0
2.419445591	17.18502949	0	2.419445591	45.01177693	0
2.438200983	17.06669829	0	2.438200983	45.01158699	0
2.456956375	16.96036489	0	2.456956375	45.01223548	0
2.475711767	16.83151943	0	2.475711767	45.0120048	0
2.494467159	16.73337882	0	2.494467159	45.01321042	0
2.513222551	16.63595139	0	2.513222551	45.01097719	0
2.531977944	16.57516714	0	2.531977944	45.01363195	0
2.550733336	16.4764058	0	2.550733336	45.01393085	0
2.569488728	16.36658874	0	2.569488728	45.01430032	0
2.58824412	16.27943603	0	2.58824412	45.01541254	0
2.606999512	16.18298585	0	2.606999512	45.01575241	0
2.625754905	16.07279803	0	2.625754905	45.01565091	0
2.644510297	16.03647808	0	2.644510297	45.01718267	0
2.663265689	15.93505192	0	2.663265689	45.01737002	0
2.682021081	15.83646064	0	2.682021081	45.01681932	0
2.700776473	15.74800285	0	2.700776473	45.0175517	0
2.719531865	15.63350459	0	2.719531865	45.01867018	0
2.738287258	15.60032876	0	2.738287258	45.01789766	0
2.75704265	15.46265922	0	2.75704265	45.01830002	0
2.775798042	15.30963389	0	2.775798042	45.01786193	0
2.794553434	15.16570942	0	2.794553434	45.01773474	0
2.813308826	15.01853829	0	2.813308826	45.0175279	0
2.832064218	14.96773676	0	2.832064218	45.0176797	0
2.850819611	14.84477987	0	2.850819611	45.01634804	0
2.869575003	14.72774069	0	2.869575003	45.01638652	0
2.888330395	14.6566328	0	2.888330395	45.01683222	0
2.907085787	14.55135136	0	2.907085787	45.01621805	0
2.925841179	14.44609093	0	2.925841179	45.01662043	0
2.944596572	14.40862019	0	2.944596572	45.01647933	0
2.963351964	14.27034942	0	2.963351964	45.0156692	0
2.982107356	14.13302161	0	2.982107356	45.01549386	0
3.000862748	14.01109624	0	3.000862748	45.01627559	0
3.01961814	13.86104529	0	3.01961814	45.01536371	0
3.038373532	13.78103255	0	3.038373532	45.01520531	0
3.057128925	13.61866906	0	3.057128925	45.0159503	0
3.075884317	13.47135808	0	3.075884317	45.01543953	0
3.094639709	13.33633953	0	3.094639709	45.01469678	0
3.113395101	13.18716335	0	3.113395101	45.0147531	0
3.132150493	13.14578309	0	3.132150493	45.01520416	0
3.150905885	12.98105187	0	3.150905885	45.01548899	0
3.169661278	12.8292107	0	3.169661278	45.01585104	0
3.18841667	12.68821717	0	3.18841667	45.01647156	0
3.207172062	12.55206764	0	3.207172062	45.01596605	0
3.225927454	12.40038784	0	3.225927454	45.01666637	0
3.244682846	12.35374057	0	3.244682846	45.01699735	0
3.263438238	12.21969301	0	3.263438238	45.01770761	0
3.282193631	12.05761588	0	3.282193631	45.01677322	0
3.300949023	11.89284395	0	3.300949023	45.01675884	0
3.319704415	11.68892605	0	3.319704415	45.01644024	0
3.338459807	11.49341999	0	3.338459807	45.01740046	0
3.357215199	11.39811595	0	3.357215199	45.01648547	0
3.375970592	11.20421862	0	3.375970592	45.01608803	0
3.394725984	11.01258671	0	3.394725984	45.01698291	0
3.413481376	10.85090703	0	3.413481376	45.01521555	0
3.432236768	10.68523506	0	3.432236768	45.01387666	0
3.45099216	10.59171497	0	3.45099216	45.01383117	0
3.469747552	10.43585259	0	3.469747552	45.01201748	0
3.488502945	10.27046371	0	3.488502945	45.01142812	0
3.507258337	10.12368646	0	3.507258337	45.01135737	0
3.526013729	9.991061011	0	3.526013729	45.01073048	0
3.544769121	9.95588803	0	3.544769121	45.01235901	0
3.563524513	9.827972658	0	3.563524513	45.01167269	0
3.582279905	9.708917986	0	3.582279905	45.01162769	0
3.601035298	9.589801002	0	3.601035298	45.01128728	0
3.61979069	9.484234929	0	3.61979069	45.01252261	0
3.638546082	9.402606445	0	3.638546082	45.01293764	0
3.657301474	9.255317297	0	3.657301474	45.01354103	0
3.676056866	9.103735283	0	3.676056866	45.01259575	0
3.694812259	8.957693623	0	3.694812259	45.01170163	0
3.713567651	8.806024327	0	3.713567651	45.01190948	0
3.732323043	8.664155174	0	3.732323043	45.0124598	0
3.751078435	8.557531858	0	3.751078435	45.01291829	0
3.769833827	8.497684495	0	3.769833827	45.013225	0
3.788589219	8.356034251	0	3.788589219	45.01212718	0
3.807344612	8.209782366	0	3.807344612	45.01011921	0
3.826100004	8.054163186	0	3.826100004	45.00633709	0
3.844855396	7.91394916	0	3.844855396	45.00815497	0
3.863610788	7.876308534	0	3.863610788	45.01044676	0
3.88236618	7.755994847	0	3.88236618	45.00769024	0
3.901121572	7.639230196	0	3.901121572	45.00904828	0
3.919876965	7.549978897	0	3.919876965	45.00740551	0
3.938632357	7.395724692	0	3.938632357	45.00707279	0
3.957387749	7.324118079	0	3.957387749	45.00962535	0
3.976143141	7.168353382	0	3.976143141	45.01046027	0
3.994898533	6.978578284	0	3.994898533	45.01204973	0
4.013653926	6.737199974	0	4.013653926	45.01271982	0
4.032409318	6.54379067	0	4.032409318	45.01310208	0
4.05116471	6.350935568	0	4.05116471	45.01468722	0
4.069920102	6.259261432	0	4.069920102	45.01620706	0
4.088675494	6.101370271	0	4.088675494	45.01530703	0
4.107430886	5.968888309	0	4.107430886	45.01644661	0
4.126186279	5.804168325	0	4.126186279	45.01679722	0
4.144941671	5.649290852	0	4.144941671	45.01718875	0
4.163697063	5.560423782	0	4.163697063	45.0183883	0
4.182452455	5.397388278	0	4.182452455	45.01619666	0
4.201207847	5.275653024	0	4.201207847	45.0163124	0
4.219963239	5.136097547	0	4.219963239	45.0167264	0
4.238718632	4.995995763	0	4.238718632	45.01629571	0
4.257474024	4.843048968	0	4.257474024	45.01637183	0
4.276229416	4.800183167	0	4.276229416	45.01777177	0
4.294984808	4.68307767	0	4.294984808	45.01712951	0
4.3137402	4.636714862	0	4.3137402	45.01776459	0
4.332495592	4.522922422	0	4.332495592	45.01665714	0
4.351250985	4.411879175	0	4.351250985	45.01656244	0
4.370006377	4.364586175	0	4.370006377	45.01706399	0
4.388761769	4.333122842	0	4.388761769	45.01622276	0
4.407517161	4.292518534	0	4.407517161	45.01605582	0
4.426272553	4.282315356	0	4.426272553	45.01683798	0
4.445027946	4.25970611	0	4.445027946	45.0162157	0
