mass_B			Ext Marker		
1.669579735	34.44818172	0	1.669579735	44.76984629	0
1.695666919	34.44833696	0	1.695666919	44.77194438	0
1.721754102	34.44819671	0	1.721754102	44.77084447	0
1.747841286	34.44829887	0	1.747841286	44.77020845	0
1.773928469	34.44761841	0	1.773928469	44.76960914	0
1.800015652	34.44804869	0	1.800015652	44.76760439	0
1.826102836	34.44764697	0	1.826102836	44.77041314	0
1.852190019	34.4473464	0	1.852190019	44.76952732	0
1.878277202	34.44731809	0	1.878277202	44.7699813	0
1.904364386	34.44751292	0	1.904364386	44.77007499	0
1.930451569	34.44766117	0	1.930451569	44.76762682	0
1.956538753	34.44714548	0	1.956538753	44.77125257	0
1.982625936	34.44779452	0	1.982625936	44.77002138	0
2.008713119	34.42495771	0	2.008713119	44.76638584	0
2.034800303	34.37088613	0	2.034800303	44.7626602	0
2.060887486	34.24730448	0	2.060887486	44.73961105	0
2.086974669	33.98383864	0	2.086974669	44.73820474	0
2.113061853	33.9364759	0	2.113061853	44.74859348	0
2.139149036	33.76778764	0	2.139149036	44.76854547	0
2.165236219	33.7228367	0	2.165236219	44.77126306	0
2.191323403	33.62680679	0	2.191323403	44.77301781	0
2.217410586	33.56475352	0	2.217410586	44.77475555	0
2.24349777	33.44634513	0	2.24349777	44.77495829	0
2.269584953	33.3633404	0	2.269584953	44.77591979	0
2.295672136	33.29974081	0	2.295672136	44.77700669	0
2.32175932	33.2042106	0	2.32175932	44.7756744	0
2.347846503	33.09442677	0	2.347846503	44.77596862	0
2.373933686	32.93907342	0	2.373933686	44.77718051	0
2.40002087	32.81799462	0	2.40002087	44.78175224	0
2.426108053	32.60643576	0	2.426108053	44.7924055	0
2.452195236	32.46777799	0	2.452195236	44.7823793	0
2.47828242	32.27455914	0	2.47828242	44.77912111	0
2.504369603	32.16518205	0	2.504369603	44.76951683	0
2.530456787	32.0515533	0	2.530456787	44.76648172	0
2.55654397	32.0217342	0	2.55654397	44.7647322	0
2.582631153	32.01694032	0	2.582631153	44.7656647	0
2.608718337	31.94083683	0	2.608718337	44.76527365	0
2.63480552	31.87513067	0	2.63480552	44.76112567	0
2.660892703	31.85304745	0	2.660892703	44.76026208	0
2.686979887	31.69657836	0	2.686979887	44.74475084	0
2.71306707	31.56803058	0	2.71306707	44.74710736	0
2.739154254	31.36274819	0	2.739154254	44.74447577	0
2.765241437	31.08942514	0	2.765241437	44.74511734	0
2.79132862	30.92005015	0	2.79132862	44.7550649	0
2.817415804	30.82861632	0	2.817415804	44.76431657	0
2.843502987	30.70589341	0	2.843502987	44.77042612	0
2.86959017	30.67327809	0	2.86959017	44.77064009	0
2.895677354	30.62925538	0	2.895677354	44.7709171	0
2.921764537	30.54343236	0	2.921764537	44.77008766	0
2.94785172	30.51906995	0	2.94785172	44.76957818	0
2.973938904	30.45315475	0	2.973938904	44.76805911	0
3.000026087	30.26237849	0	3.000026087	44.76608608	0
3.026113271	30.09190134	0	3.026113271	44.76929517	0
3.052200454	29.98102686	0	3.052200454	44.77082726	0
3.078287637	29.77328379	0	3.078287637	44.77690352	0
3.104374821	29.72145527	0	3.104374821	44.7755165	0
3.130462004	29.59989299	0	3.130462004	44.76874057	0
3.156549187	29.50203208	0	3.156549187	44.76120726	0
3.182636371	29.32347409	0	3.182636371	44.75607516	0
3.208723554	29.29174446	0	3.208723554	44.75729899	0
3.234810737	29.13060629	0	3.234810737	44.74758103	0
3.260897921	28.98083227	0	3.260897921	44.74362945	0
3.286985104	28.88410586	0	3.286985104	44.74778515	0
3.313072288	28.78997652	0	3.313072288	44.75345552	0
3.339159471	28.69525868	0	3.339159471	44.75451807	0
3.365246654	28.54509247	0	3.365246654	44.75533278	0
3.391333838	28.44476539	0	3.391333838	44.76137655	0
3.417421021	28.2804389	0	3.417421021	44.7633975	0
3.443508204	28.06371227	0	3.443508204	44.76250476	0
3.469595388	27.96685567	0	3.469595388	44.75992486	0
3.495682571	27.85854434	0	3.495682571	44.76263012	0
3.521769755	27.81831978	0	3.521769755	44.76233481	0
3.547856938	27.67101931	0	3.547856938	44.75642393	0
3.573944121	27.6454163	0	3.573944121	44.76182001	0
3.600031305	27.55948641	0	3.600031305	44.76151868	0
3.626118488	27.50039184	0	3.626118488	44.76114361	0
3.652205671	27.37903283	0	3.652205671	44.7612593	0
3.678292855	27.29833343	0	3.678292855	44.76247696	0
3.704380038	27.10244492	0	3.704380038	44.76600085	0
3.730467221	27.05333137	0	3.730467221	44.76798118	0
3.756554405	26.86161797	0	3.756554405	44.76734444	0
3.782641588	26.69070565	0	3.782641588	44.76489327	0
3.808728772	26.57660443	0	3.808728772	44.76268462	0
3.834815955	26.48326608	0	3.834815955	44.7629105	0
3.860903138	26.19295396	0	3.860903138	44.75703013	0
3.886990322	26.06121178	0	3.886990322	44.754623	0
3.913077505	25.94381517	0	3.913077505	44.75951308	0
3.939164688	25.82155012	0	3.939164688	44.7664398	0
3.965251872	25.6259981	0	3.965251872	44.76856747	0
3.991339055	25.34690682	0	3.991339055	44.78004808	0
4.017426238	25.27713338	0	4.017426238	44.77711152	0
4.043513422	25.11394718	0	4.043513422	44.77600442	0
4.069600605	24.77692522	0	4.069600605	44.75925213	0
4.095687789	24.69175235	0	4.095687789	44.76359127	0
4.121774972	24.3525536	0	4.121774972	44.74854498	0
4.147862155	24.20320686	0	4.147862155	44.75241141	0
4.173949339	23.99900963	0	4.173949339	44.74635071	0
4.200036522	23.86257283	0	4.200036522	44.753175	0
4.226123705	23.75709262	0	4.226123705	44.74877514	0
4.252210889	23.71235177	0	4.252210889	44.75477423	0
4.278298072	23.52020593	0	4.278298072	44.75413081	0
4.304385256	23.33858618	0	4.304385256	44.74709439	0
4.330472439	23.30931773	0	4.330472439	44.75521085	0
4.356559622	23.16777075	0	4.356559622	44.76574077	0
4.382646806	23.14226318	0	4.382646806	44.76917019	0
4.408733989	23.09964869	0	4.408733989	44.7755693	0
4.434821172	23.00570379	0	4.434821172	44.78053684	0
4.460908356	22.8926159	0	4.460908356	44.78568942	0
4.486995539	22.82997169	0	4.486995539	44.78771082	0
4.513082722	22.67782095	0	4.513082722	44.79733543	0
4.539169906	22.54832277	0	4.539169906	44.78998223	0
4.565257089	22.45341929	0	4.565257089	44.78324476	0
4.591344273	22.39387443	0	4.591344273	44.78027813	0
4.617431456	22.3643761	0	4.617431456	44.77802538	0
4.643518639	22.28832344	0	4.643518639	44.7746655	0
4.669605823	22.15036418	0	4.669605823	44.77096634	0
4.695693006	22.11164238	0	4.695693006	44.77375826	0
4.721780189	21.90937777	0	4.721780189	44.76448635	0
4.747867373	21.80030015	0	4.747867373	44.76198696	0
4.773954556	21.67870412	0	4.773954556	44.75682767	0
4.800041739	21.50315256	0	4.800041739	44.74314912	0
4.826128923	21.34256264	0	4.826128923	44.72013027	0
4.852216106	21.32166141	0	4.852216106	44.693957	0
4.87830329	21.26910449	0	4.87830329	44.67507602	0
4.904390473	21.16295828	0	4.904390473	44.65563735	0
4.930477656	21.13353552	0	4.930477656	44.63251099	0
4.95656484	21.10975746	0	4.95656484	44.62143628	0
4.982652023	21.02587262	0	4.982652023	44.61181266	0
5.008739206	20.97058727	0	5.008739206	44.60608496	0
5.03482639	20.87305378	0	5.03482639	44.60178134	0
5.060913573	20.81306064	0	5.060913573	44.59575058	0
5.087000757	20.74366684	0	5.087000757	44.59693919	0
5.11308794	20.70421982	0	5.11308794	44.60281502	0
5.139175123	20.61706806	0	5.139175123	44.59970069	0
5.165262307	20.46218934	0	5.165262307	44.59404739	0
5.19134949	20.42780483	0	5.19134949	44.60380217	0
5.217436673	20.28565195	0	5.217436673	44.6052274	0
5.243523857	20.23509309	0	5.243523857	44.60444803	0
5.26961104	20.14839642	0	5.26961104	44.60406974	0
5.295698223	20.10462367	0	5.295698223	44.6031815	0
5.321785407	20.05329952	0	5.321785407	44.60362379	0
5.34787259	20.02515722	0	5.34787259	44.60623304	0
5.373959774	19.96515507	0	5.373959774	44.60518711	0
5.400046957	19.95781187	0	5.400046957	44.60900709	0
5.42613414	19.93020297	0	5.42613414	44.60959323	0
5.452221324	19.87378929	0	5.452221324	44.60576725	0
5.478308507	19.88066148	0	5.478308507	44.61143106	0
5.50439569	19.8693793	0	5.50439569	44.61320749	0
5.530482874	19.84335926	0	5.530482874	44.61335951	0
5.556570057	19.83452044	0	5.556570057	44.61554149	0
5.58265724	19.82352411	0	5.58265724	44.61012347	0
5.608744424	19.82702435	0	5.608744424	44.61121155	0
5.634831607	19.82948818	0	5.634831607	44.61334661	0
5.660918791	19.81526597	0	5.660918791	44.61062359	0
5.687005974	19.81640979	0	5.687005974	44.61231749	0
5.713093157	19.81694228	0	5.713093157	44.61241641	0
5.739180341	19.80847897	0	5.739180341	44.61239071	0
5.765267524	19.78949229	0	5.765267524	44.61174998	0
5.791354707	19.77408577	0	5.791354707	44.61089064	0
5.817441891	19.76699398	0	5.817441891	44.61160568	0
5.843529074	19.76271473	0	5.843529074	44.61140926	0
5.869616258	19.75978616	0	5.869616258	44.61141237	0
5.895703441	19.75460554	0	5.895703441	44.61207413	0
5.921790624	19.7484235	0	5.921790624	44.61316199	0
5.947877808	19.7430251	0	5.947877808	44.61509634	0
5.973964991	19.74582895	0	5.973964991	44.61553816	0
6.000052174	19.75091559	0	6.000052174	44.61414367	0
6.026139358	19.75255784	0	6.026139358	44.61506121	0
6.052226541	19.7450014	0	6.052226541	44.61435399	0
6.078313724	19.74543899	0	6.078313724	44.61605744	0
6.104400908	19.74994202	0	6.104400908	44.61614778	0
6.130488091	19.75506063	0	6.130488091	44.61677888	0
6.156575275	19.75602915	0	6.156575275	44.61481281	0
6.182662458	19.75747147	0	6.182662458	44.61606279	0
6.208749641	19.76045231	0	6.208749641	44.61442161	0
6.234836825	19.75773829	0	6.234836825	44.61605792	0
6.260924008	19.75023218	0	6.260924008	44.61770105	0
6.287011191	19.75628235	0	6.287011191	44.61404397	0
6.313098375	19.76160813	0	6.313098375	44.61755084	0
6.339185558	19.7619007	0	6.339185558	44.61595165	0
6.365272742	19.76511364	0	6.365272742	44.61544588	0
6.391359925	19.76406034	0	6.391359925	44.61433517	0
6.417447108	19.76101754	0	6.417447108	44.61446021	0
6.443534292	19.75996406	0	6.443534292	44.61626578	0
6.469621475	19.76726269	0	6.469621475	44.61808312	0
6.495708658	19.77377497	0	6.495708658	44.61884622	0
6.521795842	19.77332197	0	6.521795842	44.61726705	0
6.547883025	19.78956272	0	6.547883025	44.62016595	0
6.573970208	19.79347519	0	6.573970208	44.6182406	0
6.600057392	19.79137017	0	6.600057392	44.61982226	0
6.626144575	19.79557834	0	6.626144575	44.61921043	0
6.652231759	19.81027205	0	6.652231759	44.62035115	0
6.678318942	19.90755586	0	6.678318942	44.62422522	0
6.704406125	19.9326219	0	6.704406125	44.62339656	0
6.730493309	20.11175581	0	6.730493309	44.62849815	0
6.756580492	20.22810685	0	6.756580492	44.63221283	0
6.782667675	20.28985384	0	6.782667675	44.63305326	0
6.808754859	20.41743177	0	6.808754859	44.63803236	0
6.834842042	20.66761133	0	6.834842042	44.63798838	0
6.860929225	20.80031235	0	6.860929225	44.63509881	0
6.887016409	20.8861267	0	6.887016409	44.6314413	0
6.913103592	21.26367439	0	6.913103592	44.63967308	0
6.939190776	21.42182292	0	6.939190776	44.6409164	0
