mass_B			Ext Marker		
t	x	y	t	x	y
0	34.44775396	0	0	44.76992704	0
0.026087183	34.44721986	0	0.026087183	44.76904202	0
0.052174367	34.4475005	0	0.052174367	44.76959358	0
0.07826155	34.44712859	0	0.07826155	44.76904409	0
0.104348734	34.44697448	0	0.104348734	44.76976072	0
0.130435917	34.44775008	0	0.130435917	44.77152444	0
0.1565231	34.44829379	0	0.1565231	44.76988979	0
0.182610284	34.44770543	0	0.182610284	44.77057066	0
0.208697467	34.44767543	0	0.208697467	44.76950558	0
0.23478465	34.44781085	0	0.23478465	44.76966221	0
0.260871834	34.44814509	0	0.260871834	44.77063683	0
0.286959017	34.44752353	0	0.286959017	44.77024907	0
0.3130462	34.44804373	0	0.3130462	44.77048933	0
0.339133384	34.44789631	0	0.339133384	44.77087581	0
0.365220567	34.44776794	0	0.365220567	44.77010457	0
0.391307751	34.44769217	0	0.391307751	44.77099264	0
0.417394934	34.44769914	0	0.417394934	44.77041111	0
0.443482117	34.44812282	0	0.443482117	44.7697605	0
0.469569301	34.44807232	0	0.469569301	44.77042958	0
0.495656484	34.44780081	0	0.495656484	44.76988384	0
0.521743667	34.44800966	0	0.521743667	44.77032624	0
0.547830851	34.44792036	0	0.547830851	44.76958909	0
0.573918034	34.4480125	0	0.573918034	44.76914353	0
0.600005217	34.44766927	0	0.600005217	44.77090053	0
0.626092401	34.44777862	0	0.626092401	44.76782328	0
0.652179584	34.44698022	0	0.652179584	44.76977428	0
0.678266768	34.44781025	0	0.678266768	44.76958505	0
0.704353951	34.44741868	0	0.704353951	44.7711037	0
0.730441134	34.4478666	0	0.730441134	44.77047051	0
0.756528318	34.44818527	0	0.756528318	44.76986372	0
0.782615501	34.44831413	0	0.782615501	44.77003025	0
0.808702684	34.44741451	0	0.808702684	44.76882984	0
0.834789868	34.44688881	0	0.834789868	44.7706149	0
0.860877051	34.44713957	0	0.860877051	44.76974479	0
0.886964235	34.44677669	0	0.886964235	44.77056673	0
0.913051418	34.447536	0	0.913051418	44.77034792	0
0.939138601	34.44775395	0	0.939138601	44.76964576	0
0.965225785	34.44770255	0	0.965225785	44.76977383	0
0.991312968	34.44786942	0	0.991312968	44.77013796	0
1.017400151	34.44823388	0	1.017400151	44.76951837	0
1.043487335	34.44826512	0	1.043487335	44.77024761	0
1.069574518	34.44820427	0	1.069574518	44.770298	0
1.095661701	34.44830744	0	1.095661701	44.77017377	0
1.121748885	34.44812251	0	1.121748885	44.77065113	0
1.147836068	34.44824427	0	1.147836068	44.76965665	0
1.173923252	34.44810984	0	1.173923252	44.76908618	0
1.200010435	34.44766751	0	1.200010435	44.77038655	0
1.226097618	34.44797726	0	1.226097618	44.77001927	0
1.252184802	34.44770806	0	1.252184802	44.76877365	0
1.278271985	34.44749	0	1.278271985	44.769834	0
1.304359168	34.44816079	0	1.304359168	44.76997989	0
1.330446352	34.44801465	0	1.330446352	44.76895713	0
1.356533535	34.44764977	0	1.356533535	44.769766	0
1.382620718	34.44772312	0	1.382620718	44.7700679	0
1.408707902	34.44784082	0	1.408707902	44.76879608	0
1.434795085	34.44794493	0	1.434795085	44.7695269	0
1.460882269	34.44782331	0	1.460882269	44.77089291	0
1.486969452	34.44777564	0	1.486969452	44.77079961	0
1.513056635	34.44793819	0	1.513056635	44.76919592	0
1.539143819	34.44762233	0	1.539143819	44.76890723	0
1.565231002	34.4478978	0	1.565231002	44.76871771	0
1.591318185	34.44800368	0	1.591318185	44.77023479	0
1.617405369	34.44814405	0	1.617405369	44.77110466	0
1.643492552	34.4477923	0	1.643492552	44.76938073	0
