Fasc_BEST			mass_A		
t	x	y	t	x	y
0.00000000000000	5.97746839100000	1.67028475900000	0.00000000000000	4.01845474100000	10.18117105000000
0.05961251863000	5.99219378800000	1.67374383000000	0.05961251863000	4.01321176200000	10.18126877000000
0.11922503730000	6.00956420300000	1.67542266200000	0.11922503730000	4.01345397100000	10.18132193000000
0.17883755590000	6.11022757600000	1.65497599400000	0.17883755590000	4.01259663700000	10.18131158000000
0.23845007450000	6.19981924200000	1.63494125300000	0.23845007450000	4.00941230400000	10.18161489000000
0.29806259310000	6.31699836400000	1.60846060300000	0.29806259310000	4.00729995000000	10.18175800000000
0.35767511180000	6.45946588800000	1.58050792500000	0.35767511180000	4.00752204100000	10.18223470000000
0.41728763040000	6.62493399300000	1.56998166000000	0.41728763040000	4.00813996900000	10.18198928000000
0.47690014900000	6.66555693100000	1.57201537500000	0.47690014900000	4.00349292700000	10.18276026000000
0.53651266770000	6.67852859000000	1.56717595600000	0.53651266770000	3.98688574400000	10.18471225000000
0.59612518630000	6.70372875000000	1.56912784500000	0.59612518630000	3.94737353200000	10.19009535000000
0.65573770490000	6.72138727600000	1.56864840600000	0.65573770490000	3.93046868500000	10.19207128000000
0.71535022350000	6.72672028100000	1.57247330900000	0.71535022350000	3.91076313800000	10.19437942000000
0.77496274220000	6.79483832400000	1.56924036200000	0.77496274220000	3.90895261700000	10.19395254000000
0.83457526080000	6.84496167200000	1.56567182700000	0.83457526080000	3.88593566800000	10.19668394000000
0.89418777940000	6.90325886100000	1.55749497800000	0.89418777940000	3.87759035000000	10.19789235000000
0.95380029810000	6.96032690300000	1.54758390900000	0.95380029810000	3.87437208000000	10.19848362000000
1.01341281700000	7.03661029600000	1.53481282500000	1.01341281700000	3.87271760000000	10.19853702000000
1.07302533500000	7.11149319000000	1.52708884200000	1.07302533500000	3.87084970700000	10.19893775000000
1.13263785400000	7.20935204300000	1.51773830400000	1.13263785400000	3.87418993800000	10.19856637000000
1.19225037300000	7.31051087200000	1.50840977200000	1.19225037300000	3.87301000500000	10.19873013000000
1.25186289100000	7.38125793500000	1.49847650000000	1.25186289100000	3.87246320000000	10.19882026000000
1.31147541000000	7.45091622200000	1.48888437300000	1.31147541000000	3.87185093000000	10.19882716000000
1.37108792800000	7.50873785000000	1.48213578900000	1.37108792800000	3.87212542000000	10.19882273000000
1.43070044700000	7.54333809800000	1.47695645400000	1.43070044700000	3.87254550600000	10.19873767000000
1.49031296600000	7.61425975900000	1.46985109000000	1.49031296600000	3.87180601800000	10.19884761000000
1.54992548400000	7.68329172900000	1.46534794000000	1.54992548400000	3.87178152700000	10.19877065000000
1.60953800300000	7.68532345600000	1.46275845400000	1.60953800300000	3.86788085700000	10.19928542000000
1.66915052200000	7.72503865400000	1.45979382400000	1.66915052200000	3.86119113800000	10.19987227000000
1.72876304000000	7.73096333300000	1.46047076300000	1.72876304000000	3.84678087800000	10.20162219000000
1.78837555900000	7.74154365800000	1.46051662700000	1.78837555900000	3.82634187300000	10.20405524000000
