"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
8.3067	-0.599764	-0.288623	-0.51248	-11.5966	-0.295214	-72.5101	-0.303336	-0.865199	-1.06124	-59.357	-58.7455	-59.5096	-59.2035	-0.0225517	-93.8518		
8.3073	-0.294595	0.329855	-0.207318	-3.04172	-0.295214	-33.1592	-0.303336	-3.00582	-1.06124	-59.9673	-59.5093	-60.2715	-60.1189	-0.0233293	-36.1773		
8.308	0.010574	3.09239	0.0978696	10.6732	-0.295214	-4.45193	0.00183092	-3.60997	-1.06124	-60.1189	-59.5093	-60.1191	-60.424	-0.0231565	-52.0386		
8.3087	0.010574	2.18529	0.0978696	25.6373	0.0099704	8.34097	0.00183092	-2.08841	-1.06735	-59.0518	-58.8994	-59.662	-59.5086	-0.0227245	-55.8521		
8.3093	0.010574	-0.288623	0.0978696	22.8944	0.315155	-1.12577	0.307016	-1.171	-1.06124	-58.5932	-58.5935	-59.2049	-59.2035	-0.0221196	-49.7438		
8.31	-0.294595	3.09239	-0.207318	5.81185	0.0099704	-8.13628	0.00183092	-0.253593	-1.05514	-59.0518	-58.4415	-59.2049	-59.357	-0.0219468	-51.8699		
8.3107	0.010574	6.76203	-0.207318	2.1455	-0.295214	7.72691	-0.303336	2.18537	-1.06124	-58.8983	-58.4415	-59.2049	-59.5086	-0.0223789	-51.8699		
8.3113	0.010574	3.71087	0.0978696	10.9991	0.0099704	28.8096	0.00183092	2.49118	-1.05514	-58.5932	-58.2894	-59.2049	-59.357	-0.022206	-51.8699		
8.312	0.010574	1.56681	0.0978696	10.3744	0.0099704	32.7498	0.00183092	1.57377	-1.05514	-58.7467	-58.1356	-59.2049	-59.0518	-0.0219468	-51.5662		
8.3127	-0.294595	0.948334	-0.207318	2.44424	0.0099704	26.6604	0.00183092	0.962161	-1.06124	-58.7467	-58.1356	-59.2049	-58.7467	-0.021774	-51.1275		
