mass_B			mass_A		
t	x	y	t	x	y
2.680895367	15.21894627	0	2.680895367	41.15719356	0
2.706923477	15.10614811	0	2.706923477	41.16169694	0
2.732951588	14.94497668	0	2.732951588	41.15443756	0
2.758979698	14.92498541	0	2.758979698	41.15936067	0
2.785007808	14.78826571	0	2.785007808	41.15610015	0
2.811035919	14.71786158	0	2.811035919	41.16037919	0
2.837064029	14.63441553	0	2.837064029	41.163147	0
2.86309214	14.57290343	0	2.86309214	41.16274296	0
2.88912025	14.43599969	0	2.88912025	41.15982529	0
2.91514836	14.4159508	0	2.91514836	41.16095499	0
2.941176471	14.32250328	0	2.941176471	41.16296581	0
2.967204581	14.21549087	0	2.967204581	41.15955718	0
2.993232691	14.11335508	0	2.993232691	41.15917076	0
3.019260802	14.03189086	0	3.019260802	41.16022575	0
3.045288912	14.01631574	0	3.045288912	41.16328111	0
3.071317022	13.92988156	0	3.071317022	41.16194855	0
3.097345133	13.85471529	0	3.097345133	41.16270851	0
3.123373243	13.73838943	0	3.123373243	41.16104751	0
3.149401353	13.73058291	0	3.149401353	41.16445387	0
3.175429464	13.73798048	0	3.175429464	41.16718558	0
3.201457574	13.7340354	0	3.201457574	41.16762474	0
3.227485685	13.69591396	0	3.227485685	41.16611015	0
3.253513795	13.64682514	0	3.253513795	41.16652879	0
3.279541905	13.61499427	0	3.279541905	41.16446819	0
3.305570016	13.59641903	0	3.305570016	41.1667634	0
3.331598126	13.56441908	0	3.331598126	41.16646834	0
3.357626236	13.44983898	0	3.357626236	41.16560256	0
3.383654347	13.43276505	0	3.383654347	41.16815606	0
3.409682457	13.38266395	0	3.409682457	41.17183451	0
3.435710567	13.24106892	0	3.435710567	41.16957825	0
3.461738678	13.2086857	0	3.461738678	41.16897424	0
3.487766788	13.08382763	0	3.487766788	41.17292432	0
3.513794898	13.02247573	0	3.513794898	41.17510044	0
3.539823009	12.98969744	0	3.539823009	41.17238685	0
3.565851119	12.97622182	0	3.565851119	41.17293737	0
3.59187923	12.84025087	0	3.59187923	41.17297646	0
3.61790734	12.79729354	0	3.61790734	41.17346356	0
3.64393545	12.6934404	0	3.64393545	41.17284122	0
3.669963561	12.51458034	0	3.669963561	41.17198894	0
3.695991671	12.48528759	0	3.695991671	41.17190603	0
3.722019781	12.24206327	0	3.722019781	41.17817874	0
3.748047892	12.11141893	0	3.748047892	41.17218144	0
3.774076002	11.95345197	0	3.774076002	41.17128088	0
3.800104112	11.87687269	0	3.800104112	41.1702654	0
3.826132223	11.85853264	0	3.826132223	41.17140965	0
3.852160333	11.84226264	0	3.852160333	41.17133403	0
3.878188444	11.75564199	0	3.878188444	41.17192998	0
3.904216554	11.50960431	0	3.904216554	41.17341289	0
3.930244664	11.44360388	0	3.930244664	41.17289917	0
3.956272775	11.23374007	0	3.956272775	41.17051177	0
3.982300885	11.16439343	0	3.982300885	41.17036505	0
4.008328995	11.11910907	0	4.008328995	41.16854905	0
4.034357106	11.09120625	0	4.034357106	41.16708674	0
4.060385216	11.05194067	0	4.060385216	41.16429581	0
4.086413326	10.9498532	0	4.086413326	41.16250867	0
4.112441437	10.80261943	0	4.112441437	41.1551293	0
4.138469547	10.78284848	0	4.138469547	41.15717646	0
4.164497657	10.68989317	0	4.164497657	41.15714881	0
4.190525768	10.42109285	0	4.190525768	41.13431732	0
4.216553878	10.2411464	0	4.216553878	41.12571988	0
4.242581989	10.04518686	0	4.242581989	41.13085455	0
4.268610099	9.763234428	0	4.268610099	41.14759014	0
4.294638209	9.716470469	0	4.294638209	41.15984573	0
4.32066632	9.607555828	0	4.32066632	41.15944281	0
4.34669443	9.444649223	0	4.34669443	41.17298371	0
4.37272254	9.42920132	0	4.37272254	41.17348734	0
4.398750651	9.416013405	0	4.398750651	41.17099941	0
4.424778761	9.281703498	0	4.424778761	41.17029527	0
4.450806871	9.25969944	0	4.450806871	41.16620111	0
4.476834982	9.157610955	0	4.476834982	41.16350122	0
4.502863092	9.086505992	0	4.502863092	41.15680957	0
4.528891202	9.046126965	0	4.528891202	41.16296802	0
4.554919313	8.958355658	0	4.554919313	41.16157122	0
4.580947423	8.928676553	0	4.580947423	41.15970592	0
4.606975534	8.885471272	0	4.606975534	41.15902399	0
4.633003644	8.877866871	0	4.633003644	41.16624788	0
4.659031754	8.827914828	0	4.659031754	41.16550759	0
4.685059865	8.676718282	0	4.685059865	41.16381134	0
4.711087975	8.572978656	0	4.711087975	41.16687239	0
4.737116085	8.544828278	0	4.737116085	41.16594605	0
4.763144196	8.399491536	0	4.763144196	41.17012641	0
4.789172306	8.268284178	0	4.789172306	41.16705737	0
4.815200416	8.195410701	0	4.815200416	41.16773394	0
4.841228527	8.09883123	0	4.841228527	41.16757184	0
4.867256637	8.052006692	0	4.867256637	41.16792311	0
4.893284748	7.890857331	0	4.893284748	41.1703117	0
4.919312858	7.806429965	0	4.919312858	41.16791261	0
4.945340968	7.657374864	0	4.945340968	41.16733297	0
4.971369079	7.588127527	0	4.971369079	41.1670605	0
4.997397189	7.465805634	0	4.997397189	41.16272296	0
5.023425299	7.372988646	0	5.023425299	41.16124608	0
5.04945341	7.231129215	0	5.04945341	41.15885353	0
5.07548152	7.198321982	0	5.07548152	41.16446062	0
5.10150963	7.03157611	0	5.10150963	41.16442757	0
5.127537741	6.996210511	0	5.127537741	41.16510633	0
5.153565851	6.886814721	0	5.153565851	41.16460589	0
