mass_C			mass_A		
t	x	y	t	x	y
0	29.7825587	0	0	18.63502354	0
0.059612519	29.7846662	0	0.059612519	18.63584256	0
0.119225037	29.78282652	0	0.119225037	18.63907242	0
0.178837556	29.77563757	0	0.178837556	18.64098153	0
0.238450075	29.77649602	0	0.238450075	18.64189664	0
0.298062593	29.77262018	0	0.298062593	18.64300865	0
0.357675112	29.77086231	0	0.357675112	18.64449922	0
0.41728763	29.72713629	0	0.41728763	18.65053669	0
0.476900149	29.68505328	0	0.476900149	18.65607189	0
0.536512668	29.66655114	0	0.536512668	18.66517545	0
0.596125186	29.65921871	0	0.596125186	18.66066011	0
0.655737705	29.45969909	0	0.655737705	18.6244482	0
0.715350224	29.11084981	0	0.715350224	18.54651177	0
0.774962742	28.70459371	0	0.774962742	18.5403358	0
0.834575261	28.60613598	0	0.834575261	18.54480411	0
0.894187779	28.50946718	0	0.894187779	18.55645697	0
0.953800298	28.46856194	0	0.953800298	18.5839955	0
1.013412817	28.5857625	0	1.013412817	18.5699025	0
1.073025335	28.76071158	0	1.073025335	18.57003243	0
1.132637854	28.76923275	0	1.132637854	18.55469635	0
1.192250373	28.86088677	0	1.192250373	18.5330437	0
1.251862891	28.87335346	0	1.251862891	18.53525174	0
1.31147541	28.83713486	0	1.31147541	18.55049928	0
1.371087928	28.78063891	0	1.371087928	18.55176332	0
1.430700447	28.80829189	0	1.430700447	18.55400485	0
1.490312966	28.81809044	0	1.490312966	18.55300305	0
1.549925484	28.79644973	0	1.549925484	18.56035757	0
1.609538003	28.80586345	0	1.609538003	18.5606143	0
1.669150522	28.79138614	0	1.669150522	18.5600654	0
1.72876304	28.79008755	0	1.72876304	18.56152046	0
1.788375559	28.80400293	0	1.788375559	18.56089599	0
1.847988077	28.81295208	0	1.847988077	18.56181075	0
1.907600596	28.82729524	0	1.907600596	18.56208998	0
1.967213115	28.89974346	0	1.967213115	18.56336814	0
2.026825633	28.93669288	0	2.026825633	18.56415399	0
2.086438152	29.01051163	0	2.086438152	18.56694279	0
2.146050671	29.05941565	0	2.146050671	18.56807985	0
2.205663189	29.05961288	0	2.205663189	18.56785426	0
2.265275708	29.07573737	0	2.265275708	18.5685704	0
2.324888227	29.10064446	0	2.324888227	18.56876258	0
2.384500745	29.14170173	0	2.384500745	18.56823367	0
2.444113264	29.18377889	0	2.444113264	18.56847166	0
2.503725782	29.20998049	0	2.503725782	18.56957211	0
2.563338301	29.23516053	0	2.563338301	18.57852802	0
2.62295082	29.28291485	0	2.62295082	18.58007519	0
2.682563338	29.34253387	0	2.682563338	18.58407806	0
2.742175857	29.33100393	0	2.742175857	18.58644707	0
2.801788376	29.41442244	0	2.801788376	18.58554422	0
2.861400894	29.5328368	0	2.861400894	18.58392298	0
2.921013413	29.61298374	0	2.921013413	18.58400468	0
2.980625931	29.71301002	0	2.980625931	18.58393001	0
3.04023845	29.79967586	0	3.04023845	18.5855921	0
3.099850969	29.76971696	0	3.099850969	18.59263176	0
3.159463487	29.87102865	0	3.159463487	18.57504158	0
3.219076006	29.9573316	0	3.219076006	18.56593013	0
3.278688525	30.05416987	0	3.278688525	18.56603198	0
3.338301043	30.10445791	0	3.338301043	18.56592327	0
3.397913562	30.11226658	0	3.397913562	18.55901271	0
3.45752608	30.09945689	0	3.45752608	18.55438695	0
3.517138599	30.09719104	0	3.517138599	18.55321571	0
3.576751118	30.12870699	0	3.576751118	18.55566327	0
3.636363636	30.20010278	0	3.636363636	18.55059894	0
3.695976155	30.28337001	0	3.695976155	18.55716355	0
3.755588674	30.2843919	0	3.755588674	18.55524995	0
3.815201192	30.25280437	0	3.815201192	18.55183852	0
3.874813711	30.17343434	0	3.874813711	18.54772	0
3.93442623	30.14097457	0	3.93442623	18.54869936	0
3.994038748	30.1499512	0	3.994038748	18.55247977	0
4.053651267	30.16879663	0	4.053651267	18.55504178	0
4.113263785	30.21056291	0	4.113263785	18.55861351	0
4.172876304	30.27049723	0	4.172876304	18.56029286	0
4.232488823	30.31696781	0	4.232488823	18.55931019	0
4.292101341	30.31260803	0	4.292101341	18.56118815	0
4.35171386	30.30400154	0	4.35171386	18.56334016	0
4.411326379	30.30604488	0	4.411326379	18.56404119	0
4.470938897	30.30291811	0	4.470938897	18.56235588	0
4.530551416	30.31480302	0	4.530551416	18.56544881	0
4.590163934	30.30162429	0	4.590163934	18.56641528	0
4.649776453	30.29456875	0	4.649776453	18.56601295	0
4.709388972	30.30187913	0	4.709388972	18.56466179	0
4.76900149	30.27744047	0	4.76900149	18.56232855	0
4.828614009	30.25704217	0	4.828614009	18.55962629	0
4.888226528	30.19303365	0	4.888226528	18.55495779	0
4.947839046	30.14089485	0	4.947839046	18.55601364	0
5.007451565	30.14288384	0	5.007451565	18.55853234	0
5.067064083	30.1475223	0	5.067064083	18.55883629	0
5.126676602	30.14329917	0	5.126676602	18.5588851	0
5.186289121	30.16836737	0	5.186289121	18.56104733	0
5.245901639	30.17993852	0	5.245901639	18.5630756	0
5.305514158	30.16426829	0	5.305514158	18.56115783	0
5.365126677	30.15258446	0	5.365126677	18.55668561	0
5.424739195	30.14014674	0	5.424739195	18.55812954	0
5.484351714	30.14157491	0	5.484351714	18.55569071	0
5.543964232	30.14037256	0	5.543964232	18.55641031	0
5.603576751	30.12367233	0	5.603576751	18.55618206	0
5.66318927	30.08901792	0	5.66318927	18.55188951	0
5.722801788	30.04950908	0	5.722801788	18.55021132	0
5.782414307	30.02459514	0	5.782414307	18.54914147	0
5.842026826	30.00162755	0	5.842026826	18.54682298	0
5.901639344	29.93085338	0	5.901639344	18.54632172	0
5.961251863	29.98685722	0	5.961251863	18.55012821	0
6.020864382	29.96047954	0	6.020864382	18.54427308	0
6.0804769	29.92151284	0	6.0804769	18.54575076	0
6.140089419	29.9065172	0	6.140089419	18.54539996	0
6.199701937	29.87765321	0	6.199701937	18.54516397	0
6.259314456	29.85105364	0	6.259314456	18.54370999	0
6.318926975	29.83577502	0	6.318926975	18.54711757	0
