Calc_1			ExtMarker		
t	x	y	t	x	y
0	35.0837736	0	0	13.75345522	0
0.018958784	35.08563119	0	0.018958784	13.7546294	0
0.037917567	35.08685878	0	0.037917567	13.75557506	0
0.056876351	35.08690678	0	0.056876351	13.75510697	0
0.075835134	35.0861443	0	0.075835134	13.7538522	0
0.094793918	35.08445783	0	0.094793918	13.75404028	0
0.113752702	35.08406484	0	0.113752702	13.75333685	0
0.132711485	35.08349135	0	0.132711485	13.75247821	0
0.151670269	35.08452053	0	0.151670269	13.75226957	0
0.170629052	35.08486409	0	0.170629052	13.75470312	0
0.189587836	35.08424191	0	0.189587836	13.75295914	0
0.20854662	35.08366893	0	0.20854662	13.75293229	0
0.227505403	35.08501057	0	0.227505403	13.75253173	0
0.246464187	35.08542275	0	0.246464187	13.75292386	0
0.265422971	35.08407947	0	0.265422971	13.75308761	0
0.284381754	35.08379466	0	0.284381754	13.75341789	0
0.303340538	35.08605047	0	0.303340538	13.75490481	0
0.322299321	35.08668595	0	0.322299321	13.75401878	0
0.341258105	35.08761411	0	0.341258105	13.75293721	0
0.360216889	35.08764234	0	0.360216889	13.75339749	0
0.379175672	35.08751157	0	0.379175672	13.75410827	0
0.398134456	35.08758746	0	0.398134456	13.75373881	0
0.417093239	35.08487787	0	0.417093239	13.75282269	0
0.436052023	35.08460072	0	0.436052023	13.75338412	0
0.455010807	35.08534691	0	0.455010807	13.75331358	0
0.47396959	35.08714349	0	0.47396959	13.75392201	0
0.492928374	35.08799899	0	0.492928374	13.75455448	0
0.511887157	35.08616772	0	0.511887157	13.75232787	0
0.530845941	35.08525028	0	0.530845941	13.7535845	0
0.549804725	35.08532496	0	0.549804725	13.75391174	0
0.568763508	35.08454639	0	0.568763508	13.75380098	0
0.587722292	35.08364536	0	0.587722292	13.75314258	0
0.606681075	35.08287886	0	0.606681075	13.75298049	0
0.625639859	35.08350133	0	0.625639859	13.75311932	0
0.644598643	35.08478174	0	0.644598643	13.75231258	0
0.663557426	35.08340911	0	0.663557426	13.75260362	0
0.68251621	35.08372751	0	0.68251621	13.75337782	0
0.701474993	35.08421756	0	0.701474993	13.75269664	0
0.720433777	35.08415883	0	0.720433777	13.75311009	0
0.739392561	35.08504948	0	0.739392561	13.75404003	0
0.758351344	35.08423428	0	0.758351344	13.75325314	0
0.777310128	35.08406379	0	0.777310128	13.75494285	0
0.796268911	35.08328274	0	0.796268911	13.75349517	0
0.815227695	35.08354188	0	0.815227695	13.75373135	0
0.834186479	35.0847606	0	0.834186479	13.75439919	0
0.853145262	35.0852787	0	0.853145262	13.75483275	0
0.872104046	35.08409335	0	0.872104046	13.7535277	0
0.891062829	35.08538026	0	0.891062829	13.75356006	0
0.910021613	35.08512534	0	0.910021613	13.75377158	0
0.928980397	35.08494345	0	0.928980397	13.75419382	0
0.94793918	35.0847226	0	0.94793918	13.75522999	0
0.966897964	35.0842677	0	0.966897964	13.75554523	0
0.985856747	35.08451156	0	0.985856747	13.75460414	0
1.004815531	35.08583299	0	1.004815531	13.75391179	0
1.023774315	35.0877463	0	1.023774315	13.75524037	0
1.042733098	35.08719053	0	1.042733098	13.75550594	0
