FASC_sup			mass_A		
t	x	y	t	x	y
0.00000000000000	21.79160891000000	14.59375173000000	0.00000000000000	14.44556916000000	21.11659604000000
0.05526083112000	21.79087634000000	14.59386054000000	0.05526083112000	14.44497139000000	21.11637685000000
0.11052166220000	21.78799004000000	14.59458569000000	0.11052166220000	14.44487045000000	21.11656899000000
0.16578249340000	21.78076438000000	14.59561333000000	0.16578249340000	14.44408817000000	21.11657972000000
0.22104332450000	21.78438279000000	14.59533369000000	0.22104332450000	14.44525255000000	21.11639514000000
0.27630415560000	21.78241153000000	14.59570891000000	0.27630415560000	14.44584438000000	21.11653972000000
0.33156498670000	21.78538216000000	14.59595939000000	0.33156498670000	14.44534093000000	21.11650611000000
0.38682581790000	21.78341262000000	14.59639419000000	0.38682581790000	14.44520105000000	21.11652796000000
0.44208664900000	21.78426432000000	14.59664121000000	0.44208664900000	14.44517151000000	21.11649137000000
0.49734748010000	21.78518693000000	14.59595548000000	0.49734748010000	14.44602330000000	21.11654749000000
0.55260831120000	21.78258180000000	14.59620497000000	0.55260831120000	14.44589821000000	21.11654838000000
0.60786914240000	21.78098226000000	14.59759670000000	0.60786914240000	14.44502698000000	21.11665106000000
0.66312997350000	21.78091897000000	14.59742704000000	0.66312997350000	14.44676471000000	21.11645342000000
0.71839080460000	21.78491621000000	14.59686214000000	0.71839080460000	14.44738792000000	21.11625532000000
0.77365163570000	21.78699743000000	14.59621396000000	0.77365163570000	14.44650384000000	21.11647767000000
0.82891246680000	21.78199017000000	14.59652456000000	0.82891246680000	14.44654509000000	21.11654559000000
0.88417329800000	21.78988762000000	14.59578961000000	0.88417329800000	14.44758531000000	21.11636888000000
0.93943412910000	21.79473645000000	14.59490251000000	0.93943412910000	14.44839363000000	21.11609429000000
0.99469496020000	21.80049886000000	14.59489193000000	0.99469496020000	14.44917134000000	21.11624494000000
1.04995579100000	21.79777098000000	14.59461423000000	1.04995579100000	14.44864703000000	21.11616989000000
1.10521662200000	21.79555406000000	14.59482297000000	1.10521662200000	14.44758693000000	21.11632244000000
1.16047745400000	21.79118258000000	14.59528169000000	1.16047745400000	14.44760849000000	21.11623402000000
1.21573828500000	21.78957859000000	14.59549147000000	1.21573828500000	14.44734320000000	21.11650392000000
1.27099911600000	21.78763725000000	14.59513689000000	1.27099911600000	14.44725817000000	21.11650311000000
1.32625994700000	21.78262938000000	14.59517832000000	1.32625994700000	14.44627397000000	21.11651204000000
1.38152077800000	21.77698214000000	14.59482814000000	1.38152077800000	14.44628455000000	21.11658995000000
1.43678160900000	21.77622110000000	14.59500865000000	1.43678160900000	14.44582492000000	21.11664075000000
1.49204244000000	21.78798231000000	14.59263206000000	1.49204244000000	14.44610641000000	21.11655788000000
1.54730327100000	21.78974901000000	14.59259321000000	1.54730327100000	14.44613470000000	21.11636116000000
1.60256410300000	21.78841145000000	14.59067918000000	1.60256410300000	14.44735977000000	21.11625460000000
1.65782493400000	21.79374161000000	14.59030876000000	1.65782493400000	14.44604190000000	21.11653836000000
1.71308576500000	21.80111596000000	14.59063542000000	1.71308576500000	14.44579713000000	21.11650534000000
1.76834659600000	21.79260847000000	14.59033093000000	1.76834659600000	14.44588285000000	21.11645769000000
1.82360742700000	21.78934942000000	14.59068539000000	1.82360742700000	14.44510608000000	21.11634877000000
1.87886825800000	21.78397759000000	14.59247985000000	1.87886825800000	14.44529699000000	21.11637473000000
1.93412908900000	21.78045551000000	14.59335750000000	1.93412908900000	14.44670337000000	21.11653394000000
1.98938992000000	21.78638537000000	14.59222076000000	1.98938992000000	14.44708856000000	21.11628156000000
2.04465075200000	21.78370951000000	14.59219160000000	2.04465075200000	14.44692756000000	21.11640585000000
2.09991158300000	21.78873382000000	14.59276485000000	2.09991158300000	14.44635114000000	21.11628358000000
