GM_fasc_dist			mass_A		
1.3048606060	27.1163504500	0.2230601279	1.3048606060	46.3560332600	11.4789301700
1.3299540790	27.1169703400	0.2230217972	1.3299540790	46.3571767100	11.4787005400
1.3550475520	27.1172950900	0.2227938543	1.3550475520	46.3568062200	11.4788126800
1.3801410250	27.1170369900	0.2228129459	1.3801410250	46.3569777900	11.4789149700
1.4052344990	27.1163651000	0.2231853619	1.4052344990	46.3568956100	11.4787365300
1.4303279720	27.1156290600	0.2233821865	1.4303279720	46.3568503000	11.4787467500
1.4554214450	27.1150758500	0.2234963543	1.4554214450	46.3563940300	11.4788825300
1.4805149180	27.1160406800	0.2236905200	1.4805149180	46.3559178700	11.4789772600
1.5056083910	27.1147733000	0.2251035018	1.5056083910	46.3569966700	11.4788189800
1.5307018640	27.1132998900	0.2252829910	1.5307018640	46.3566067100	11.4788136500
1.5557953380	27.1109224700	0.2260940489	1.5557953380	46.3562892100	11.4788729600
1.5808888110	27.1011361000	0.2309057058	1.5808888110	46.3566763300	11.4788584900
1.6059822840	27.1024407000	0.2304052925	1.6059822840	46.3558482000	11.4789702400
1.6310757570	27.1007956800	0.2329765232	1.6310757570	46.3573012200	11.4786859900
1.6561692300	27.0923185500	0.2416704411	1.6561692300	46.3558493800	11.4789121700
1.6812627040	27.0876664100	0.2430109784	1.6812627040	46.3552770200	11.4791927400
1.7063561770	27.0865830800	0.2393773241	1.7063561770	46.3556935800	11.4791147700
1.7314496500	27.0625182900	0.2522618090	1.7314496500	46.3565633100	11.4787714300
1.7565431230	27.0014559900	0.2684355176	1.7565431230	46.3553052700	11.4791116200
1.7816365960	26.8981027800	0.2819660098	1.7816365960	46.3549254700	11.4791262500
1.8067300700	26.8437716400	0.2845856983	1.8067300700	46.3548742700	11.4792473100
1.8318235430	26.7043897800	0.2960015925	1.8318235430	46.3564173000	11.4788529500
1.8569170160	26.6821462600	0.2614282731	1.8569170160	46.3546930300	11.4792032700
1.8820104890	26.4939061400	0.2729929125	1.8820104890	46.3543782500	11.4791317500
1.9071039620	26.1731905100	0.2571954180	1.9071039620	46.3553247700	11.4789510000
1.9321974350	26.0377270700	0.2312326996	1.9321974350	46.3559311800	11.4788188500
1.9572909090	25.7660564100	0.2174010513	1.9572909090	46.3558166900	11.4788983800
1.9823843820	25.5680020700	0.2318133480	1.9823843820	46.3565278300	11.4787011100
2.0074778550	25.4018999600	0.2203447269	2.0074778550	46.3558860900	11.4789366500
2.0325713280	25.2800924500	0.2250992054	2.0325713280	46.3560861600	11.4788174300
2.0576648010	25.1059511100	0.2422305134	2.0576648010	46.3557996400	11.4788737300
2.0827582750	24.9168072600	0.2183564570	2.0827582750	46.3553334500	11.4790441400
2.1078517480	24.8536149400	0.2239003837	2.1078517480	46.3562206100	11.4787025100
2.1329452210	24.7652367100	0.2090227514	2.1329452210	46.3564685800	11.4787647100
2.1580386940	24.6087071300	0.2154930879	2.1580386940	46.3557972600	11.4787845700
2.1831321670	24.5255385900	0.2274290452	2.1831321670	46.3561366000	11.4788442100
2.2082256410	24.4406454300	0.2441387843	2.2082256410	46.3566733400	11.4787330300
2.2333191140	24.3584807400	0.2525825420	2.2333191140	46.3562034800	11.4789966000
2.2584125870	24.3007461500	0.2589273433	2.2584125870	46.3567605800	11.4786981800
2.2835060600	24.1681692200	0.2422975607	2.2835060600	46.3566142100	11.4787539700
2.3085995330	24.0532298600	0.2504604013	2.3085995330	46.3562401400	11.4789024600
2.3336930060	23.8291517600	0.2752590060	2.3336930060	46.3562727000	11.4788465800
2.3587864800	23.7010864500	0.2967875946	2.3587864800	46.3568314600	11.4787563400
2.3838799530	23.6316444200	0.2926056018	2.3838799530	46.3568112000	11.4787551900
2.4089734260	23.4784702100	0.2978709181	2.4089734260	46.3568099400	11.4786929800
2.4340668990	23.4270188100	0.2996998738	2.4340668990	46.3569258700	11.4788484700
2.4591603720	23.2739683400	0.2869613405	2.4591603720	46.3568350900	11.4788175600
2.4842538460	23.0241933200	0.3104876240	2.4842538460	46.3562906300	11.4790207600
2.5093473190	22.8056747500	0.3560257825	2.5093473190	46.3572344700	11.4787156800
2.5344407920	22.6583003600	0.3812689539	2.5344407920	46.3572792500	11.4786898900
2.5595342650	22.4758614400	0.3755262131	2.5595342650	46.3567748200	11.4789034800
2.5846277380	22.4297084300	0.3722287021	2.5846277380	46.3566509700	11.4789275600
2.6097212120	22.3133179800	0.3842025962	2.6097212120	46.3567718600	11.4788314700
2.6348146850	22.1010596500	0.4341039673	2.6348146850	46.3573089400	11.4788289600
2.6599081580	22.0554117600	0.4470894011	2.6599081580	46.3566667500	11.4788576600
2.6850016310	21.8216889400	0.4918873920	2.6850016310	46.3568788100	11.4789145100
2.7100951040	21.7315523900	0.5012818455	2.7100951040	46.3569761200	11.4787106400
2.7351885770	21.6810151400	0.5076585011	2.7351885770	46.3574117300	11.4787080200
2.7602820510	21.4813500400	0.5042163085	2.7602820510	46.3579714700	11.4786300500
2.7853755240	21.3762685400	0.5189366380	2.7853755240	46.3569333000	11.4788370500
2.8104689970	21.2112182000	0.5429400982	2.8104689970	46.3572534900	11.4789580900
2.8355624700	21.0936499200	0.5673273802	2.8355624700	46.3570074700	11.4788754000
2.8606559430	20.9606216500	0.5857103734	2.8606559430	46.3572266600	11.4787701900
2.8857494170	20.8627773100	0.6003316166	2.8857494170	46.3567483900	11.4786910600
2.9108428900	20.7096984100	0.6146245639	2.9108428900	46.3570244500	11.4788688300
2.9359363630	20.5389434200	0.6097102742	2.9359363630	46.3566674700	11.4788875300
2.9610298360	20.2702440000	0.6435915409	2.9610298360	46.3573165600	11.4787172000
2.9861233090	20.1373617100	0.6403486373	2.9861233090	46.3567589000	11.4788341500
3.0112167830	20.0070416900	0.6433749383	3.0112167830	46.3566226600	11.4789389200
3.0363102560	19.7310475100	0.6829299838	3.0363102560	46.3571063400	11.4787643700
3.0614037290	19.5812349100	0.7091834640	3.0614037290	46.3573166000	11.4787662300
3.0864972020	19.5179717200	0.7244996840	3.0864972020	46.3575936500	11.4787110500
3.1115906750	19.3153030100	0.7219706078	3.1115906750	46.3569787600	11.4788148600
3.1366841480	19.1713552700	0.7303838156	3.1366841480	46.3573218000	11.4789115900
3.1617776220	19.0361960000	0.7161985771	3.1617776220	46.3567729000	11.4787964700
3.1868710950	18.8766010700	0.7301170495	3.1868710950	46.3572427300	11.4787788400
3.2119645680	18.7227928300	0.7501290892	3.2119645680	46.3568960200	11.4787540300
3.2370580410	18.5739701500	0.7695887531	3.2370580410	46.3573199200	11.4788013400
3.2621515140	18.4917492100	0.7877793225	3.2621515140	46.3570088200	11.4787956900
3.2872449880	18.3511942500	0.8151828531	3.2872449880	46.3566609000	11.4789645600
3.3123384610	18.1256017900	0.8562655448	3.3123384610	46.3572704800	11.4787889500
3.3374319340	18.0811845100	0.8737279109	3.3374319340	46.3568756000	11.4789396400
3.3625254070	17.8430532400	0.9260075391	3.3625254070	46.3564978100	11.4788563900
3.3876188800	17.7035463700	0.9565746330	3.3876188800	46.3567401000	11.4789772000
3.4127123540	17.4153864600	1.0084129120	3.4127123540	46.3558165100	11.4789468400
3.4378058270	17.2557240900	1.0305194240	3.4378058270	46.3566096200	11.4789882100
3.4628993000	17.2228057700	1.0089009960	3.4628993000	46.3563478200	11.4790218000
3.4879927730	17.1213758500	1.0249922370	3.4879927730	46.3570085500	11.4788404200
3.5130862460	16.9534953600	1.0570968240	3.5130862460	46.3562993600	11.4791414500
3.5381797190	16.8351095200	1.0854371160	3.5381797190	46.3565327500	11.4791798900
3.5632731930	16.6537443200	1.1166357440	3.5632731930	46.3572050800	11.4787713200
3.5883666660	16.4865610400	1.1387906800	3.5883666660	46.3578739100	11.4787725400
3.6134601390	16.2839767600	1.1372584150	3.6134601390	46.3564778000	11.4791072000
3.6385536120	16.1569613700	1.1456024180	3.6385536120	46.3563239400	11.4791469600
3.6636470850	16.1179583600	1.1436975490	3.6636470850	46.3566490700	11.4790471400
3.6887405590	16.0004038500	1.1618988180	3.6887405590	46.3566285100	11.4788669900
3.7138340320	15.9423193400	1.1626919900	3.7138340320	46.3560844300	11.4790644000
3.7389275050	15.8312648200	1.1799048890	3.7389275050	46.3570390400	11.4789337300
3.7640209780	15.7499988300	1.2121519990	3.7640209780	46.3570796700	11.4789356300
3.7891144510	15.5679890700	1.2518926250	3.7891144510	46.3563682900	11.4791477900
3.8142079250	15.5348004200	1.2579311480	3.8142079250	46.3560146300	11.4792448200
3.8393013980	15.4124685500	1.2794590180	3.8393013980	46.3559758900	11.4792954500
3.8643948710	15.2874655400	1.3048274210	3.8643948710	46.3556520700	11.4792168600
3.8894883440	15.2491744800	1.3100932940	3.8894883440	46.3554480900	11.4793442400
3.9145818170	15.0803844400	1.3474512820	3.9145818170	46.3559661400	11.4792986800
3.9396752900	14.9970965800	1.3688459230	3.9396752900	46.3562436700	11.4792486200
3.9647687640	14.8339672300	1.3955843980	3.9647687640	46.3550157000	11.4795174200
3.9898622370	14.6830751800	1.4276997730	3.9898622370	46.3542901700	11.4795814900
4.0149557100	14.4976700300	1.4607434630	4.0149557100	46.3552143400	11.4796615400
4.0400491830	14.3849405000	1.4817741080	4.0400491830	46.3540398400	11.4797065300
4.0651426560	14.3409403400	1.4866663480	4.0651426560	46.3542782300	11.4795166100
4.0902361300	14.2755133400	1.4815406260	4.0902361300	46.3543717400	11.4794711500
4.1153296030	13.9671023600	1.4846142080	4.1153296030	46.3541065700	11.4796066000
4.1404230760	13.9106714800	1.4972926490	4.1404230760	46.3546829500	11.4794645900
4.1655165490	13.6238152400	1.5107540650	4.1655165490	46.3558179400	11.4792596100
4.1906100220	13.4146278300	1.5293825980	4.1906100220	46.3556344800	11.4792511900
4.2157034960	13.1045327900	1.5576194370	4.2157034960	46.3549745000	11.4793302600
4.2407969690	12.8747196800	1.5785971770	4.2407969690	46.3557123100	11.4792092600
4.2658904420	12.5866139900	1.6011373150	4.2658904420	46.3558929200	11.4790852000
4.2909839150	12.4965699000	1.6025548240	4.2909839150	46.3556510000	11.4790485500
4.3160773880	12.3590365800	1.6116472230	4.3160773880	46.3560501200	11.4790468300
4.3411708610	12.2091068700	1.6285271690	4.3411708610	46.3552156600	11.4792358400
4.3662643350	12.0474339500	1.6642656520	4.3662643350	46.3560099100	11.4790690900
4.3913578080	11.7988000500	1.6925348500	4.3913578080	46.3554960000	11.4791524700
4.4164512810	11.6747417000	1.7024747130	4.4164512810	46.3565117900	11.4789187000
4.4415447540	11.5668987200	1.7228561430	4.4415447540	46.3563392500	11.4789544700
4.4666382270	11.5253525600	1.7266970300	4.4666382270	46.3562921500	11.4791203900
4.4917317010	11.3507974000	1.7417522060	4.4917317010	46.3568362800	11.4788421700
4.5168251740	11.0988913400	1.7844762280	4.5168251740	46.3554957400	11.4790701300
4.5419186470	11.0270279700	1.8043132680	4.5419186470	46.3567262700	11.4788293000
4.5670121200	10.6514128200	1.8843998680	4.5670121200	46.3557430500	11.4791933800
4.5921055930	10.5561566300	1.9120835340	4.5921055930	46.3565235200	11.4789819600
4.6171990670	10.4838609000	1.9313658390	4.6171990670	46.3550212600	11.4792688200
4.6422925400	10.3762031800	1.9456937880	4.6422925400	46.3564642000	11.4790208500
4.6673860130	10.2832480700	1.9513060300	4.6673860130	46.3565687200	11.4789426700
4.6924794860	10.1141486700	1.9924790960	4.6924794860	46.3562880500	11.4791285000
4.7175729590	9.9849662870	2.0245875230	4.7175729590	46.3558451700	11.4791591600
4.7426664320	9.8460180410	2.0505273030	4.7426664320	46.3562553100	11.4790061400
4.7677599060	9.5484632420	2.0759386290	4.7677599060	46.3548995500	11.4792338400
4.7928533790	9.4931329630	2.0722768760	4.7928533790	46.3546457200	11.4792901500
4.8179468520	9.2238047090	2.1022604950	4.8179468520	46.3559870400	11.4790303400
4.8430403250	9.1257198590	2.1090858780	4.8430403250	46.3553537900	11.4790511600
4.8681337980	8.9968985110	2.0873950530	4.8681337980	46.3551130000	11.4791587600
4.8932272720	8.9746372820	2.0987586260	4.8932272720	46.3557282600	11.4790295900
4.9183207450	8.9757727920	2.1019832490	4.9183207450	46.3552928700	11.4789612400
4.9434142180	8.9766537190	2.1027555460	4.9434142180	46.3549984800	11.4790603100
4.9685076910	8.9672426390	2.1094759050	4.9685076910	46.3553067800	11.4789957300
4.9936011640	8.9779356810	2.1043168320	4.9936011640	46.3567360400	11.4788002400
5.0186946380	8.9323401010	2.1109844060	5.0186946380	46.3559364600	11.4789876600
5.0437881110	8.8860649100	2.1211781870	5.0437881110	46.3573945700	11.4786108200
5.0688815840	8.8571177080	2.1211288550	5.0688815840	46.3568055100	11.4787245600
5.0939750570	8.7915470950	2.1343900610	5.0939750570	46.3567267500	11.4788750400
5.1190685300	8.7447774540	2.1473343580	5.1190685300	46.3545189200	11.4792571000
5.1441620030	8.7197790400	2.1501472240	5.1441620030	46.3560070200	11.4789511000
5.1692554770	8.6922551510	2.1559077210	5.1692554770	46.3557456600	11.4789988900
5.1943489500	8.6696038940	2.1588768250	5.1943489500	46.3567514300	11.4787753500
5.2194424230	8.6503342580	2.1652483020	5.2194424230	46.3560450600	11.4789185900
5.2445358960	8.5841692380	2.1690677350	5.2445358960	46.3559923800	11.4790446200
5.2696293690	8.5517713030	2.1820663290	5.2696293690	46.3558718400	11.4790061300
5.2947228430	8.4295578870	2.1937898100	5.2947228430	46.3558926200	11.4790142000
5.3198163160	8.3751808280	2.2053279150	5.3198163160	46.3548816500	11.4792505600
5.3449097890	8.3770951160	2.2142786290	5.3449097890	46.3558850000	11.4790712900
5.3700032620	8.3808328260	2.2208087770	5.3700032620	46.3557315700	11.4789240300
5.3950967350	8.3829018880	2.2210468890	5.3950967350	46.3550920200	11.4791657300
5.4201902090	8.2695648900	2.2331229180	5.4201902090	46.3551344500	11.4791354000
5.4452836820	8.2434594100	2.2437536600	5.4452836820	46.3549471800	11.4791779800
5.4703771550	8.2220403450	2.2515044860	5.4703771550	46.3556329300	11.4789521800
5.4954706280	8.1502035130	2.2667662050	5.4954706280	46.3547099200	11.4791099400
5.5205641010	8.1218928420	2.2720327400	5.5205641010	46.3541960700	11.4792061200
5.5456575740	8.1005869190	2.2786140790	5.5456575740	46.3556878200	11.4791642800
5.5707510480	8.0991924440	2.2777579720	5.5707510480	46.3552936300	11.4790747700
5.5958445210	8.0953519440	2.2852755100	5.5958445210	46.3540032900	11.4795589300
5.6209379940	8.1019669190	2.2842207350	5.6209379940	46.3547642300	11.4792358200
5.6460314670	8.1092902670	2.2825450820	5.6460314670	46.3550869300	11.4790487000
5.6711249400	8.2159575680	2.2648444140	5.6711249400	46.3546801900	11.4791504400
5.6962184140	8.2302052550	2.2671804730	5.6962184140	46.3556187100	11.4789371600
5.7213118870	8.2457952870	2.2620139960	5.7213118870	46.3560046600	11.4788887300
5.7464053600	8.2592144800	2.2581784040	5.7464053600	46.3563110800	11.4788153800
5.7714988330	8.2645178340	2.2556643070	5.7714988330	46.3554414100	11.4791404900
5.7965923060	8.2784473560	2.2533924830	5.7965923060	46.3563849000	11.4788170300
5.8216857800	8.2861116410	2.2500778950	5.8216857800	46.3561786700	11.4788109100
5.8467792530	8.3062240520	2.2461750190	5.8467792530	46.3552145000	11.4790125200
5.8718727260	8.3326420020	2.2378180950	5.8718727260	46.3553265500	11.4790804700
5.8969661990	8.3342967170	2.2384737570	5.8969661990	46.3556926800	11.4790268900
5.9220596720	8.3326720480	2.2379861200	5.9220596720	46.3558743800	11.4788328700
5.9471531450	8.3362935400	2.2351799810	5.9471531450	46.3565257900	11.4787029900
5.9722466190	8.3328029930	2.2389265270	5.9722466190	46.3563030200	11.4788187600
5.9973400920	8.3309840680	2.2377573640	5.9973400920	46.3545978500	11.4792561100
6.0224335650	8.3295412360	2.2361156260	6.0224335650	46.3558688400	11.4789209100
6.0475270380	8.3336254310	2.2361152320	6.0475270380	46.3555830900	11.4790455200
6.0726205110	8.3345148220	2.2348064770	6.0726205110	46.3553888100	11.4790821100
6.0977139850	8.3264989510	2.2350334800	6.0977139850	46.3557865600	11.4789677800
6.1228074580	8.3380449680	2.2346309340	6.1228074580	46.3550580100	11.4791337100
6.1479009310	8.3486339600	2.2292748490	6.1479009310	46.3553341000	11.4789489100
6.1729944040	8.3452700850	2.2314965850	6.1729944040	46.3553905400	11.4790407300
6.1980878770	8.3320326820	2.2350108200	6.1980878770	46.3554177100	11.4790796900
6.2231813510	8.3299314590	2.2364395800	6.2231813510	46.3549261800	11.4792079200
6.2482748240	8.3312258650	2.2374081240	6.2482748240	46.3556388300	11.4789438300
6.2733682970	8.3318755660	2.2392831950	6.2733682970	46.3559031700	11.4789680600
6.2984617700	8.3454005970	2.2327224230	6.2984617700	46.3552211100	11.4790917600
6.3235552430	8.3550073320	2.2327953630	6.3235552430	46.3549660000	11.4792617800
6.3486487160	8.3632105460	2.2257161200	6.3486487160	46.3558593600	11.4789869500
6.3737421900	8.3664568940	2.2261744340	6.3737421900	46.3551651400	11.4790646600
6.3988356630	8.3858496870	2.2209064130	6.3988356630	46.3544130600	11.4792552500
6.4239291360	8.4228217750	2.2154508930	6.4239291360	46.3550305300	11.4791099400
6.4490226090	8.4671216440	2.2111412750	6.4490226090	46.3561682300	11.4789493600
6.4741160820	8.5306706170	2.2038440940	6.4741160820	46.3563824500	11.4788331400
6.4992095560	8.5707849070	2.1979833080	6.4992095560	46.3556382100	11.4789889100
6.5243030290	8.5691941450	2.1908184020	6.5243030290	46.3551381100	11.4789984700
6.5493965020	8.5882024380	2.1937618790	6.5493965020	46.3561096600	11.4788354800
6.5744899750	8.6167365030	2.1864017580	6.5744899750	46.3552898800	11.4788694400
6.5995834480	8.6498068010	2.1768593680	6.5995834480	46.3550660800	11.4790867600
6.6246769220	8.6659436290	2.1807181000	6.6246769220	46.3556927000	11.4788754400
6.6497703950	8.7523183680	2.1702088140	6.6497703950	46.3558016500	11.4789583800
6.6748638680	8.7829827600	2.1580373500	6.6748638680	46.3551768700	11.4790263200
6.6999573410	8.8310689310	2.1525554910	6.6999573410	46.3562050000	11.4788841800
6.7250508140	9.0766340420	2.1623092110	6.7250508140	46.3564171500	11.4786767400
6.7501442870	9.2291793040	2.1704063330	6.7501442870	46.3558948400	11.4788632800
6.7752377610	9.5631401370	2.1566689990	6.7752377610	46.3564152200	11.4788372300
6.8003312340	9.8027597560	2.0954346090	6.8003312340	46.3565507900	11.4788534700
6.8254247070	9.9248451220	2.0712813950	6.8254247070	46.3563889500	11.4788138200
6.8505181800	10.1336581200	2.0591051430	6.8505181800	46.3581116700	11.4784239700
6.8756116530	10.6585136900	1.9987469670	6.8756116530	46.3567803300	11.4787821800
			6.9007051270	46.3567472700	11.4788806100
			6.9257986000	46.3572098200	11.4787310600
			6.9508920730	46.3578721400	11.4784013500
			6.9759855460	46.3573014100	11.4786087500
			7.0010790190	46.3585556100	11.4783989200
