GM_fasc_dist			mass_A		
t	x	y	t	x	y
0.0000000000	27.1151800500	0.2231985214	0.0000000000	46.3573446800	11.4788726800
0.0250934732	27.1152580000	0.2238566059	0.0250934732	46.3563788000	11.4789172700
0.0501869464	27.1152252900	0.2238741515	0.0501869464	46.3577474600	11.4785343500
0.0752804196	27.1152137100	0.2237836292	0.0752804196	46.3576210400	11.4785991400
0.1003738928	27.1153344200	0.2236811329	0.1003738928	46.3580183400	11.4785222600
0.1254673659	27.1159269900	0.2234226021	0.1254673659	46.3573707700	11.4786823500
0.1505608391	27.1151842200	0.2235464189	0.1505608391	46.3574686000	11.4786639800
0.1756543123	27.1156394800	0.2234242739	0.1756543123	46.3570097200	11.4788939800
0.2007477855	27.1157462700	0.2234094625	0.2007477855	46.3575745900	11.4786570400
0.2258412587	27.1157515800	0.2231039265	0.2258412587	46.3570809200	11.4786785600
0.2509347319	27.1153288300	0.2232032160	0.2509347319	46.3576921200	11.4787094700
0.2760282051	27.1149404700	0.2232647684	0.2760282051	46.3565521900	11.4789209600
0.3011216783	27.1155550100	0.2231283916	0.3011216783	46.3572723800	11.4787111800
0.3262151514	27.1156864100	0.2229785206	0.3262151514	46.3572854700	11.4786427700
0.3513086246	27.1157992000	0.2231332320	0.3513086246	46.3571878200	11.4787143500
0.3764020978	27.1154016900	0.2231918180	0.3764020978	46.3563861900	11.4789444300
0.4014955710	27.1157400600	0.2231434123	0.4014955710	46.3565969400	11.4788982100
0.4265890442	27.1155258900	0.2232556893	0.4265890442	46.3567051600	11.4789565100
0.4516825174	27.1164334700	0.2230605027	0.4516825174	46.3576461900	11.4785756200
0.4767759906	27.1164978600	0.2230191041	0.4767759906	46.3564082100	11.4789682200
0.5018694638	27.1170500300	0.2228529444	0.5018694638	46.3576066200	11.4786375500
0.5269629369	27.1160923100	0.2228751065	0.5269629369	46.3573362300	11.4786528200
0.5520564101	27.1168327000	0.2229490929	0.5520564101	46.3579023500	11.4786049300
0.5771498833	27.1160674800	0.2228729050	0.5771498833	46.3564319800	11.4789149300
0.6022433565	27.1161568100	0.2228771738	0.6022433565	46.3577119500	11.4786405600
0.6273368297	27.1163060300	0.2228588014	0.6273368297	46.3571154300	11.4787040700
0.6524303029	27.1166363500	0.2230973155	0.6524303029	46.3570727600	11.4787620800
0.6775237761	27.1156351100	0.2234458221	0.6775237761	46.3572496200	11.4787455300
0.7026172493	27.1146205900	0.2237144543	0.7026172493	46.3577500700	11.4785936100
0.7277107224	27.1146808900	0.2239224160	0.7277107224	46.3572611100	11.4786513400
0.7528041956	27.1152607100	0.2237889616	0.7528041956	46.3565577500	11.4788696300
0.7778976688	27.1142868300	0.2242440025	0.7778976688	46.3563199600	11.4789295700
0.8029911420	27.1148583700	0.2242499399	0.8029911420	46.3568628100	11.4787585400
0.8280846152	27.1145326900	0.2239332854	0.8280846152	46.3570213400	11.4787093500
0.8531780884	27.1157124200	0.2237617927	0.8531780884	46.3563933200	11.4788994300
0.8782715616	27.1150898900	0.2238542192	0.8782715616	46.3564043400	11.4788738600
0.9033650348	27.1155779500	0.2238244632	0.9033650348	46.3572273400	11.4787369800
0.9284585079	27.1151971900	0.2237889702	0.9284585079	46.3570462400	11.4787664500
0.9535519811	27.1159482400	0.2235585713	0.9535519811	46.3565190400	11.4788659800
0.9786454543	27.1155172200	0.2234902351	0.9786454543	46.3571376000	11.4787382200
1.0037389280	27.1150565200	0.2234694036	1.0037389280	46.3572693700	11.4787363700
1.0288324010	27.1158567500	0.2234749265	1.0288324010	46.3573003300	11.4786784900
1.0539258740	27.1159117600	0.2234934410	1.0539258740	46.3565126400	11.4789446800
1.0790193470	27.1159536500	0.2234572599	1.0790193470	46.3569556700	11.4787822300
1.1041128200	27.1156792900	0.2232844296	1.1041128200	46.3568476600	11.4787591000
1.1292062930	27.1155987000	0.2233389775	1.1292062930	46.3571794800	11.4786537600
1.1542997670	27.1158067200	0.2232387784	1.1542997670	46.3566418100	11.4787640700
1.1793932400	27.1152054300	0.2234230143	1.1793932400	46.3571421700	11.4787648300
1.2044867130	27.1162451300	0.2232130555	1.2044867130	46.3569381200	11.4787734200
1.2295801860	27.1157768000	0.2232614472	1.2295801860	46.3570568100	11.4787330500
1.2546736590	27.1162769800	0.2230822688	1.2546736590	46.3564296200	11.4788124000
1.2797671330	27.1169679600	0.2231002614	1.2797671330	46.3577252800	11.4785984800
