FASC_Dist			mass_A		
t	x	y	t	x	y
0.00000000000000	8.48817725800000	1.17632541100000	0.00000000000000	1.01981980500000	7.06977483100000
0.05961251863000	8.50106988400000	1.17446306700000	0.05961251863000	1.02063841900000	7.06922924700000
0.11922503730000	8.57980965100000	1.16450160300000	0.11922503730000	1.02083661000000	7.06888112000000
0.17883755590000	8.63512163300000	1.16206695100000	0.17883755590000	1.02071555700000	7.06895826200000
0.23845007450000	8.65097667300000	1.16030643300000	0.23845007450000	1.02076282200000	7.06895198700000
0.29806259310000	8.70040419000000	1.15376622500000	0.29806259310000	1.02103699300000	7.06906510900000
0.35767511180000	8.69157546400000	1.15540302600000	0.35767511180000	1.01905133700000	7.06974468900000
0.41728763040000	8.77505137700000	1.14760172300000	0.41728763040000	1.01968440700000	7.06948704300000
0.47690014900000	8.81226398500000	1.14608014600000	0.47690014900000	1.01908602500000	7.06963081700000
0.53651266770000	8.82240655400000	1.14665939900000	0.53651266770000	1.01888684400000	7.06956891100000
0.59612518630000	8.90747959100000	1.13920215200000	0.59612518630000	1.01818186600000	7.06949004000000
0.65573770490000	8.93057966900000	1.13886082700000	0.65573770490000	1.01890519100000	7.06930113700000
0.71535022350000	9.01434155100000	1.12664235200000	0.71535022350000	1.02085247500000	7.06939352300000
0.77496274220000	9.05481970200000	1.12043737900000	0.77496274220000	1.01969775800000	7.06897097300000
0.83457526080000	9.09491933900000	1.11827563800000	0.83457526080000	1.01992406100000	7.06975446500000
0.89418777940000	9.18513715800000	1.10804130600000	0.89418777940000	1.01996084200000	7.06938558500000
0.95380029810000	9.25046776200000	1.10476342900000	0.95380029810000	1.02029338100000	7.06954335100000
1.01341281700000	9.23854770000000	1.10664567500000	1.01341281700000	1.01864072700000	7.06937526200000
1.07302533500000	9.34209274100000	1.09389802400000	1.07302533500000	1.02076345400000	7.06919999500000
1.13263785400000	9.41221813000000	1.08351553500000	1.13263785400000	1.02186260700000	7.06873682900000
1.19225037300000	9.48354116200000	1.07644970400000	1.19225037300000	1.02165945500000	7.06907810300000
1.25186289100000	9.52098554600000	1.07351734900000	1.25186289100000	1.02197886200000	7.06916149400000
1.31147541000000	9.61033293200000	1.06319239100000	1.31147541000000	1.02228257400000	7.06866400900000
1.37108792800000	9.66790586300000	1.06104398000000	1.37108792800000	1.02060222500000	7.06974230100000
1.43070044700000	9.68820147600000	1.06103397900000	1.43070044700000	1.02140557700000	7.07005704900000
1.49031296600000	9.72479624100000	1.05858801600000	1.49031296600000	1.02274103800000	7.06992535100000
1.54992548400000	9.72771043900000	1.05651782400000	1.54992548400000	1.02314571800000	7.07021935700000
1.60953800300000	9.75908083100000	1.05090300000000	1.60953800300000	1.02423296700000	7.07000230700000
1.66915052200000	9.74720659000000	1.05211897100000	1.66915052200000	1.02233691400000	7.07061893200000
1.72876304000000	9.82084663500000	1.04253263900000	1.72876304000000	1.02250815400000	7.06956850300000
1.78837555900000	9.82399586600000	1.04341595200000	1.78837555900000	1.02065289700000	7.06968491200000
1.84798807700000	9.86178087500000	1.04227650000000	1.84798807700000	1.02054139000000	7.06921715100000
1.90760059600000	9.90725272500000	1.04115165600000	1.90760059600000	1.01859080600000	7.06981241100000
1.96721311500000	9.94149401700000	1.03656023400000	1.96721311500000	1.01793700800000	7.07032556100000
2.02682563300000	9.97421062000000	1.03491720400000	2.02682563300000	1.01975665300000	7.07019161200000
2.08643815200000	10.00367375000000	1.03118960200000	2.08643815200000	1.01799137400000	7.06964139600000
2.14605067100000	10.05028567000000	1.02834899000000	2.14605067100000	1.01819130700000	7.06958162500000
2.20566318900000	10.06969082000000	1.02540432600000	2.20566318900000	1.01799933300000	7.07000627300000
2.26527570800000	10.12985834000000	1.02114478400000	2.26527570800000	1.01961963200000	7.06970102500000
2.32488822700000	10.18536536000000	1.01437953100000	2.32488822700000	1.02002735800000	7.06927249400000
2.38450074500000	10.18957585000000	1.01641555800000	2.38450074500000	1.01811933600000	7.06885790100000
2.44411326400000	10.27345954000000	1.00825050200000	2.44411326400000	1.02015204800000	7.06928008400000
2.50372578200000	10.32122689000000	1.00447978600000	2.50372578200000	1.01985922700000	7.06903342100000
2.56333830100000	10.36022658000000	1.00038020800000	2.56333830100000	1.01972127200000	7.06897449100000
2.62295082000000	10.38012574000000	0.99837190110000	2.62295082000000	1.01946941600000	7.06933751100000
2.68256333800000	10.45798304000000	0.98882815690000	2.68256333800000	1.02051503100000	7.06849112200000
2.74217585700000	10.49862164000000	0.98397052170000	2.74217585700000	1.02053418700000	7.06874118500000
2.80178837600000	10.52096027000000	0.98029613840000	2.80178837600000	1.02138753200000	7.06801038900000
2.86140089400000	10.53648045000000	0.98031835650000	2.86140089400000	1.02005800600000	7.06659296100000
2.92101341300000	10.60516172000000	0.97350559680000	2.92101341300000	1.02079717500000	7.06764173900000
2.98062593100000	10.61574870000000	0.97438011630000	2.98062593100000	1.02085761100000	7.06866755200000
3.04023845000000	10.65668835000000	0.97042354720000	3.04023845000000	1.01991534100000	7.06919971200000
3.09985096900000	10.71968996000000	0.96571515070000	3.09985096900000	1.02033188400000	7.06925617900000
3.15946348700000	10.76668705000000	0.96012037050000	3.15946348700000	1.01950387400000	7.06916588900000
3.21907600600000	10.80576690000000	0.95426040010000	3.21907600600000	1.02006356600000	7.06960362700000
3.27868852500000	10.83557098000000	0.95020808660000	3.27868852500000	1.01992660500000	7.06955781600000
3.33830104300000	10.85179073000000	0.94695126010000	3.33830104300000	1.02005728900000	7.07027003600000
