GMfasSUPMMM3			GMfasEXTMMM		
t	x	y	t	x	y
0.00000000000	13.08527042	20.14148516	0.00000000000	22.22439024000	26.06666667000
0.05526083112	13.07869743	20.1404807	0.05526083112	22.22157344000	26.06096196000
0.1105216622	13.0612662	20.13903821	0.11052166220	22.22210968000	26.06148458000
0.1657824934	13.06299834	20.13877879	0.16578249340	22.22291020000	26.06127803000
0.2210433245	13.06105707	20.1398174	0.22104332450	22.21906778000	26.06039207000
0.2763041556	13.07519146	20.14115976	0.27630415560	22.21821570000	26.06038152000
0.3315649867	13.08255463	20.14118777	0.33156498670	22.21960156000	26.06032371000
0.3868258179	13.082545	20.14165281	0.38682581790	22.21765012000	26.06114378000
0.442086649	13.08126785	20.14305585	0.44208664900	22.21607970000	26.06079493000
0.4973474801	13.06190181	20.14306005	0.49734748010	22.21704359000	26.06148802000
0.5526083112	13.03700929	20.14250225	0.55260831120	22.21468827000	26.06149230000
0.6078691424	13.04603906	20.14371811	0.60786914240	22.21352022000	26.06133050000
0.6631299735	13.07865433	20.14346484	0.66312997350	22.21385753000	26.06036811000
0.7183908046	13.06510709	20.14530956	0.71839080460	22.21514641000	26.05987679000
0.7736516357	13.06216578	20.14604167	0.77365163570	22.21241360000	26.06025417000
0.8289124668	13.03910721	20.14552162	0.82891246680	22.21554358000	26.06006388000
0.884173298	12.95508161	20.1449222	0.88417329800	22.21169082000	26.05961847000
0.9394341291	12.91070512	20.14151237	0.93943412910	22.21044996000	26.05876115000
0.9946949602	12.9136695	20.14372945	0.99469496020	22.21340520000	26.05774353000
1.049955791	13.01209666	20.14784633	1.04995579100	22.21013828000	26.05834332000
1.105216622	12.99002895	20.14819155	1.10521662200	22.21062095000	26.05829638000
1.160477454	12.99354614	20.1462462	1.16047745400	22.21259020000	26.05852902000
1.215738285	13.00136659	20.14594903	1.21573828500	22.21153673000	26.05826156000
1.270999116	13.02109535	20.14478274	1.27099911600	22.20996748000	26.05934771000
1.326259947	13.00756686	20.14491223	1.32625994700	22.21297268000	26.05886943000
1.381520778	12.98931474	20.14445066	1.38152077800	22.20938769000	26.05854043000
1.436781609	12.97420127	20.14419599	1.43678160900	22.20750587000	26.05744208000
1.49204244	13.06497699	20.14570906	1.49204244000	22.21073526000	26.05777532000
1.547303271	13.12090251	20.14647039	1.54730327100	22.20806333000	26.05686197000
1.602564103	13.12373241	20.14655238	1.60256410300	22.20968595000	26.05802687000
1.657824934	13.1049024	20.1493978	1.65782493400	22.20616227000	26.05767118000
1.713085765	13.1162283	20.14417457	1.71308576500	22.20838439000	26.05751097000
1.768346596	13.11359952	20.14480275	1.76834659600	22.20906998000	26.05816191000
1.823607427	13.13460824	20.14565489	1.82360742700	22.20635853000	26.05818253000
1.878868258	13.2043575	20.15204907	1.87886825800	22.20512982000	26.05795802000
1.934129089	13.27792604	20.15308911	1.93412908900	22.20647445000	26.05829972000
1.98938992	13.33082397	20.15599396	1.98938992000	22.20846450000	26.05771924000
2.044650752	13.29625659	20.15144992	2.04465075200	22.20679773000	26.05833819000
2.099911583	13.3338108	20.15714202	2.09991158300	22.20909340000	26.05913194000
2.155172414	13.3210231	20.15319194	2.15517241400	22.20742225000	26.05852511000
2.210433245	13.32180398	20.15262198	2.21043324500	22.20780867000	26.05865617000
2.265694076	13.32543547	20.15176026	2.26569407600	22.21127042000	26.05805596000
2.320954907	13.32651451	20.15325223	2.32095490700	22.20759033000	26.05905521000
2.376215738	13.31217799	20.15173677	2.37621573800	22.21196868000	26.05864323000
2.431476569	13.30326869	20.14971671	2.43147656900	22.20818275000	26.05822771000
2.486737401	13.3025322	20.1476611	2.48673740100	22.20614797000	26.05767138000
2.541998232	13.3321898	20.15072241	2.54199823200	22.20654763000	26.05845941000
2.597259063	13.37650787	20.15482491	2.59725906300	22.20707195000	26.05860933000
2.652519894	13.43150912	20.15609159	2.65251989400	22.20703835000	26.05817741000
2.707780725	13.38711286	20.15575105	2.70778072500	22.20710348000	26.05834365000
2.763041556	13.39337257	20.15211264	2.76304155600	22.20779524000	26.05891939000
2.818302387	13.39592989	20.15212799	2.81830238700	22.20697873000	26.05915488000
2.873563218	13.37435418	20.14715874	2.87356321800	22.21066376000	26.05882285000
2.92882405	13.36714337	20.14597321	2.92882405000	22.20894451000	26.05909741000
2.984084881	13.39162494	20.14743988	2.98408488100	22.20986394000	26.05908657000
3.039345712	13.41376151	20.14501541	3.03934571200	22.20772954000	26.05911150000
3.094606543	13.38311614	20.14378087	3.09460654300	22.20952894000	26.05881265000
3.149867374	13.3683922	20.14480365	3.14986737400	22.21012916000	26.05892529000
3.205128205	13.36532509	20.14488587	3.20512820500	22.20763406000	26.05916553000
3.260389036	13.3477582	20.14442638	3.26038903600	22.20371186000	26.05878305000
3.315649867	13.33707495	20.14477885	3.31564986700	22.20696682000	26.05905563000
3.370910698	13.3887881	20.1467158	3.37091069800	22.20502433000	26.05915049000
3.42617153	13.415003	20.15167805	3.42617153000	22.20520262000	26.05829822000
3.481432361	13.48619859	20.1606091	3.48143236100	22.20573859000	26.05862869000
3.536693192	13.54154264	20.15556021	3.53669319200	22.20628433000	26.05938573000
3.591954023	13.44717192	20.15161636	3.59195402300	22.20679707000	26.05826147000
3.647214854	13.36868745	20.14557483	3.64721485400	22.20828214000	26.05940500000
3.702475685	13.37449812	20.14765507	3.70247568500	22.20596984000	26.05877006000
3.757736516	13.41327377	20.14958342	3.75773651600	22.20686032000	26.05909420000
3.812997347	13.51252852	20.158301	3.81299734700	22.20566681000	26.05843525000
3.868258179	13.65791084	20.19009414	3.86825817900	22.20460831000	26.05881376000
3.92351901	13.74659281	20.19389479	3.92351901000	22.20766476000	26.05856453000
3.978779841	13.8979346	20.20470367	3.97877984100	22.21024183000	26.05810574000
4.034040672	13.89208678	20.22159171	4.03404067200	22.21408581000	26.05866496000
4.089301503	13.86382018	20.22494365	4.08930150300	22.21140196000	26.05838427000
4.144562334	13.77262772	20.22294492	4.14456233400	22.20668946000	26.05883144000
4.199823165	13.74232419	20.22834008	4.19982316500	22.20335768000	26.05792535000
4.255083996	13.75415575	20.23364628	4.25508399600	22.20539996000	26.05942920000
4.310344828	13.81935942	20.24182499	4.31034482800	22.20864985000	26.05853707000
4.365605659	13.85490509	20.24982999	4.36560565900	22.20709655000	26.05796254000
4.42086649	13.90322853	20.25131899	4.42086649000	22.20857167000	26.05792625000
4.476127321	13.86604109	20.25804937	4.47612732100	22.20870689000	26.05762191000
4.531388152	13.87406805	20.26447605	4.53138815200	22.21607525000	26.05738712000
4.586648983	13.89192439	20.26730704	4.58664898300	22.21303376000	26.05667113000
4.641909814	13.90456958	20.26576233	4.64190981400	22.21582388000	26.05653127000
4.697170645	13.88178671	20.26181273	4.69717064500	22.21656336000	26.05596293000
4.752431477	13.79762147	20.26373151	4.75243147700	22.21803523000	26.05561661000
