FASC			mass_A		
1.26004889	27.18658705	0.00000000	1.26004889	49.63344269	0.00000000
1.28524987	27.18453350	0.00000000	1.28524987	49.63325308	0.00000000
1.31045085	27.18235424	0.00000000	1.31045085	49.63321024	0.00000000
1.33565182	27.18062010	0.00000000	1.33565182	49.63336309	0.00000000
1.36085280	27.18043340	0.00000000	1.36085280	49.63341727	0.00000000
1.38605378	27.18062539	0.00000000	1.38605378	49.63334643	0.00000000
1.41125476	27.18198985	0.00000000	1.41125476	49.63377911	0.00000000
1.43645573	27.18382482	0.00000000	1.43645573	49.63329684	0.00000000
1.46165671	27.18422485	0.00000000	1.46165671	49.63355715	0.00000000
1.48685769	27.18475334	0.00000000	1.48685769	49.63333880	0.00000000
1.51205867	27.18520297	0.00000000	1.51205867	49.63332708	0.00000000
1.53725965	27.18086349	0.00000000	1.53725965	49.63324602	0.00000000
1.56246062	27.17828132	0.00000000	1.56246062	49.63331580	0.00000000
1.58766160	27.17163045	0.00000000	1.58766160	49.63363033	0.00000000
1.61286258	27.16660579	0.00000000	1.61286258	49.63332225	0.00000000
1.63806356	27.16138703	0.00000000	1.63806356	49.63356273	0.00000000
1.66326454	27.08203063	0.00000000	1.66326454	49.63348678	0.00000000
1.68846551	27.00040645	0.00000000	1.68846551	49.63358191	0.00000000
1.71366649	26.87240667	0.00000000	1.71366649	49.63295057	0.00000000
1.73886747	26.47676890	0.00000000	1.73886747	49.63284327	0.00000000
1.76406845	26.39899119	0.00000000	1.76406845	49.63258174	0.00000000
1.78926942	26.07669540	0.00000000	1.78926942	49.63164262	0.00000000
1.81447040	25.96522398	0.00000000	1.81447040	49.63180652	0.00000000
1.83967138	25.87173966	0.00000000	1.83967138	49.63221892	0.00000000
1.86487236	25.52237621	0.00000000	1.86487236	49.63236833	0.00000000
1.89007334	25.21747743	0.00000000	1.89007334	49.63200824	0.00000000
1.91527431	25.08562386	0.00000000	1.91527431	49.63216202	0.00000000
1.94047529	25.00941279	0.00000000	1.94047529	49.63193780	0.00000000
1.96567627	24.76525002	0.00000000	1.96567627	49.63150427	0.00000000
1.99087725	24.62179822	0.00000000	1.99087725	49.63133855	0.00000000
2.01607822	24.41396925	0.00000000	2.01607822	49.63088369	0.00000000
2.04127920	24.23029990	0.00000000	2.04127920	49.63090660	0.00000000
2.06648018	24.06297605	0.00000000	2.06648018	49.63047074	0.00000000
2.09168116	23.87599355	0.00000000	2.09168116	49.63126345	0.00000000
2.11688214	23.76062433	0.00000000	2.11688214	49.63157547	0.00000000
2.14208311	23.43315946	0.00000000	2.14208311	49.62993827	0.00000000
2.16728409	23.26827066	0.00000000	2.16728409	49.63037741	0.00000000
2.19248507	22.99224494	0.00000000	2.19248507	49.62991705	0.00000000
2.21768605	22.86975287	0.00000000	2.21768605	49.63062729	0.00000000
2.24288702	22.74426819	0.00000000	2.24288702	49.63006660	0.00000000
2.26808800	22.37915485	0.00000000	2.26808800	49.62882160	0.00000000
2.29328898	22.26067768	0.00000000	2.29328898	49.62984022	0.00000000
2.31848996	22.04115482	0.00000000	2.31848996	49.62917092	0.00000000
2.34369094	21.75024641	0.00000000	2.34369094	49.62795200	0.00000000
2.36889191	21.44916300	0.00000000	2.36889191	49.62822867	0.00000000
2.39409289	21.27499451	0.00000000	2.39409289	49.62875620	0.00000000
2.41929387	20.97206285	0.00000000	2.41929387	49.62827386	0.00000000
2.44449485	20.66902769	0.00000000	2.44449485	49.62901182	0.00000000
2.46969582	20.49613741	0.00000000	2.46969582	49.62911663	0.00000000
2.49489680	20.33105326	0.00000000	2.49489680	49.62867070	0.00000000
2.52009778	20.12047024	0.00000000	2.52009778	49.62767827	0.00000000
2.54529876	20.02534694	0.00000000	2.54529876	49.62881123	0.00000000
2.57049974	19.67854636	0.00000000	2.57049974	49.62726042	0.00000000
2.59570071	19.53160165	0.00000000	2.59570071	49.62826905	0.00000000
2.62090169	19.40036686	0.00000000	2.62090169	49.62993997	0.00000000
2.64610267	19.35016060	0.00000000	2.64610267	49.63076403	0.00000000
2.67130365	19.23050906	0.00000000	2.67130365	49.63119328	0.00000000
2.69650462	19.19960625	0.00000000	2.69650462	49.63195675	0.00000000
2.72170560	19.11078666	0.00000000	2.72170560	49.63180241	0.00000000
2.74690658	18.98790911	0.00000000	2.74690658	49.63214777	0.00000000
2.77210756	18.91713341	0.00000000	2.77210756	49.63235627	0.00000000
2.79730854	18.77989768	0.00000000	2.79730854	49.63152715	0.00000000
2.82250951	18.70326690	0.00000000	2.82250951	49.63138086	0.00000000
2.84771049	18.62295742	0.00000000	2.84771049	49.63138502	0.00000000
2.87291147	18.49360459	0.00000000	2.87291147	49.63035332	0.00000000
2.89811245	18.48210822	0.00000000	2.89811245	49.63095434	0.00000000
2.92331343	18.47967197	0.00000000	2.92331343	49.63112432	0.00000000
2.94851440	18.46672843	0.00000000	2.94851440	49.63114987	0.00000000
2.97371538	18.44957588	0.00000000	2.97371538	49.62987279	0.00000000
2.99891636	18.40493090	0.00000000	2.99891636	49.62827652	0.00000000
3.02411734	18.24859823	0.00000000	3.02411734	49.62715477	0.00000000
3.04931831	18.09266987	0.00000000	3.04931831	49.62530177	0.00000000
3.07451929	17.95688917	0.00000000	3.07451929	49.62554424	0.00000000
3.09972027	17.79642482	0.00000000	3.09972027	49.62327705	0.00000000
3.12492125	17.66303251	0.00000000	3.12492125	49.62157779	0.00000000
3.15012223	17.52158205	0.00000000	3.15012223	49.61841385	0.00000000
3.17532320	17.38451764	0.00000000	3.17532320	49.61754775	0.00000000
3.20052418	17.29618479	0.00000000	3.20052418	49.61449085	0.00000000
3.22572516	17.18589230	0.00000000	3.22572516	49.61832097	0.00000000
3.25092614	17.13041443	0.00000000	3.25092614	49.62066703	0.00000000
3.27612711	16.98292752	0.00000000	3.27612711	49.61871769	0.00000000
3.30132809	16.72232927	0.00000000	3.30132809	49.61255795	0.00000000
3.32652907	16.32293250	0.00000000	3.32652907	49.60647265	0.00000000
3.35173005	16.08317487	0.00000000	3.35173005	49.60656142	0.00000000
3.37693103	15.83334447	0.00000000	3.37693103	49.60929581	0.00000000
3.40213200	15.67088919	0.00000000	3.40213200	49.61189114	0.00000000
3.42733298	15.65625692	0.00000000	3.42733298	49.61819604	0.00000000
3.45253396	15.66362123	0.00000000	3.45253396	49.62010510	0.00000000
3.47773494	15.66310079	0.00000000	3.47773494	49.62226225	0.00000000
3.50293591	15.66621944	0.00000000	3.50293591	49.62511418	0.00000000
3.52813689	15.63411911	0.00000000	3.52813689	49.62497995	0.00000000
3.55333787	15.54575569	0.00000000	3.55333787	49.62651111	0.00000000
3.57853885	15.37398805	0.00000000	3.57853885	49.62457473	0.00000000
3.60373983	15.25275574	0.00000000	3.60373983	49.62530491	0.00000000
3.62894080	15.07038357	0.00000000	3.62894080	49.62570239	0.00000000
3.65414178	14.95667116	0.00000000	3.65414178	49.62700639	0.00000000
3.67934276	14.78720306	0.00000000	3.67934276	49.62703761	0.00000000
3.70454374	14.75583637	0.00000000	3.70454374	49.62970464	0.00000000
3.72974471	14.60684224	0.00000000	3.72974471	49.62843122	0.00000000
3.75494569	14.52789668	0.00000000	3.75494569	49.62970096	0.00000000
3.78014667	14.46607645	0.00000000	3.78014667	49.62908530	0.00000000
3.80534765	14.41630528	0.00000000	3.80534765	49.62908352	0.00000000
3.83054863	14.22239709	0.00000000	3.83054863	49.62964325	0.00000000
3.85574960	14.17937759	0.00000000	3.85574960	49.63065938	0.00000000
3.88095058	14.12831445	0.00000000	3.88095058	49.63138808	0.00000000
3.90615156	14.12931708	0.00000000	3.90615156	49.63039851	0.00000000
3.93135254	14.12844961	0.00000000	3.93135254	49.63131774	0.00000000
3.95655351	14.18034504	0.00000000	3.95655351	49.63164407	0.00000000
3.98175449	14.18668258	0.00000000	3.98175449	49.63244927	0.00000000
4.00695547	14.16470892	0.00000000	4.00695547	49.63204839	0.00000000
4.03215645	14.13637010	0.00000000	4.03215645	49.63244236	0.00000000
4.05735743	14.06418619	0.00000000	4.05735743	49.63205763	0.00000000
4.08255840	13.94595223	0.00000000	4.08255840	49.63200320	0.00000000
4.10775938	13.90648084	0.00000000	4.10775938	49.63156423	0.00000000
4.13296036	13.85057671	0.00000000	4.13296036	49.63080855	0.00000000
4.15816134	13.74596101	0.00000000	4.15816134	49.63083418	0.00000000
4.18336231	13.73081252	0.00000000	4.18336231	49.63121240	0.00000000
4.20856329	13.68821666	0.00000000	4.20856329	49.63160350	0.00000000
4.23376427	13.57932270	0.00000000	4.23376427	49.63030318	0.00000000
4.25896525	13.57032839	0.00000000	4.25896525	49.63121416	0.00000000
4.28416623	13.55687343	0.00000000	4.28416623	49.63081391	0.00000000
4.30936720	13.53596388	0.00000000	4.30936720	49.63077116	0.00000000
4.33456818	13.51225097	0.00000000	4.33456818	49.63057632	0.00000000
4.35976916	13.42828890	0.00000000	4.35976916	49.63082182	0.00000000
4.38497014	13.38609885	0.00000000	4.38497014	49.63124390	0.00000000
4.41017112	13.28580553	0.00000000	4.41017112	49.63079428	0.00000000
4.43537209	13.26021862	0.00000000	4.43537209	49.63112977	0.00000000
4.46057307	13.08994881	0.00000000	4.46057307	49.62995145	0.00000000
4.48577405	12.99630565	0.00000000	4.48577405	49.63106554	0.00000000
4.51097503	12.89876267	0.00000000	4.51097503	49.63072316	0.00000000
4.53617600	12.83807526	0.00000000	4.53617600	49.63084081	0.00000000
4.56137698	12.73764248	0.00000000	4.56137698	49.63102937	0.00000000
4.58657796	12.53350757	0.00000000	4.58657796	49.62945712	0.00000000
4.61177894	12.39646723	0.00000000	4.61177894	49.62924239	0.00000000
4.63697992	12.27079942	0.00000000	4.63697992	49.62839897	0.00000000
4.66218089	12.07989802	0.00000000	4.66218089	49.62859652	0.00000000
4.68738187	12.02352607	0.00000000	4.68738187	49.62867138	0.00000000
4.71258285	11.88548619	0.00000000	4.71258285	49.62855782	0.00000000
4.73778383	11.72905103	0.00000000	4.73778383	49.62843920	0.00000000
4.76298480	11.41374704	0.00000000	4.76298480	49.62756268	0.00000000
4.78818578	11.13584272	0.00000000	4.78818578	49.62650844	0.00000000
4.81338676	10.95945881	0.00000000	4.81338676	49.62709137	0.00000000
4.83858774	10.70060612	0.00000000	4.83858774	49.62620474	0.00000000
4.86378872	10.39736939	0.00000000	4.86378872	49.62692010	0.00000000
4.88898969	10.35049415	0.00000000	4.88898969	49.62691070	0.00000000
4.91419067	10.20658206	0.00000000	4.91419067	49.62518261	0.00000000
4.93939165	9.99776901	0.00000000	4.93939165	49.62656169	0.00000000
4.96459263	9.87803755	0.00000000	4.96459263	49.62627461	0.00000000
4.98979360	9.72463052	0.00000000	4.98979360	49.62601750	0.00000000
5.01499458	9.56713588	0.00000000	5.01499458	49.62676112	0.00000000
5.04019556	9.32772961	0.00000000	5.04019556	49.62439620	0.00000000
5.06539654	9.16221459	0.00000000	5.06539654	49.62427083	0.00000000
5.09059752	9.12652856	0.00000000	5.09059752	49.62651009	0.00000000
5.11579849	9.10361237	0.00000000	5.11579849	49.62698144	0.00000000
5.14099947	9.13261926	0.00000000	5.14099947	49.62845663	0.00000000
5.16620045	9.13223543	0.00000000	5.16620045	49.62887396	0.00000000
5.19140143	9.10991471	0.00000000	5.19140143	49.62834700	0.00000000
5.21660240	9.03358603	0.00000000	5.21660240	49.62793440	0.00000000
5.24180338	8.93412868	0.00000000	5.24180338	49.62769626	0.00000000
5.26700436	8.82077618	0.00000000	5.26700436	49.62786973	0.00000000
5.29220534	8.68949551	0.00000000	5.29220534	49.62774831	0.00000000
5.31740632	8.64641822	0.00000000	5.31740632	49.62824895	0.00000000
5.34260729	8.53797169	0.00000000	5.34260729	49.62847677	0.00000000
5.36780827	8.47755390	0.00000000	5.36780827	49.62890791	0.00000000
5.39300925	8.42129862	0.00000000	5.39300925	49.62887015	0.00000000
5.41821023	8.33430754	0.00000000	5.41821023	49.62888281	0.00000000
5.44341120	8.33051865	0.00000000	5.44341120	49.62925810	0.00000000
5.46861218	8.16790046	0.00000000	5.46861218	49.62671991	0.00000000
5.49381316	8.11507526	0.00000000	5.49381316	49.62868556	0.00000000
5.51901414	8.02491980	0.00000000	5.51901414	49.62938783	0.00000000
5.54421512	7.97626430	0.00000000	5.54421512	49.62763084	0.00000000
5.56941609	7.94216533	0.00000000	5.56941609	49.62908729	0.00000000
5.59461707	7.89975034	0.00000000	5.59461707	49.62956753	0.00000000
5.61981805	7.85231352	0.00000000	5.61981805	49.62828780	0.00000000
5.64501903	7.82607814	0.00000000	5.64501903	49.62955535	0.00000000
5.67022001	7.80813191	0.00000000	5.67022001	49.62955970	0.00000000
5.69542098	7.78757027	0.00000000	5.69542098	49.63066359	0.00000000
5.72062196	7.80884698	0.00000000	5.72062196	49.62985029	0.00000000
5.74582294	7.82234808	0.00000000	5.74582294	49.63041436	0.00000000
5.77102392	7.90148547	0.00000000	5.77102392	49.62992784	0.00000000
5.79622489	7.89821723	0.00000000	5.79622489	49.63080232	0.00000000
5.82142587	7.91367156	0.00000000	5.82142587	49.63077939	0.00000000
5.84662685	7.92608304	0.00000000	5.84662685	49.63121311	0.00000000
5.87182783	7.92301339	0.00000000	5.87182783	49.63091273	0.00000000
5.89702881	7.91490593	0.00000000	5.89702881	49.63113304	0.00000000
5.92222978	7.99380859	0.00000000	5.92222978	49.63076979	0.00000000
5.94743076	7.99531457	0.00000000	5.94743076	49.62999499	0.00000000
5.97263174	7.97960751	0.00000000	5.97263174	49.63074384	0.00000000
5.99783272	7.97473085	0.00000000	5.99783272	49.63067617	0.00000000
6.02303369	8.01941298	0.00000000	6.02303369	49.63057403	0.00000000
6.04823467	8.04575977	0.00000000	6.04823467	49.63065899	0.00000000
6.07343565	8.05916123	0.00000000	6.07343565	49.63042701	0.00000000
6.09863663	8.05602543	0.00000000	6.09863663	49.63067145	0.00000000
6.12383761	8.05303340	0.00000000	6.12383761	49.63093653	0.00000000
6.14903858	8.05172281	0.00000000	6.14903858	49.63134646	0.00000000
6.17423956	8.06126057	0.00000000	6.17423956	49.63100130	0.00000000
6.19944054	8.06222557	0.00000000	6.19944054	49.63053675	0.00000000
6.22464152	8.06744732	0.00000000	6.22464152	49.63081904	0.00000000
6.24984249	8.07474065	0.00000000	6.24984249	49.63069780	0.00000000
6.27504347	8.06666016	0.00000000	6.27504347	49.63109157	0.00000000
6.30024445	8.05198626	0.00000000	6.30024445	49.63108001	0.00000000
6.32544543	8.04850977	0.00000000	6.32544543	49.63050327	0.00000000
6.35064641	8.05688801	0.00000000	6.35064641	49.63091232	0.00000000
6.37584738	8.10755420	0.00000000	6.37584738	49.63122112	0.00000000
6.40104836	8.12177033	0.00000000	6.40104836	49.63107671	0.00000000
6.42624934	8.13827040	0.00000000	6.42624934	49.63111067	0.00000000
6.45145032	8.16693136	0.00000000	6.45145032	49.63061442	0.00000000
6.47665129	8.17614297	0.00000000	6.47665129	49.63075069	0.00000000
6.50185227	8.17284405	0.00000000	6.50185227	49.63042554	0.00000000
6.52705325	8.17897191	0.00000000	6.52705325	49.63108196	0.00000000
6.55225423	8.18126730	0.00000000	6.55225423	49.63086787	0.00000000
6.57745521	8.18667780	0.00000000	6.57745521	49.63105464	0.00000000
6.60265618	8.19491333	0.00000000	6.60265618	49.63118552	0.00000000
6.62785716	8.20637256	0.00000000	6.62785716	49.63105415	0.00000000
6.65305814	8.23874945	0.00000000	6.65305814	49.63119400	0.00000000
6.67825912	8.28318143	0.00000000	6.67825912	49.63066914	0.00000000
6.70346009	8.28315537	0.00000000	6.70346009	49.63111271	0.00000000
6.72866107	8.30122118	0.00000000	6.72866107	49.63036675	0.00000000
6.75386205	8.33883949	0.00000000	6.75386205	49.63055726	0.00000000
6.77906303	8.38356276	0.00000000	6.77906303	49.63114141	0.00000000
6.80426401	8.41348389	0.00000000	6.80426401	49.63088138	0.00000000
6.82946498	8.53920150	0.00000000	6.82946498	49.63090114	0.00000000
6.85466596	8.58727200	0.00000000	6.85466596	49.63063894	0.00000000
6.87986694	8.77954476	0.00000000	6.87986694	49.62989985	0.00000000
6.90506792	8.83701220	0.00000000	6.90506792	49.63054549	0.00000000
6.93026889	9.14593041	0.00000000	6.93026889	49.63006893	0.00000000
6.95546987	9.35704633	0.00000000	6.95546987	49.63033006	0.00000000
6.98067085	9.48363146	0.00000000	6.98067085	49.63047218	0.00000000
