FASC			mass_A		
t	x	y	t	x	y
0.00000000	27.18556429	0.00000000	0.00000000	49.63705511	0.00000000
0.02520098	27.18604244	0.00000000	0.02520098	49.63258097	0.00000000
0.05040196	27.18623256	0.00000000	0.05040196	49.63311894	0.00000000
0.07560293	27.18552510	0.00000000	0.07560293	49.63360170	0.00000000
0.10080391	27.18613949	0.00000000	0.10080391	49.63341314	0.00000000
0.12600489	27.18564897	0.00000000	0.12600489	49.63333293	0.00000000
0.15120587	27.18541501	0.00000000	0.15120587	49.63343839	0.00000000
0.17640684	27.18553548	0.00000000	0.17640684	49.63389220	0.00000000
0.20160782	27.18582147	0.00000000	0.20160782	49.63377919	0.00000000
0.22680880	27.18539501	0.00000000	0.22680880	49.63366892	0.00000000
0.25200978	27.18575031	0.00000000	0.25200978	49.63375199	0.00000000
0.27721076	27.18617402	0.00000000	0.27721076	49.63370369	0.00000000
0.30241173	27.18592855	0.00000000	0.30241173	49.63356138	0.00000000
0.32761271	27.18651398	0.00000000	0.32761271	49.63370882	0.00000000
0.35281369	27.18671564	0.00000000	0.35281369	49.63348664	0.00000000
0.37801467	27.18607889	0.00000000	0.37801467	49.63415810	0.00000000
0.40321564	27.18670768	0.00000000	0.40321564	49.63374489	0.00000000
0.42841662	27.18646682	0.00000000	0.42841662	49.63368052	0.00000000
0.45361760	27.18650784	0.00000000	0.45361760	49.63398865	0.00000000
0.47881858	27.18692297	0.00000000	0.47881858	49.63379832	0.00000000
0.50401956	27.18722554	0.00000000	0.50401956	49.63388982	0.00000000
0.52922053	27.18820336	0.00000000	0.52922053	49.63345877	0.00000000
0.55442151	27.18719358	0.00000000	0.55442151	49.63353181	0.00000000
0.57962249	27.18699270	0.00000000	0.57962249	49.63374640	0.00000000
0.60482347	27.18600694	0.00000000	0.60482347	49.63353981	0.00000000
0.63002444	27.18493298	0.00000000	0.63002444	49.63369785	0.00000000
0.65522542	27.18501762	0.00000000	0.65522542	49.63343066	0.00000000
0.68042640	27.18477318	0.00000000	0.68042640	49.63338375	0.00000000
0.70562738	27.18395386	0.00000000	0.70562738	49.63350061	0.00000000
0.73082836	27.18417207	0.00000000	0.73082836	49.63353148	0.00000000
0.75602933	27.18431945	0.00000000	0.75602933	49.63334069	0.00000000
0.78123031	27.18430158	0.00000000	0.78123031	49.63368524	0.00000000
0.80643129	27.18467397	0.00000000	0.80643129	49.63372615	0.00000000
0.83163227	27.18487669	0.00000000	0.83163227	49.63327319	0.00000000
0.85683325	27.18528793	0.00000000	0.85683325	49.63336598	0.00000000
0.88203422	27.18603335	0.00000000	0.88203422	49.63373484	0.00000000
0.90723520	27.18605253	0.00000000	0.90723520	49.63324108	0.00000000
0.93243618	27.18553929	0.00000000	0.93243618	49.63366988	0.00000000
0.95763716	27.18634700	0.00000000	0.95763716	49.63380872	0.00000000
0.98283813	27.18631464	0.00000000	0.98283813	49.63339188	0.00000000
1.00803911	27.18662726	0.00000000	1.00803911	49.63345488	0.00000000
1.03324009	27.18711175	0.00000000	1.03324009	49.63369230	0.00000000
1.05844107	27.18592430	0.00000000	1.05844107	49.63349461	0.00000000
1.08364205	27.18723168	0.00000000	1.08364205	49.63357450	0.00000000
1.10884302	27.18612872	0.00000000	1.10884302	49.63368584	0.00000000
1.13404400	27.18746312	0.00000000	1.13404400	49.63356511	0.00000000
1.15924498	27.18672688	0.00000000	1.15924498	49.63352213	0.00000000
1.18444596	27.18744592	0.00000000	1.18444596	49.63359259	0.00000000
1.20964693	27.18771610	0.00000000	1.20964693	49.63331922	0.00000000
1.23484791	27.18723146	0.00000000	1.23484791	49.63342201	0.00000000
