FASC_Dist			mass_A		
t	x	y	t	x	y
0.00000000	22.70524188	0.00000000	0.00000000	43.52188369	0.00000000
0.01870522	22.70559118	0.00000000	0.01870522	43.52135075	0.00000000
0.03741045	22.70595839	0.00000000	0.03741045	43.52164266	0.00000000
0.05611567	22.70595468	0.00000000	0.05611567	43.52132963	0.00000000
0.07482090	22.70581105	0.00000000	0.07482090	43.52185037	0.00000000
0.09352612	22.70544739	0.00000000	0.09352612	43.52177332	0.00000000
0.11223135	22.70553616	0.00000000	0.11223135	43.52177245	0.00000000
0.13093657	22.70557038	0.00000000	0.13093657	43.52157219	0.00000000
0.14964180	22.70563117	0.00000000	0.14964180	43.52159673	0.00000000
0.16834702	22.70553517	0.00000000	0.16834702	43.52190345	0.00000000
0.18705224	22.70560104	0.00000000	0.18705224	43.52182988	0.00000000
0.20575747	22.70565728	0.00000000	0.20575747	43.52160465	0.00000000
0.22446269	22.70537134	0.00000000	0.22446269	43.52173151	0.00000000
0.24316792	22.70542635	0.00000000	0.24316792	43.52168623	0.00000000
0.26187314	22.70583745	0.00000000	0.26187314	43.52144265	0.00000000
0.28057837	22.70555830	0.00000000	0.28057837	43.52185823	0.00000000
0.29928359	22.70552731	0.00000000	0.29928359	43.52151922	0.00000000
0.31798881	22.70553089	0.00000000	0.31798881	43.52211750	0.00000000
0.33669404	22.70564987	0.00000000	0.33669404	43.52214960	0.00000000
0.35539926	22.70608972	0.00000000	0.35539926	43.52193852	0.00000000
0.37410449	22.70591691	0.00000000	0.37410449	43.52187907	0.00000000
0.39280971	22.70578875	0.00000000	0.39280971	43.52195266	0.00000000
0.41151494	22.70553621	0.00000000	0.41151494	43.52169627	0.00000000
0.43022016	22.70598808	0.00000000	0.43022016	43.52211220	0.00000000
0.44892538	22.70578908	0.00000000	0.44892538	43.52137553	0.00000000
0.46763061	22.70557300	0.00000000	0.46763061	43.52192034	0.00000000
0.48633583	22.70556230	0.00000000	0.48633583	43.52192257	0.00000000
0.50504106	22.70547870	0.00000000	0.50504106	43.52135972	0.00000000
0.52374628	22.70562547	0.00000000	0.52374628	43.52205347	0.00000000
0.54245151	22.70563984	0.00000000	0.54245151	43.52196087	0.00000000
0.56115673	22.70530664	0.00000000	0.56115673	43.52212935	0.00000000
0.57986196	22.70550169	0.00000000	0.57986196	43.52154541	0.00000000
0.59856718	22.70571392	0.00000000	0.59856718	43.52181817	0.00000000
0.61727240	22.70544922	0.00000000	0.61727240	43.52186759	0.00000000
0.63597763	22.70604473	0.00000000	0.63597763	43.52171722	0.00000000
0.65468285	22.70533543	0.00000000	0.65468285	43.52138414	0.00000000
0.67338808	22.70530670	0.00000000	0.67338808	43.52188595	0.00000000
0.69209330	22.70598791	0.00000000	0.69209330	43.52172309	0.00000000
0.71079853	22.70565818	0.00000000	0.71079853	43.52163151	0.00000000
0.72950375	22.70541586	0.00000000	0.72950375	43.52204485	0.00000000
0.74820897	22.70548363	0.00000000	0.74820897	43.52193208	0.00000000
0.76691420	22.70537480	0.00000000	0.76691420	43.52112625	0.00000000
0.78561942	22.70580904	0.00000000	0.78561942	43.52205253	0.00000000
0.80432465	22.70608694	0.00000000	0.80432465	43.52174403	0.00000000
0.82302987	22.70600798	0.00000000	0.82302987	43.52169649	0.00000000
0.84173510	22.70593460	0.00000000	0.84173510	43.52149997	0.00000000
0.86044032	22.70586001	0.00000000	0.86044032	43.52242882	0.00000000
0.87914555	22.70563906	0.00000000	0.87914555	43.52135197	0.00000000
0.89785077	22.70544773	0.00000000	0.89785077	43.52216421	0.00000000
0.91655599	22.70589971	0.00000000	0.91655599	43.52205874	0.00000000
0.93526122	22.70575765	0.00000000	0.93526122	43.52144350	0.00000000
0.95396644	22.70559168	0.00000000	0.95396644	43.52189364	0.00000000
0.97267167	22.70587590	0.00000000	0.97267167	43.52130264	0.00000000
0.99137689	22.70636371	0.00000000	0.99137689	43.52234267	0.00000000
1.01008212	22.70597164	0.00000000	1.01008212	43.52213709	0.00000000
1.02878734	22.70566904	0.00000000	1.02878734	43.52192113	0.00000000
1.04749257	22.70585323	0.00000000	1.04749257	43.52158891	0.00000000
1.06619779	22.70597399	0.00000000	1.06619779	43.52152793	0.00000000
1.08490301	22.70571173	0.00000000	1.08490301	43.52161128	0.00000000
1.10360824	22.70619826	0.00000000	1.10360824	43.52220145	0.00000000
1.12231346	22.70589542	0.00000000	1.12231346	43.52201136	0.00000000
1.14101869	22.70583095	0.00000000	1.14101869	43.52263253	0.00000000
1.15972391	22.70492346	0.00000000	1.15972391	43.52203868	0.00000000
1.17842914	22.70464377	0.00000000	1.17842914	43.52163111	0.00000000
1.19713436	22.70381286	0.00000000	1.19713436	43.52182757	0.00000000
1.21583958	22.70269685	0.00000000	1.21583958	43.52220572	0.00000000
1.23454481	22.69707282	0.00000000	1.23454481	43.52207450	0.00000000
1.25325003	22.69267383	0.00000000	1.25325003	43.52150825	0.00000000
1.27195526	22.68863188	0.00000000	1.27195526	43.52159424	0.00000000
1.29066048	22.69033574	0.00000000	1.29066048	43.52242645	0.00000000
1.30936571	22.68978830	0.00000000	1.30936571	43.52223920	0.00000000
1.32807093	22.68365849	0.00000000	1.32807093	43.52156085	0.00000000
1.34677616	22.67209892	0.00000000	1.34677616	43.52186527	0.00000000
1.36548138	22.66253356	0.00000000	1.36548138	43.52154041	0.00000000
1.38418660	22.57450414	0.00000000	1.38418660	43.52199393	0.00000000
1.40289183	22.49547521	0.00000000	1.40289183	43.52172001	0.00000000
1.42159705	22.26668140	0.00000000	1.42159705	43.52110786	0.00000000
1.44030228	21.96324771	0.00000000	1.44030228	43.52101887	0.00000000
1.45900750	21.66632921	0.00000000	1.45900750	43.52070092	0.00000000
1.47771273	21.50003996	0.00000000	1.47771273	43.51952806	0.00000000
1.49641795	21.05303833	0.00000000	1.49641795	43.51613124	0.00000000
1.51512317	20.67933021	0.00000000	1.51512317	43.51546352	0.00000000
1.53382840	20.39397261	0.00000000	1.53382840	43.51475139	0.00000000
1.55253362	20.08841670	0.00000000	1.55253362	43.51463712	0.00000000
1.57123885	19.83907095	0.00000000	1.57123885	43.51360502	0.00000000
1.58994407	19.71736872	0.00000000	1.58994407	43.51549292	0.00000000
1.60864930	19.48278311	0.00000000	1.60864930	43.51411550	0.00000000
1.62735452	19.26838458	0.00000000	1.62735452	43.51645868	0.00000000
1.64605974	19.04220705	0.00000000	1.64605974	43.51457162	0.00000000
1.66476497	18.93167711	0.00000000	1.66476497	43.51625733	0.00000000
1.68347019	18.75304110	0.00000000	1.68347019	43.51753646	0.00000000
1.70217542	18.55959807	0.00000000	1.70217542	43.51691398	0.00000000
1.72088064	18.44367978	0.00000000	1.72088064	43.51698590	0.00000000
1.73958587	18.28213113	0.00000000	1.73958587	43.51588868	0.00000000
1.75829109	18.18948055	0.00000000	1.75829109	43.51712976	0.00000000
1.77699632	17.83972232	0.00000000	1.77699632	43.51307987	0.00000000
1.79570154	17.68768737	0.00000000	1.79570154	43.51160441	0.00000000
1.81440676	17.54347590	0.00000000	1.81440676	43.51449653	0.00000000
1.83311199	17.48117829	0.00000000	1.83311199	43.51569250	0.00000000
