mass_B			mass_A		
t	x	y	t	x	y
0.0000000000 	17.5305520200 	-1.1272708940 	0.0000000000 	44.7835195300 	2.5170640080 
0.0237146652 	17.5310935200 	-1.1275297240 	0.0237146652 	44.7836725500 	2.5165761850 
0.0474293303 	17.5309182500 	-1.1274772480 	0.0474293303 	44.7837907600 	2.5166466190 
0.0711439955 	17.5310702100 	-1.1272370370 	0.0711439955 	44.7839332100 	2.5167052340 
0.0948586606 	17.5309985800 	-1.1273878030 	0.0948586606 	44.7829383100 	2.5166361880 
0.1185733257 	17.5310000500 	-1.1272504110 	0.1185733257 	44.7836490000 	2.5167268200 
0.1422879909 	17.5312459900 	-1.1273576330 	0.1422879909 	44.7833785900 	2.5166432140 
0.1660026560 	17.5309579900 	-1.1273809230 	0.1660026560 	44.7834657600 	2.5166420250 
0.1897173212 	17.5307822400 	-1.1273497300 	0.1897173212 	44.7836653900 	2.5166957630 
0.2134319863 	17.5309393100 	-1.1274673460 	0.2134319863 	44.7831934100 	2.5166998830 
0.2371466515 	17.5315426400 	-1.1273602830 	0.2371466515 	44.7832482200 	2.5166816250 
0.2608613166 	17.5313815000 	-1.1274852830 	0.2608613166 	44.7839918800 	2.5165118210 
0.2845759818 	17.5308382800 	-1.1273860010 	0.2845759818 	44.7830275300 	2.5165781650 
0.3082906469 	17.5311741400 	-1.1273653690 	0.3082906469 	44.7834869700 	2.5165409920 
0.3320053121 	17.5315170600 	-1.1273753970 	0.3320053121 	44.7833605600 	2.5166439840 
0.3557199772 	17.5306018300 	-1.1272792530 	0.3557199772 	44.7834701600 	2.5166245820 
0.3794346424 	17.5307508600 	-1.1274113650 	0.3794346424 	44.7832568300 	2.5166062020 
0.4031493075 	17.5308188000 	-1.1272750540 	0.4031493075 	44.7839909400 	2.5165202550 
0.4268639727 	17.5307770700 	-1.1273402240 	0.4268639727 	44.7837402400 	2.5165806450 
0.4505786378 	17.5311813400 	-1.1273367930 	0.4505786378 	44.7834005500 	2.5165702310 
0.4742933030 	17.5308102100 	-1.1273210140 	0.4742933030 	44.7837815800 	2.5164731430 
0.4980079681 	17.5310160500 	-1.1272762710 	0.4980079681 	44.7831081800 	2.5166778350 
0.5217226333 	17.5307963400 	-1.1273668620 	0.5217226333 	44.7831346100 	2.5166663530 
0.5454372984 	17.5309963300 	-1.1273036770 	0.5454372984 	44.7831490400 	2.5166276220 
0.5691519636 	17.5305569700 	-1.1273174840 	0.5691519636 	44.7842220900 	2.5165240240 
0.5928666287 	17.5309633900 	-1.1273617190 	0.5928666287 	44.7833921900 	2.5166625040 
0.6165812939 	17.5315344800 	-1.1274937200 	0.6165812939 	44.7830991400 	2.5165446540 
0.6402959590 	17.5316333300 	-1.1274540020 	0.6402959590 	44.7833563000 	2.5166342210 
0.6640106242 	17.5317862500 	-1.1275683020 	0.6640106242 	44.7831463700 	2.5165898190 
0.6877252893 	17.5312333500 	-1.1276257900 	0.6877252893 	44.7831813000 	2.5165806480 
0.7114399545 	17.5312940500 	-1.1274340550 	0.7114399545 	44.7831222300 	2.5165415610 
0.7351546196 	17.5319365500 	-1.1276321160 	0.7351546196 	44.7838874000 	2.5164993370 
0.7588692848 	17.5305453600 	-1.1273951830 	0.7588692848 	44.7824105600 	2.5165494330 
0.7825839499 	17.5308968500 	-1.1274075560 	0.7825839499 	44.7832596400 	2.5166072440 
0.8062986151 	17.5303470300 	-1.1273453750 	0.8062986151 	44.7823796000 	2.5166343470 
0.8300132802 	17.5309101300 	-1.1273495140 	0.8300132802 	44.7830119100 	2.5165733170 
0.8537279454 	17.5305995900 	-1.1273411110 	0.8537279454 	44.7825851900 	2.5165682910 
0.8774426105 	17.5307024900 	-1.1274797550 	0.8774426105 	44.7829730500 	2.5166210860 
0.9011572757 	17.5306745800 	-1.1272298690 	0.9011572757 	44.7828543400 	2.5165579860 
0.9248719408 	17.5312597900 	-1.1275394430 	0.9248719408 	44.7835567400 	2.5164868400 
0.9485866060 	17.5308242900 	-1.1274933410 	0.9485866060 	44.7835000000 	2.5165024000 
0.9723012711 	17.5311929500 	-1.1274404550 	0.9723012711 	44.7833232200 	2.5166038890 
0.9960159363 	17.5315222400 	-1.1275935800 	0.9960159363 	44.7831010500 	2.5165166680 
1.0197306010 	17.5315564900 	-1.1276538400 	1.0197306010 	44.7841767200 	2.5165400470 
1.0434452670 	17.5314685400 	-1.1274916610 	1.0434452670 	44.7831193100 	2.5166308750 
1.0671599320 	17.5314668000 	-1.1274586550 	1.0671599320 	44.7832521500 	2.5165620230 
1.0908745970 	17.5319872400 	-1.1275349510 	1.0908745970 	44.7834246100 	2.5165471800 
1.1145892620 	17.5312911300 	-1.1275656620 	1.1145892620 	44.7835066700 	2.5166296470 
1.1383039270 	17.5320760100 	-1.1275176660 	1.1383039270 	44.7837109800 	2.5165161500 
1.1620185920 	17.5321742400 	-1.1274637980 	1.1620185920 	44.7837144900 	2.5165731410 
1.1857332570 	17.5321172900 	-1.1276689530 	1.1857332570 	44.7833886300 	2.5165877680 
1.2094479230 	17.5318941500 	-1.1275413280 	1.2094479230 	44.7842425900 	2.5164920670 
1.2331625880 	17.5321446800 	-1.1276418800 	1.2331625880 	44.7840171000 	2.5165502880 
1.2568772530 	17.5327509300 	-1.1277106990 	1.2568772530 	44.7839356000 	2.5164732110 
1.2805919180 	17.5321509300 	-1.1276500190 	1.2805919180 	44.7829398400 	2.5166045320 
1.3043065830 	17.5321807500 	-1.1277234830 	1.3043065830 	44.7834936700 	2.5165656080 
1.3280212480 	17.5328788800 	-1.1277606790 	1.3280212480 	44.7843543900 	2.5164916960 
1.3517359130 	17.5324977300 	-1.1276574530 	1.3517359130 	44.7833085400 	2.5165325360 
1.3754505790 	17.5322072500 	-1.1275068780 	1.3754505790 	44.7835547300 	2.5165383750 
1.3991652440 	17.5311891500 	-1.1272939530 	1.3991652440 	44.7832045400 	2.5166342970 
1.4228799090 	17.5309385800 	-1.1274604680 	1.4228799090 	44.7833670100 	2.5165491010 
1.4465945740 	17.5308369700 	-1.1274020600 	1.4465945740 	44.7835381500 	2.5165720230 
1.4703092390 	17.5313423700 	-1.1274978120 	1.4703092390 	44.7844295100 	2.5165447060 
1.4940239040 	17.5312441700 	-1.1275902950 	1.4940239040 	44.7837075200 	2.5165605850 
1.5177385700 	17.5313454000 	-1.1273799470 	1.5177385700 	44.7835560400 	2.5166342100 
1.5414532350 	17.5313627800 	-1.1274509920 	1.5414532350 	44.7842270600 	2.5165645290 
1.5651679000 	17.5311983900 	-1.1274959230 	1.5651679000 	44.7841055500 	2.5165703770 
1.5888825650 	17.5314878600 	-1.1275307550 	1.5888825650 	44.7832509200 	2.5166593350 
1.6125972300 	17.5313594300 	-1.1275395710 	1.6125972300 	44.7845973200 	2.5165036900 
1.6363118950 	17.5317742900 	-1.1275765490 	1.6363118950 	44.7841367100 	2.5166174670 
1.6600265600 	17.5315087100 	-1.1275320580 	1.6600265600 	44.7843079200 	2.5165955350 
1.6837412260 	17.5315757100 	-1.1275394250 	1.6837412260 	44.7833671300 	2.5166000400 
1.7074558910 	17.5310850200 	-1.1276676060 	1.7074558910 	44.7841459700 	2.5165645240 
