mass_C			mass_A		
t	x	y	t	x	y
1.884100388	40.75789704	0	1.884100388	19.63655801	0
1.902392625	40.71334324	0	1.902392625	19.63212871	0
1.920684861	40.65032452	0	1.920684861	19.63451784	0
1.938977098	40.61403062	0	1.938977098	19.63266462	0
1.957269335	40.57456197	0	1.957269335	19.6352693	0
1.975561572	40.55792085	0	1.975561572	19.63376534	0
1.993853808	40.55305557	0	1.993853808	19.63547693	0
2.012146045	40.445667	0	2.012146045	19.62631239	0
2.030438282	40.42805316	0	2.030438282	19.62841028	0
2.048730519	40.4223114	0	2.048730519	19.63544842	0
2.067022756	40.41481699	0	2.067022756	19.63412363	0
2.085314992	40.4110635	0	2.085314992	19.64063819	0
2.103607229	40.38742494	0	2.103607229	19.63797764	0
2.121899466	40.35430748	0	2.121899466	19.6399907	0
2.140191703	40.34567147	0	2.140191703	19.64059024	0
2.158483939	40.31389742	0	2.158483939	19.63800535	0
2.176776176	40.29523033	0	2.176776176	19.63999604	0
2.195068413	40.30247582	0	2.195068413	19.64244766	0
2.21336065	40.30126117	0	2.21336065	19.64605674	0
2.231652887	40.29547008	0	2.231652887	19.64965881	0
2.249945123	40.28662101	0	2.249945123	19.64765052	0
2.26823736	40.28265282	0	2.26823736	19.6458113	0
2.286529597	40.29011853	0	2.286529597	19.65002823	0
2.304821834	40.29830606	0	2.304821834	19.65301072	0
2.32311407	40.3035108	0	2.32311407	19.65654258	0
2.341406307	40.30468847	0	2.341406307	19.65406649	0
2.359698544	40.30092129	0	2.359698544	19.65613157	0
2.377990781	40.29729447	0	2.377990781	19.65316886	0
2.396283017	40.29346302	0	2.396283017	19.65318667	0
2.414575254	40.29819066	0	2.414575254	19.65540709	0
2.432867491	40.30471242	0	2.432867491	19.65934603	0
2.451159728	40.29864564	0	2.451159728	19.65580961	0
2.469451965	40.29392551	0	2.469451965	19.6552864	0
2.487744201	40.29113623	0	2.487744201	19.65163113	0
2.506036438	40.28822484	0	2.506036438	19.64903771	0
