Calc			ExtMarker		
t	x	y	t	x	y
0.00000000	33.59116054	0.00000000	0.00000000	23.83255807	0.00000000
0.05961252	33.59071362	0.00000000	0.05961252	23.83133059	0.00000000
0.11922504	33.59084585	0.00000000	0.11922504	23.83113509	0.00000000
0.17883756	33.59081323	0.00000000	0.17883756	23.83155459	0.00000000
0.23845007	33.59033951	0.00000000	0.23845007	23.83137583	0.00000000
0.29806259	33.59125987	0.00000000	0.29806259	23.83124018	0.00000000
0.35767511	33.59144248	0.00000000	0.35767511	23.83233778	0.00000000
0.41728763	33.59278070	0.00000000	0.41728763	23.83249652	0.00000000
0.47690015	33.59228917	0.00000000	0.47690015	23.83278337	0.00000000
0.53651267	33.59276398	0.00000000	0.53651267	23.83322546	0.00000000
0.59612519	33.59211316	0.00000000	0.59612519	23.83300622	0.00000000
0.65573770	33.58922488	0.00000000	0.65573770	23.83184511	0.00000000
0.71535022	33.58411583	0.00000000	0.71535022	23.83129442	0.00000000
0.77496274	33.57500427	0.00000000	0.77496274	23.82892788	0.00000000
0.83457526	33.57391709	0.00000000	0.83457526	23.82940478	0.00000000
0.89418778	33.57939911	0.00000000	0.89418778	23.83164488	0.00000000
0.95380030	33.58973079	0.00000000	0.95380030	23.83398078	0.00000000
1.01341282	33.59271562	0.00000000	1.01341282	23.83555411	0.00000000
1.07302534	33.59505250	0.00000000	1.07302534	23.83693888	0.00000000
1.13263785	33.60082826	0.00000000	1.13263785	23.83465156	0.00000000
1.19225037	33.60460810	0.00000000	1.19225037	23.83435898	0.00000000
1.25186289	33.62193965	0.00000000	1.25186289	23.83464362	0.00000000
1.31147541	33.64537603	0.00000000	1.31147541	23.83666755	0.00000000
1.37108793	33.67596270	0.00000000	1.37108793	23.83848682	0.00000000
1.43070045	33.65676609	0.00000000	1.43070045	23.83701303	0.00000000
1.49031297	33.65354692	0.00000000	1.49031297	23.83788124	0.00000000
1.54992548	33.65941439	0.00000000	1.54992548	23.83699334	0.00000000
1.60953800	33.66724646	0.00000000	1.60953800	23.83947925	0.00000000
1.66915052	33.66891382	0.00000000	1.66915052	23.83910518	0.00000000
1.72876304	33.67095490	0.00000000	1.72876304	23.84492651	0.00000000
1.78837556	33.68874395	0.00000000	1.78837556	23.84686582	0.00000000
1.84798808	33.67046390	0.00000000	1.84798808	23.84217153	0.00000000
1.90760060	33.66420471	0.00000000	1.90760060	23.84208289	0.00000000
1.96721312	33.66154408	0.00000000	1.96721312	23.83749221	0.00000000
2.02682563	33.66463168	0.00000000	2.02682563	23.83765196	0.00000000
2.08643815	33.66553485	0.00000000	2.08643815	23.84380778	0.00000000
2.14605067	33.66815652	0.00000000	2.14605067	23.84783118	0.00000000
2.20566319	33.67301343	0.00000000	2.20566319	23.84697964	0.00000000
2.26527571	33.68401888	0.00000000	2.26527571	23.85455393	0.00000000
2.32488823	33.77495137	0.00000000	2.32488823	23.88180222	0.00000000
2.38450075	33.83488577	0.00000000	2.38450075	23.94249808	0.00000000
2.44411326	33.86005446	0.00000000	2.44411326	23.96947717	0.00000000
2.50372578	33.90705368	0.00000000	2.50372578	23.97887354	0.00000000
2.56333830	33.91838410	0.00000000	2.56333830	23.98407621	0.00000000
2.62295082	33.92702958	0.00000000	2.62295082	23.98870389	0.00000000
2.68256334	33.96181712	0.00000000	2.68256334	23.98686983	0.00000000
2.74217586	33.99299809	0.00000000	2.74217586	24.00257949	0.00000000
2.80178838	34.01801361	0.00000000	2.80178838	24.01358954	0.00000000
2.86140089	34.04922950	0.00000000	2.86140089	24.01372990	0.00000000
2.92101341	34.06300258	0.00000000	2.92101341	24.00957952	0.00000000
2.98062593	34.07415786	0.00000000	2.98062593	24.00463298	0.00000000
3.04023845	34.10384433	0.00000000	3.04023845	24.00339989	0.00000000
3.09985097	34.11651496	0.00000000	3.09985097	24.00629324	0.00000000
3.15946349	34.12337831	0.00000000	3.15946349	24.00062276	0.00000000
3.21907601	34.13040896	0.00000000	3.21907601	23.99890353	0.00000000
3.27868853	34.13011451	0.00000000	3.27868853	23.99495812	0.00000000
3.33830104	34.14801427	0.00000000	3.33830104	24.00168640	0.00000000
3.39791356	34.19052231	0.00000000	3.39791356	24.00500859	0.00000000
3.45752608	34.22692367	0.00000000	3.45752608	24.00592222	0.00000000
3.51713860	34.27037788	0.00000000	3.51713860	24.00753728	0.00000000
3.57675112	34.28233411	0.00000000	3.57675112	24.00259273	0.00000000
3.63636364	34.26713253	0.00000000	3.63636364	23.99975596	0.00000000
3.69597616	34.25888643	0.00000000	3.69597616	23.99277893	0.00000000
3.75558867	34.25625467	0.00000000	3.75558867	23.98765820	0.00000000
3.81520119	34.25786667	0.00000000	3.81520119	23.98807507	0.00000000
3.87481371	34.25516251	0.00000000	3.87481371	23.98573551	0.00000000
3.93442623	34.25681553	0.00000000	3.93442623	23.98429514	0.00000000
3.99403875	34.25763527	0.00000000	3.99403875	23.98601190	0.00000000
4.05365127	34.25927297	0.00000000	4.05365127	23.98368080	0.00000000
4.11326379	34.25593009	0.00000000	4.11326379	23.98236881	0.00000000
4.17287630	34.25465901	0.00000000	4.17287630	23.98138643	0.00000000
4.23248882	34.25529637	0.00000000	4.23248882	23.98006659	0.00000000
4.29210134	34.25498643	0.00000000	4.29210134	23.98179286	0.00000000
4.35171386	34.25304671	0.00000000	4.35171386	23.98138962	0.00000000
4.41132638	34.25638447	0.00000000	4.41132638	23.98067492	0.00000000
4.47093890	34.25965637	0.00000000	4.47093890	23.98091128	0.00000000
4.53055142	34.26465519	0.00000000	4.53055142	23.98215092	0.00000000
4.59016393	34.25846807	0.00000000	4.59016393	23.97928752	0.00000000
