SOLfas			Ext		
t	x	y	t	x	y
0	12.87591213	-1.007299248	0	9.37226257	4.24817509
0.059612519	12.87470747	-1.006438843	0.059612519	9.363707675	4.246683431
0.119225037	12.86523211	-1.003967262	0.119225037	9.345055699	4.243903535
0.178837556	12.84991997	-1.002820207	0.178837556	9.332973664	4.244096566
0.238450075	12.83817405	-1.001446513	0.238450075	9.300563867	4.2450533
0.298062593	12.84108431	-1.001152914	0.298062593	9.282404038	4.244835729
0.357675112	12.8727236	-1.001534899	0.357675112	9.281451569	4.245689697
0.41728763	12.87474819	-1.002030256	0.41728763	9.267160961	4.245516695
0.476900149	12.88605861	-1.002334645	0.476900149	9.266456577	4.244930961
0.536512668	12.88501095	-1.002224488	0.536512668	9.285321697	4.245608328
0.596125186	12.90076176	-0.999746209	0.596125186	9.284006501	4.245577018
0.655737705	12.88788986	-1.000115554	0.655737705	9.280366461	4.24609998
0.715350224	12.88586157	-0.999968835	0.715350224	9.271591999	4.244140652
0.774962742	12.88353354	-0.999376092	0.774962742	9.278855433	4.242066444
0.834575261	12.88882078	-0.999699848	0.834575261	9.290056968	4.243444958
0.894187779	12.89621072	-0.99849491	0.894187779	9.294360563	4.243911907
0.953800298	12.89067107	-0.999652015	0.953800298	9.292764227	4.244463949
1.013412817	12.88589687	-1.000836855	1.013412817	9.293976098	4.244905472
1.073025335	12.89079284	-1.003113388	1.073025335	9.290662598	4.245716184
1.132637854	12.88962132	-1.007707836	1.132637854	9.28471573	4.246720414
1.192250373	12.89186902	-1.011174548	1.192250373	9.288311831	4.24793696
1.251862891	12.88096451	-1.009896137	1.251862891	9.288318163	4.247691617
1.31147541	12.86361795	-1.011515536	1.31147541	9.281221597	4.248652675
1.371087928	12.86142623	-1.011024131	1.371087928	9.285377441	4.248916172
1.430700447	12.86784113	-1.008971654	1.430700447	9.274771469	4.247959056
1.490312966	12.88715246	-1.007514999	1.490312966	9.273352761	4.246781
1.549925484	12.90909647	-1.007682801	1.549925484	9.276561388	4.24624045
1.609538003	12.90537151	-1.007169613	1.609538003	9.271521765	4.245543969
1.669150522	12.91333338	-1.007759733	1.669150522	9.272864689	4.246079199
1.72876304	12.92310012	-1.006541313	1.72876304	9.279708876	4.246901891
1.788375559	12.95398272	-1.007407661	1.788375559	9.278130747	4.24771861
1.847988077	12.96021783	-1.00657818	1.847988077	9.273699775	4.247712829
1.907600596	13.00873112	-1.007030797	1.907600596	9.283618159	4.247411738
1.967213115	13.05673788	-1.007749174	1.967213115	9.283182949	4.247010842
2.026825633	13.04774019	-1.006769774	2.026825633	9.281024655	4.247678762
2.086438152	13.06444334	-1.005705844	2.086438152	9.280914107	4.247820308
2.146050671	13.09513165	-1.008119776	2.146050671	9.27474727	4.247212596
2.205663189	13.09652124	-1.008934187	2.205663189	9.266214794	4.248058063
2.265275708	13.09648742	-1.008173547	2.265275708	9.254952505	4.247980788
2.324888227	13.09032686	-1.005033761	2.324888227	9.227029602	4.247972648
2.384500745	13.09148607	-1.004937288	2.384500745	9.220500177	4.247537427
2.444113264	13.09853381	-1.003586376	2.444113264	9.215992008	4.247050119
2.503725782	13.09840883	-1.003537706	2.503725782	9.20366317	4.246728506
2.563338301	13.09644121	-1.004060765	2.563338301	9.195329466	4.246886156
2.62295082	13.10965011	-1.005402599	2.62295082	9.188690464	4.246606772
2.682563338	13.12287989	-1.006183908	2.682563338	9.194433732	4.245699889
2.742175857	13.1363709	-1.00785346	2.742175857	9.19671693	4.246343507
2.801788376	13.18727185	-1.006644106	2.801788376	9.199537508	4.246965386
2.861400894	13.2188237	-1.005578919	2.861400894	9.20223963	4.246314373
2.921013413	13.25231267	-1.008389372	2.921013413	9.206872609	4.246552113
2.980625931	13.26806468	-1.01143139	2.980625931	9.207393767	4.24644634
3.04023845	13.26887003	-1.010799006	3.04023845	9.20871486	4.246820024
3.099850969	13.28545722	-1.012144075	3.099850969	9.205056717	4.246908129
3.159463487	13.286106	-1.011485262	3.159463487	9.204228454	4.247649288
3.219076006	13.3050978	-1.008764766	3.219076006	9.202104143	4.247367743
3.278688525	13.32057394	-1.008342009	3.278688525	9.198278113	4.248081233
3.338301043	13.34356564	-1.008834065	3.338301043	9.198646317	4.247838943
3.397913562	13.34432243	-1.006620474	3.397913562	9.196750209	4.246873094
3.45752608	13.34695311	-1.005673872	3.45752608	9.188725234	4.247791689
3.517138599	13.35422456	-1.006209441	3.517138599	9.187267782	4.248890252
3.576751118	13.40064752	-1.00398984	3.576751118	9.197603784	4.248687318
3.636363636	13.44323936	-1.00299006	3.636363636	9.200869668	4.247980394
3.695976155	13.44754989	-1.003142641	3.695976155	9.196636869	4.248147778
3.755588674	13.46098079	-1.00516733	3.755588674	9.191651024	4.248208348
3.815201192	13.48418044	-1.008307772	3.815201192	9.199273679	4.248250332
3.874813711	13.47870913	-1.006438487	3.874813711	9.2039262	4.248440859
3.93442623	13.47227523	-1.005641212	3.93442623	9.200873918	4.249593879
3.994038748	13.47601133	-1.006903377	3.994038748	9.20165939	4.249227196
4.053651267	13.4861159	-1.007399326	4.053651267	9.197350069	4.249490261
4.113263785	13.48215591	-1.006320309	4.113263785	9.192191234	4.248988676
4.172876304	13.4870001	-1.007079808	4.172876304	9.182341293	4.248194083
4.232488823	13.495319	-1.007314255	4.232488823	9.149052001	4.247484367
4.292101341	13.49918732	-1.007536904	4.292101341	9.127037905	4.248307001
4.35171386	13.49806915	-1.006747569	4.35171386	9.125620854	4.248101004
4.411326379	13.53361922	-1.005133781	4.411326379	9.12528324	4.247800916
4.470938897	13.56895417	-1.005505401	4.470938897	9.12914754	4.246974598
4.530551416	13.55422553	-1.005434043	4.530551416	9.120150673	4.246939781
4.590163934	13.55838472	-1.005238841	4.590163934	9.112406532	4.247162091
4.649776453	13.55730698	-1.005290914	4.649776453	9.111499595	4.246413807
4.709388972	13.55343575	-1.004616319	4.709388972	9.101938681	4.246866728
4.76900149	13.55570709	-1.004867542	4.76900149	9.082225588	4.245387861
4.828614009	13.5559515	-1.00469526	4.828614009	9.07124168	4.245094218
4.888226528	13.55805163	-1.004995171	4.888226528	9.059856224	4.244918961
4.947839046	13.55266395	-1.004625963	4.947839046	9.0441533	4.244234922
5.007451565	13.5564661	-1.005553919	5.007451565	9.044065284	4.244599188
5.067064083	13.55261163	-1.006912274	5.067064083	9.032563609	4.244018299
5.126676602	13.55651213	-1.006970236	5.126676602	8.997089893	4.244916882
5.186289121	13.5580956	-1.007386575	5.186289121	8.990405745	4.245279486
5.245901639	13.57068173	-1.008446507	5.245901639	8.987306843	4.244902721
5.305514158	13.56557308	-1.007456799	5.305514158	8.972821778	4.244583553
5.365126677	13.56552338	-1.006768061	5.365126677	8.977703077	4.244820324
5.424739195	13.56609433	-1.00541396	5.424739195	8.973042372	4.245781444
5.484351714	13.56159126	-1.003864899	5.484351714	8.96354274	4.245373429
5.543964232	13.55685178	-1.003851386	5.543964232	8.947941083	4.245205575
5.603576751	13.56048627	-1.004279701	5.603576751	8.914409643	4.243616423
5.66318927	13.55758053	-1.003931006	5.66318927	8.910131783	4.244163526
5.722801788	13.55301175	-1.00340385	5.722801788	8.8946633	4.244583758
5.782414307	13.54545103	-1.003377976	5.782414307	8.887153414	4.244621858
5.842026826	13.55050622	-1.004078435	5.842026826	8.871994874	4.246142937
