mass_B			mass_A		
t	x	y	t	x	y
2.2696896	36.1013999	0.0000000	2.2696896	13.2717016	0.0000000
2.2949083	36.1217334	0.0000000	2.2949083	13.2816062	0.0000000
2.3201271	36.1275257	0.0000000	2.3201271	13.2964525	0.0000000
2.3453459	36.1209495	0.0000000	2.3453459	13.3051725	0.0000000
2.3705646	36.1435949	0.0000000	2.3705646	13.3209771	0.0000000
2.3957834	36.1749796	0.0000000	2.3957834	13.3170689	0.0000000
2.4210022	36.1982002	0.0000000	2.4210022	13.3123142	0.0000000
2.4462210	36.2207097	0.0000000	2.4462210	13.3140545	0.0000000
2.4714397	36.2395057	0.0000000	2.4714397	13.3113306	0.0000000
2.4966585	36.2364593	0.0000000	2.4966585	13.3065576	0.0000000
2.5218773	36.2305816	0.0000000	2.5218773	13.3060323	0.0000000
2.5470961	36.2151532	0.0000000	2.5470961	13.3011971	0.0000000
2.5723148	36.1429417	0.0000000	2.5723148	13.2952943	0.0000000
2.5975336	36.1091853	0.0000000	2.5975336	13.2933456	0.0000000
2.6227524	36.1064159	0.0000000	2.6227524	13.2961312	0.0000000
2.6479712	36.1038454	0.0000000	2.6479712	13.2944486	0.0000000
2.6731899	36.0901574	0.0000000	2.6731899	13.2903032	0.0000000
2.6984087	36.0815960	0.0000000	2.6984087	13.2936944	0.0000000
2.7236275	36.0691663	0.0000000	2.7236275	13.2924134	0.0000000
2.7488462	36.0043807	0.0000000	2.7488462	13.2871836	0.0000000
2.7740650	35.9867504	0.0000000	2.7740650	13.2850593	0.0000000
2.7992838	35.9584489	0.0000000	2.7992838	13.2812998	0.0000000
2.8245026	35.9389394	0.0000000	2.8245026	13.2813368	0.0000000
2.8497213	35.9362455	0.0000000	2.8497213	13.2896686	0.0000000
2.8749401	35.9060859	0.0000000	2.8749401	13.2850882	0.0000000
2.9001589	35.8710352	0.0000000	2.9001589	13.2886124	0.0000000
2.9253777	35.8434162	0.0000000	2.9253777	13.2826680	0.0000000
2.9505964	35.8209225	0.0000000	2.9505964	13.2892488	0.0000000
2.9758152	35.8042300	0.0000000	2.9758152	13.2869980	0.0000000
3.0010340	35.7258804	0.0000000	3.0010340	13.2833098	0.0000000
3.0262527	35.7221710	0.0000000	3.0262527	13.2837263	0.0000000
3.0514715	35.6885889	0.0000000	3.0514715	13.2768414	0.0000000
3.0766903	35.6821435	0.0000000	3.0766903	13.2564989	0.0000000
3.1019091	35.6624623	0.0000000	3.1019091	13.2427238	0.0000000
3.1271278	35.5827181	0.0000000	3.1271278	13.2313193	0.0000000
3.1523466	35.5526749	0.0000000	3.1523466	13.2312553	0.0000000
3.1775654	35.5165744	0.0000000	3.1775654	13.2325031	0.0000000
3.2027842	35.5133483	0.0000000	3.2027842	13.2350856	0.0000000
3.2280029	35.4935494	0.0000000	3.2280029	13.2335920	0.0000000
3.2532217	35.4037227	0.0000000	3.2532217	13.2208824	0.0000000
3.2784405	35.3872920	0.0000000	3.2784405	13.2238016	0.0000000
3.3036592	35.3999998	0.0000000	3.3036592	13.2209425	0.0000000
3.3288780	35.3204051	0.0000000	3.3288780	13.1965558	0.0000000
3.3540968	35.2217536	0.0000000	3.3540968	13.1479320	0.0000000
3.3793156	35.1845644	0.0000000	3.3793156	13.1398626	0.0000000
3.4045343	35.1012245	0.0000000	3.4045343	13.1131971	0.0000000
