SOL fasc dist			Ext		
t	x	y	t	x	y
0	20.55951424	-2.482269057	0	8.165866419	2.68379697
0.059612519	20.57155858	-2.48952934	0.059612519	8.164516922	2.685499748
0.119225037	20.57446591	-2.492510785	0.119225037	8.147198216	2.688001341
0.178837556	20.57383697	-2.487404303	0.178837556	8.095578234	2.69045431
0.238450075	20.64233382	-2.476865448	0.238450075	8.035771829	2.690714689
0.298062593	20.677773	-2.470301153	0.298062593	7.996765356	2.692410496
0.357675112	20.69318357	-2.47257944	0.357675112	7.98741595	2.690993397
0.41728763	20.7186025	-2.470139083	0.41728763	7.976711393	2.689666534
0.476900149	20.74389089	-2.46087073	0.476900149	7.95061144	2.68918636
0.536512668	20.8217588	-2.459102629	0.536512668	7.937019727	2.688714845
0.596125186	20.84300255	-2.462262104	0.596125186	7.922215956	2.690801044
0.655737705	20.85402449	-2.465041109	0.655737705	7.91117792	2.691747117
0.715350224	20.84912358	-2.472828017	0.715350224	7.909945096	2.692121332
0.774962742	20.8660875	-2.478152969	0.774962742	7.868290786	2.694773012
0.834575261	20.85848888	-2.478573739	0.834575261	7.863495246	2.694657066
0.894187779	20.85775513	-2.478692945	0.894187779	7.855850175	2.694266688
0.953800298	20.85532343	-2.479671566	0.953800298	7.847147877	2.694063185
1.013412817	20.86012133	-2.479959345	1.013412817	7.846326583	2.694152666
1.073025335	20.92662699	-2.473077035	1.073025335	7.850613211	2.694759998
1.132637854	20.93910796	-2.472648739	1.132637854	7.854698256	2.694896476
1.192250373	20.93544071	-2.477873787	1.192250373	7.852788431	2.694195412
1.251862891	20.8878288	-2.482561914	1.251862891	7.854149032	2.69227995
1.31147541	20.83456489	-2.485870609	1.31147541	7.843579106	2.693690483
1.371087928	20.85655246	-2.493466569	1.371087928	7.851752413	2.690328559
1.430700447	20.8988729	-2.505977784	1.430700447	7.843418006	2.68733228
1.490312966	20.95360183	-2.497044694	1.490312966	7.828150049	2.685860089
1.549925484	20.95015169	-2.491050016	1.549925484	7.792650148	2.688816337
1.609538003	20.96431792	-2.488941399	1.609538003	7.802187436	2.687788267
1.669150522	20.99566854	-2.48820874	1.669150522	7.796168196	2.686706747
1.72876304	20.99383723	-2.486811727	1.72876304	7.790835101	2.682487222
1.788375559	21.01506691	-2.483204152	1.788375559	7.782946525	2.681367497
1.847988077	20.98256507	-2.485389584	1.847988077	7.779928162	2.677143196
1.907600596	21.00935359	-2.483316489	1.907600596	7.789002281	2.676779617
1.967213115	20.99722087	-2.480991557	1.967213115	7.776999881	2.669661556
2.026825633	20.96062409	-2.480656056	2.026825633	7.778799445	2.66357711
2.086438152	20.84057255	-2.478389841	2.086438152	7.776454372	2.666795326
2.146050671	20.82792598	-2.481575637	2.146050671	7.78101158	2.674427987
2.205663189	20.84987794	-2.482968317	2.205663189	7.77344151	2.680217803
2.265275708	20.88193923	-2.484152922	2.265275708	7.77551441	2.682641658
2.324888227	20.89679722	-2.484375486	2.324888227	7.762432947	2.685219443
2.384500745	20.97986481	-2.486507096	2.384500745	7.725040099	2.69268932
2.444113264	21.00454602	-2.487919774	2.444113264	7.709543356	2.693020474
2.503725782	21.00735983	-2.486685527	2.503725782	7.703841768	2.693055718
2.563338301	21.01768382	-2.488471337	2.563338301	7.685431216	2.694119822
2.62295082	21.09468582	-2.49509689	2.62295082	7.637422532	2.70007291
2.682563338	21.16454835	-2.502920292	2.682563338	7.598541361	2.705918282
2.742175857	21.18366728	-2.50071621	2.742175857	7.550418174	2.705340899
2.801788376	21.23544954	-2.495851373	2.801788376	7.529909018	2.704565124
2.861400894	21.22066986	-2.493192149	2.861400894	7.496875712	2.702344569
2.921013413	21.22834648	-2.492366962	2.921013413	7.486457681	2.700791247
2.980625931	21.241299	-2.493126623	2.980625931	7.473657265	2.70047501
3.04023845	21.27477894	-2.492738784	3.04023845	7.449081779	2.698563639
3.099850969	21.30586811	-2.493776899	3.099850969	7.430784151	2.698894684
3.159463487	21.29289876	-2.490720105	3.159463487	7.425959148	2.698993795
3.219076006	21.3057449	-2.490961576	3.219076006	7.421370389	2.699239729
3.278688525	21.30016764	-2.490093234	3.278688525	7.409733138	2.699550972
3.338301043	21.29694799	-2.48957059	3.338301043	7.400390992	2.70040154
3.397913562	21.30115055	-2.491253975	3.397913562	7.39333182	2.698896678
3.45752608	21.30041177	-2.492412105	3.45752608	7.34590644	2.702413952
3.517138599	21.32449064	-2.493157633	3.517138599	7.327507384	2.70664612
3.576751118	21.32924548	-2.493431147	3.576751118	7.318328836	2.706436614
3.636363636	21.33548507	-2.491958658	3.636363636	7.279557887	2.705706716
3.695976155	21.34560255	-2.489608833	3.695976155	7.263906311	2.702701481
3.755588674	21.38644633	-2.487979519	3.755588674	7.262903132	2.702020934
3.815201192	21.39248001	-2.48698444	3.815201192	7.247630698	2.699758038
3.874813711	21.39165018	-2.486026456	3.874813711	7.211646394	2.70157915
3.93442623	21.42253836	-2.488443717	3.93442623	7.205030037	2.701778459
3.994038748	21.46789313	-2.489569589	3.994038748	7.196505528	2.702678869
4.053651267	21.5003764	-2.492744334	4.053651267	7.190253014	2.70275131
4.113263785	21.51514731	-2.492166378	4.113263785	7.185692085	2.703629729
4.172876304	21.51156338	-2.492712099	4.172876304	7.171081811	2.701266876
4.232488823	21.51189133	-2.490471055	4.232488823	7.11980415	2.704044719
4.292101341	21.49849277	-2.487713849	4.292101341	7.091464629	2.702076766
4.35171386	21.49181185	-2.48562091	4.35171386	7.050469117	2.703805533
4.411326379	21.46069437	-2.476500212	4.411326379	7.008403277	2.703443772
4.470938897	21.4349909	-2.476794355	4.470938897	6.96917199	2.702537969
4.530551416	21.44236926	-2.480695655	4.530551416	6.948479211	2.701339117
4.590163934	21.4517966	-2.485538576	4.590163934	6.913229839	2.703748221
4.649776453	21.4616619	-2.491176939	4.649776453	6.88450781	2.705882064
4.709388972	21.47770894	-2.493238684	4.709388972	6.844244486	2.708846379
4.76900149	21.49711565	-2.49464464	4.76900149	6.805203769	2.707588429
4.828614009	21.50262505	-2.494772564	4.828614009	6.75990073	2.708818518
4.888226528	21.50720547	-2.493849897	4.888226528	6.73755638	2.708172754
4.947839046	21.52298734	-2.493249622	4.947839046	6.693741615	2.710525151
5.007451565	21.53290577	-2.4926627	5.007451565	6.650218484	2.710081126
5.067064083	21.52779689	-2.491028926	5.067064083	6.605183519	2.711004377
5.126676602	21.51810535	-2.491954256	5.126676602	6.56880488	2.712201501
5.186289121	21.53070753	-2.491375313	5.186289121	6.520941011	2.712078685
5.245901639	21.53941387	-2.492791383	5.245901639	6.466986532	2.71571798
5.305514158	21.51296074	-2.492227427	5.305514158	6.39313207	2.716194627
5.365126677	21.50405558	-2.491441878	5.365126677	6.328150266	2.716790742
5.424739195	21.50376809	-2.49347337	5.424739195	6.260978309	2.719549477
5.484351714	21.50039818	-2.494042783	5.484351714	6.191742068	2.721386981
5.543964232	21.49540017	-2.49441082	5.543964232	6.122366503	2.72293264
5.603576751	21.44049029	-2.489621842	5.603576751	6.04981264	2.722407572
5.66318927	21.43490032	-2.490971823	5.66318927	5.976478317	2.722972457
5.722801788	21.43670467	-2.491872083	5.722801788	5.91408297	2.723414315
5.782414307	21.43379458	-2.49345652	5.782414307	5.865323881	2.725271995
5.842026826	21.43801404	-2.49397933	5.842026826	5.823853093	2.726485084
5.901639344	21.43483552	-2.494715866	5.901639344	5.76824534	2.727809692
5.961251863	21.45758591	-2.492068308	5.961251863	5.725926362	2.729467278
6.020864382	21.45890015	-2.491489713	6.020864382	5.694866035	2.727979662
6.0804769	21.45966792	-2.489982704	6.0804769	5.645172621	2.72898162
6.140089419	21.44076559	-2.490697919	6.140089419	5.572095228	2.728917883
6.199701937	21.43192615	-2.491842016	6.199701937	5.516136126	2.732406203
6.259314456	21.43673253	-2.490419061	6.259314456	5.469991767	2.73187972
6.318926975	21.43774771	-2.49242031	6.318926975	5.414844666	2.731890884
6.378539493	21.44064846	-2.492951366	6.378539493	5.348335511	2.729631394
