Gfsup			Ext		
t	x	y	t	x	y
0	14.57564457	21.39549178	0	10.84498015	29.98652885
0.051934562	14.57142905	21.39516261	0.051934562	10.84447453	29.98554942
0.103869125	14.5681164	21.39519755	0.103869125	10.84426298	29.9853959
0.155803687	14.56674292	21.39496583	0.155803687	10.84303211	29.98537079
0.20773825	14.56936771	21.39581328	0.20773825	10.84349447	29.98497812
0.259672812	14.56943457	21.39622097	0.259672812	10.84144219	29.9852587
0.311607375	14.56269595	21.39635385	0.311607375	10.84100783	29.98536441
0.363541937	14.57416959	21.39672335	0.363541937	10.84215077	29.98533789
0.4154765	14.57351676	21.39680998	0.4154765	10.84209376	29.98530562
0.467411062	14.55126337	21.39666276	0.467411062	10.84190715	29.98530501
0.519345625	14.5461317	21.39643034	0.519345625	10.83596959	29.98490634
0.571280187	14.56676226	21.39694198	0.571280187	10.83778556	29.98498155
0.623214749	14.58046077	21.39664523	0.623214749	10.83709498	29.9850927
0.675149312	14.5773731	21.39693937	0.675149312	10.83832658	29.98541063
0.727083874	14.57976471	21.39703169	0.727083874	10.83894638	29.98511777
0.779018437	14.57925574	21.39721839	0.779018437	10.83912763	29.9854167
0.830952999	14.57247286	21.39743201	0.830952999	10.83618967	29.98527182
0.882887562	14.55225779	21.39763963	0.882887562	10.83261891	29.98527874
0.934822124	14.56234411	21.39752048	0.934822124	10.83004631	29.98563791
0.986756687	14.56760676	21.39697579	0.986756687	10.8277942	29.98562161
1.038691249	14.57217062	21.39726436	1.038691249	10.82971649	29.98580607
1.090625811	14.56787286	21.39676115	1.090625811	10.82487321	29.98588526
1.142560374	14.56151832	21.3962152	1.142560374	10.82610945	29.98645223
1.194494936	14.55760563	21.39601498	1.194494936	10.81541512	29.98697556
1.246429499	14.54187859	21.39538951	1.246429499	10.81523545	29.98841887
1.298364061	14.54997962	21.39570456	1.298364061	10.82109103	29.9880454
1.350298624	14.5788477	21.39663498	1.350298624	10.82160894	29.98829068
1.402233186	14.59880508	21.39800716	1.402233186	10.82711423	29.98769651
1.454167749	14.62726396	21.39894172	1.454167749	10.83148678	29.98735485
1.506102311	14.60460028	21.39872426	1.506102311	10.83550892	29.98689247
1.558036874	14.58080474	21.39859068	1.558036874	10.83556421	29.98668421
1.609971436	14.56293738	21.39859614	1.609971436	10.83212583	29.98665653
1.661905998	14.56512982	21.3989025	1.661905998	10.83415595	29.98677246
1.713840561	14.61747723	21.40164338	1.713840561	10.83639589	29.98651292
1.765775123	14.61656477	21.40220663	1.765775123	10.8384378	29.98643305
1.817709686	14.6292751	21.4040292	1.817709686	10.83966533	29.98634638
1.869644248	14.62325368	21.40100572	1.869644248	10.83863311	29.98576799
1.921578811	14.65618395	21.39996626	1.921578811	10.84013544	29.98602257
1.973513373	14.75170335	21.39667663	1.973513373	10.84089722	29.9859153
2.025447936	14.78391732	21.39601542	2.025447936	10.8409107	29.98568894
2.077382498	14.80486318	21.39518905	2.077382498	10.84190789	29.98577664
2.129317061	14.83821622	21.39534359	2.129317061	10.84370704	29.98569324
2.181251623	14.84314576	21.39352749	2.181251623	10.8430507	29.98590368
2.233186185	14.83561528	21.39335994	2.233186185	10.84237215	29.98559985
2.285120748	14.82544523	21.39379828	2.285120748	10.84233711	29.9857042
2.33705531	14.81505974	21.39282537	2.33705531	10.84321234	29.98576284
2.388989873	14.81229311	21.39277344	2.388989873	10.8424879	29.98569866
2.440924435	14.81856954	21.39393936	2.440924435	10.84216463	29.98581464
2.492858998	14.79787349	21.39411901	2.492858998	10.84119769	29.98561629
2.54479356	14.78594506	21.39393847	2.54479356	10.84076733	29.98579297
2.596728123	14.76926694	21.39559796	2.596728123	10.84017321	29.98575382
2.648662685	14.78600183	21.39519871	2.648662685	10.84142319	29.98561552
2.700597247	14.77757871	21.39462396	2.700597247	10.84080729	29.98587875
2.75253181	14.77536276	21.39384461	2.75253181	10.83966168	29.98565273
2.804466372	14.78742492	21.39431971	2.804466372	10.83913715	29.98601254
2.856400935	14.79086512	21.39603298	2.856400935	10.83913119	29.98566734
2.908335497	14.7988355	21.397601	2.908335497	10.83931749	29.98579796
2.96027006	14.80450425	21.39905522	2.96027006	10.83960487	29.98577146
3.012204622	14.81043596	21.3980131	3.012204622	10.83948802	29.98560891
3.064139185	14.80334108	21.39666351	3.064139185	10.8398706	29.9856026
3.116073747	14.7996221	21.39671386	3.116073747	10.84105293	29.98559829
3.16800831	14.80715798	21.39922862	3.16800831	10.84219009	29.98570949
3.219942872	14.78419091	21.39967605	3.219942872	10.83952446	29.98564919
3.271877434	14.7920309	21.39961105	3.271877434	10.83903979	29.98573359
3.323811997	14.79738147	21.39972294	3.323811997	10.83667207	29.98535617
3.375746559	14.78618421	21.39796726	3.375746559	10.83581851	29.98523898
3.427681122	14.77788408	21.39731881	3.427681122	10.83517757	29.98515828
3.479615684	14.77731097	21.39607367	3.479615684	10.83295827	29.98551742
3.531550247	14.78309417	21.39509483	3.531550247	10.83101075	29.98546592
3.583484809	14.78210993	21.39388797	3.583484809	10.82982997	29.98528206
3.635419372	14.80503334	21.39329917	3.635419372	10.8311546	29.98546118
3.687353934	14.81815536	21.39141123	3.687353934	10.8322335	29.985522
3.739288496	14.82447119	21.39234109	3.739288496	10.83239998	29.98549508
3.791223059	14.80658592	21.39171222	3.791223059	10.83392507	29.98541912
3.843157621	14.81238659	21.39354975	3.843157621	10.83336869	29.98550479
3.895092184	14.81169415	21.39308663	3.895092184	10.83162869	29.98525084
3.947026746	14.79566144	21.39243302	3.947026746	10.83101998	29.98519805
3.998961309	14.80196301	21.39328872	3.998961309	10.83018075	29.98535159
4.050895871	14.80142742	21.39362963	4.050895871	10.8314618	29.98519368
4.102830434	14.78876362	21.39272685	4.102830434	10.83271992	29.9852899
4.154764996	14.75703283	21.39258991	4.154764996	10.83118944	29.98513647
4.206699559	14.77870761	21.39278646	4.206699559	10.82692438	29.98521957
4.258634121	14.76600742	21.39372709	4.258634121	10.82495691	29.98515722
4.310568683	14.79181209	21.39616813	4.310568683	10.83061981	29.98523192
4.362503246	14.78782353	21.3933912	4.362503246	10.82803634	29.98513644
4.414437808	14.80499904	21.39661631	4.414437808	10.82948874	29.9849753
4.466372371	14.79677876	21.39545447	4.466372371	10.83345245	29.98507086
4.518306933	14.80041117	21.39541055	4.518306933	10.83166897	29.9849604
4.570241496	14.82990395	21.3965146	4.570241496	10.83407968	29.98487467
4.622176058	14.81808906	21.39523562	4.622176058	10.83516697	29.98530517
4.674110621	14.8178287	21.39509486	4.674110621	10.83664398	29.98537413
4.726045183	14.81481016	21.39496298	4.726045183	10.83586838	29.98545555
4.777979746	14.82876485	21.39484015	4.777979746	10.83760017	29.98542734
4.829914308	14.83978251	21.39464403	4.829914308	10.83895882	29.98547368
4.88184887	14.83343195	21.39434409	4.88184887	10.83951581	29.9853732
4.933783433	14.8272663	21.39440271	4.933783433	10.83972709	29.9855877
4.985717995	14.81249194	21.39617828	4.985717995	10.83975304	29.98544398
5.037652558	14.81928193	21.39573201	5.037652558	10.83913196	29.98547507
5.08958712	14.81200245	21.3976305	5.08958712	10.84047127	29.98545721
5.141521683	14.8212881	21.39771207	5.141521683	10.8416881	29.98548779
5.193456245	14.81139277	21.40125059	5.193456245	10.84100227	29.98548571
5.245390808	14.79908714	21.40443211	5.245390808	10.84047562	29.98529545
5.29732537	14.77860955	21.4059991	5.29732537	10.84110529	29.98525884
5.349259932	14.76401223	21.40479372	5.349259932	10.83991608	29.98510313
5.401194495	14.76434344	21.40278639	5.401194495	10.83845922	29.98514279
5.453129057	14.79054998	21.40096624	5.453129057	10.83645538	29.98516116
5.50506362	14.80752783	21.39757435	5.50506362	10.83813776	29.985017
5.556998182	14.80334326	21.39197787	5.556998182	10.83780352	29.98476906
5.608932745	14.82110103	21.3908999	5.608932745	10.83847145	29.98479243
5.660867307	14.8291431	21.39178263	5.660867307	10.84020446	29.98507682
5.71280187	14.81008603	21.39441601	5.71280187	10.84017681	29.98505667
5.764736432	14.7720541	21.39539623	5.764736432	10.83936	29.9852872
5.816670995	14.7655761	21.39396079	5.816670995	10.83918854	29.98521676
5.868605557	14.77492968	21.39443231	5.868605557	10.83954477	29.98540911
5.920540119	14.79387547	21.39578668	5.920540119	10.84028162	29.98541548
5.972474682	14.81534979	21.39553365	5.972474682	10.84035797	29.98548265
6.024409244	14.82981491	21.39276555	6.024409244	10.84029315	29.98556041
6.076343807	14.81337706	21.38882364	6.076343807	10.83966365	29.98551351
6.128278369	14.79477896	21.38559662	6.128278369	10.83950693	29.98566652
6.180212932	14.79630713	21.38545777	6.180212932	10.83881089	29.98584662
6.232147494	14.78509713	21.38785417	6.232147494	10.83671653	29.98574745
6.284082057	14.79078219	21.38698574	6.284082057	10.83740852	29.98570231
6.336016619	14.79424229	21.38831125	6.336016619	10.83714676	29.98597204
6.387951182	14.79281952	21.3887122	6.387951182	10.83776287	29.98604031
6.439885744	14.79167376	21.38965068	6.439885744	10.83564539	29.98616057
6.491820306	14.79781919	21.39173059	6.491820306	10.83574216	29.98602398
6.543754869	14.79932806	21.39220146	6.543754869	10.83642671	29.98587591
