Trial 3			Trial 3	Marker	
t	x	y	t	x	y
3.157	30.010	0.000	3.157	16.029	0.000
3.180	29.994	0.000	3.180	16.032	0.000
3.203	29.976	0.000	3.203	16.031	0.000
3.226	29.972	0.000	3.226	16.032	0.000
3.249	29.970	0.000	3.249	16.032	0.000
3.272	29.967	0.000	3.272	16.033	0.000
3.296	29.965	0.000	3.296	16.033	0.000
3.319	29.965	0.000	3.319	16.032	0.000
3.342	29.970	0.000	3.342	16.032	0.000
3.365	29.983	0.000	3.365	16.033	0.000
3.388	29.981	0.000	3.388	16.032	0.000
3.411	29.980	0.000	3.411	16.031	0.000
3.434	29.977	0.000	3.434	16.031	0.000
3.457	29.976	0.000	3.457	16.029	0.000
3.480	29.967	0.000	3.480	16.027	0.000
3.503	29.963	0.000	3.503	16.026	0.000
3.526	29.965	0.000	3.526	16.026	0.000
3.549	29.963	0.000	3.549	16.026	0.000
3.572	29.957	0.000	3.572	16.025	0.000
3.595	29.950	0.000	3.595	16.024	0.000
3.618	29.954	0.000	3.618	16.026	0.000
3.641	29.958	0.000	3.641	16.025	0.000
3.664	29.961	0.000	3.664	16.027	0.000
3.687	29.960	0.000	3.687	16.028	0.000
3.710	29.958	0.000	3.710	16.028	0.000
3.733	29.959	0.000	3.733	16.028	0.000
3.756	29.966	0.000	3.756	16.030	0.000
3.779	29.964	0.000	3.779	16.030	0.000
3.803	29.957	0.000	3.803	16.031	0.000
3.826	29.955	0.000	3.826	16.030	0.000
3.849	29.956	0.000	3.849	16.029	0.000
3.872	29.953	0.000	3.872	16.031	0.000
3.895	29.942	0.000	3.895	16.031	0.000
3.918	29.945	0.000	3.918	16.029	0.000
3.941	29.955	0.000	3.941	16.031	0.000
3.964	29.950	0.000	3.964	16.028	0.000
3.987	29.947	0.000	3.987	16.029	0.000
4.010	29.941	0.000	4.010	16.028	0.000
4.033	29.938	0.000	4.033	16.028	0.000
4.056	29.929	0.000	4.056	16.029	0.000
4.079	29.922	0.000	4.079	16.029	0.000
4.102	29.903	0.000	4.102	16.028	0.000
4.125	29.881	0.000	4.125	16.028	0.000
4.148	29.872	0.000	4.148	16.027	0.000
4.171	29.856	0.000	4.171	16.026	0.000
4.194	29.869	0.000	4.194	16.026	0.000
4.217	29.864	0.000	4.217	16.027	0.000
4.240	29.860	0.000	4.240	16.027	0.000
4.263	29.877	0.000	4.263	16.027	0.000
4.287	29.880	0.000	4.287	16.027	0.000
4.310	29.833	0.000	4.310	16.027	0.000
4.333	29.809	0.000	4.333	16.027	0.000
4.356	29.812	0.000	4.356	16.027	0.000
4.379	29.811	0.000	4.379	16.027	0.000
4.402	29.805	0.000	4.402	16.027	0.000
4.425	29.761	0.000	4.425	16.025	0.000
4.448	29.747	0.000	4.448	16.026	0.000
4.471	29.733	0.000	4.471	16.026	0.000
4.494	29.733	0.000	4.494	16.027	0.000
4.517	29.730	0.000	4.517	16.026	0.000
4.540	29.724	0.000	4.540	16.028	0.000
4.563	29.674	0.000	4.563	16.027	0.000
4.586	29.620	0.000	4.586	16.027	0.000
4.609	29.582	0.000	4.609	16.026	0.000
4.632	29.506	0.000	4.632	16.027	0.000
4.655	29.450	0.000	4.655	16.027	0.000
4.678	29.425	0.000	4.678	16.027	0.000
4.701	29.426	0.000	4.701	16.028	0.000
4.724	29.377	0.000	4.724	16.028	0.000
4.747	29.362	0.000	4.747	16.029	0.000
4.770	29.372	0.000	4.770	16.027	0.000
4.794	29.394	0.000	4.794	16.029	0.000
4.817	29.407	0.000	4.817	16.029	0.000
4.840	29.392	0.000	4.840	16.030	0.000
4.863	29.378	0.000	4.863	16.029	0.000
4.886	29.369	0.000	4.886	16.029	0.000
4.909	29.369	0.000	4.909	16.032	0.000
4.932	29.370	0.000	4.932	16.032	0.000
4.955	29.355	0.000	4.955	16.033	0.000
4.978	29.347	0.000	4.978	16.032	0.000
5.001	29.383	0.000	5.001	16.036	0.000
5.024	29.388	0.000	5.024	16.036	0.000
5.047	29.393	0.000	5.047	16.031	0.000
5.070	29.411	0.000	5.070	16.027	0.000
5.093	29.434	0.000	5.093	16.028	0.000
5.116	29.448	0.000	5.116	16.030	0.000
5.139	29.440	0.000	5.139	16.030	0.000
5.162	29.410	0.000	5.162	16.030	0.000
5.185	29.467	0.000	5.185	16.031	0.000
