mass_B			mass_B		
t	x	y	t	x	y
0	28.53092549	0	0	16.60189909	0
0.02389886	28.53039175	0	0.02389886	16.60224862	0
0.04779772	28.52993251	0	0.04779772	16.60324247	0
0.07169658	28.52996113	0	0.07169658	16.60232493	0
0.09559544	28.53024968	0	0.09559544	16.6021074	0
0.1194943	28.53087882	0	0.1194943	16.6027373	0
0.14339316	28.53065921	0	0.14339316	16.60274718	0
0.16729202	28.53025021	0	0.16729202	16.60310767	0
0.19119088	28.53009691	0	0.19119088	16.6023672	0
0.21508974	28.53017346	0	0.21508974	16.60332266	0
0.2389886	28.53009134	0	0.2389886	16.6035679	0
0.26288746	28.53033191	0	0.26288746	16.60261905	0
0.28678632	28.53011944	0	0.28678632	16.60214222	0
0.31068518	28.53063315	0	0.31068518	16.60245561	0
0.33458404	28.53063734	0	0.33458404	16.6023758	0
0.3584829	28.53055941	0	0.3584829	16.60207345	0
0.38238176	28.53067362	0	0.38238176	16.60169953	0
0.40628062	28.5305758	0	0.40628062	16.60239916	0
0.43017948	28.53083301	0	0.43017948	16.60244775	0
0.454078341	28.5307803	0	0.454078341	16.60257786	0
0.477977201	28.53135312	0	0.477977201	16.60227632	0
0.501876061	28.53071771	0	0.501876061	16.60249035	0
0.525774921	28.53095766	0	0.525774921	16.60294432	0
0.549673781	28.53105788	0	0.549673781	16.602533	0
0.573572641	28.53095122	0	0.573572641	16.60217548	0
0.597471501	28.53084627	0	0.597471501	16.60240543	0
0.621370361	28.53104736	0	0.621370361	16.60275801	0
0.645269221	28.5313341	0	0.645269221	16.60279195	0
0.669168081	28.53096622	0	0.669168081	16.60308188	0
0.693066941	28.5311801	0	0.693066941	16.60293386	0
0.716965801	28.53095188	0	0.716965801	16.60230073	0
0.740864661	28.53105969	0	0.740864661	16.60320503	0
0.764763521	28.53090366	0	0.764763521	16.60268249	0
0.788662381	28.53077784	0	0.788662381	16.60230429	0
0.812561241	28.53094815	0	0.812561241	16.60303871	0
0.836460101	28.53050839	0	0.836460101	16.60254465	0
0.860358961	28.53044713	0	0.860358961	16.60259886	0
0.884257821	28.52985503	0	0.884257821	16.60309368	0
0.908156681	28.53089602	0	0.908156681	16.60223372	0
0.932055541	28.53005755	0	0.932055541	16.60260089	0
0.955954401	28.53071624	0	0.955954401	16.60232194	0
0.979853261	28.5305705	0	0.979853261	16.60284135	0
1.003752121	28.53094719	0	1.003752121	16.60285944	0
1.027650981	28.53110405	0	1.027650981	16.60282431	0
1.051549841	28.53111907	0	1.051549841	16.60274233	0
1.075448701	28.53088398	0	1.075448701	16.60273327	0
1.099347561	28.53114347	0	1.099347561	16.60326138	0
1.123246421	28.53097272	0	1.123246421	16.60249253	0
1.147145281	28.53151584	0	1.147145281	16.60307736	0
1.171044141	28.53163788	0	1.171044141	16.60328323	0
1.194943001	28.53125585	0	1.194943001	16.60282094	0
1.218841861	28.53143832	0	1.218841861	16.60274708	0
1.242740721	28.53191118	0	1.242740721	16.60347044	0
1.266639581	28.53136103	0	1.266639581	16.60334272	0
1.290538441	28.53153475	0	1.290538441	16.60308654	0
1.314437301	28.53172264	0	1.314437301	16.60262765	0
1.338336161	28.53212498	0	1.338336161	16.60342812	0
1.362235021	28.53154224	0	1.362235021	16.6034661	0
1.386133881	28.531767	0	1.386133881	16.60328421	0
1.410032741	28.53193337	0	1.410032741	16.60306814	0
1.433931601	28.53216335	0	1.433931601	16.60324794	0
1.457830461	28.53181794	0	1.457830461	16.60357104	0
1.481729322	28.53069123	0	1.481729322	16.60402864	0
1.505628182	28.5319423	0	1.505628182	16.60329694	0
