mass_B			ExtMarker		
t	x	y	t	x	y
1.906242481	27.32907401	0	1.906242481	42.12298789	0
1.92474969	27.24039493	0	1.92474969	42.12177021	0
1.943256899	26.95577762	0	1.943256899	42.12087251	0
1.961764107	26.88323791	0	1.961764107	42.11993735	0
1.980271316	26.73526932	0	1.980271316	42.11968384	0
1.998778524	26.6039818	0	1.998778524	42.12045661	0
2.017285733	26.40361398	0	2.017285733	42.12147337	0
2.035792941	26.23697762	0	2.035792941	42.1206608	0
2.05430015	26.09786849	0	2.05430015	42.11962463	0
2.072807358	26.050659	0	2.072807358	42.12050346	0
2.091314567	25.9740181	0	2.091314567	42.12055917	0
2.109821776	25.92081323	0	2.109821776	42.12005788	0
2.128328984	25.88098677	0	2.128328984	42.12155538	0
2.146836193	25.83961082	0	2.146836193	42.12247312	0
2.165343401	25.74701135	0	2.165343401	42.1208745	0
2.18385061	25.64033131	0	2.18385061	42.12101352	0
2.202357818	25.52088343	0	2.202357818	42.12175089	0
2.220865027	25.47636322	0	2.220865027	42.12202799	0
2.239372235	25.36242274	0	2.239372235	42.12136845	0
2.257879444	25.22876532	0	2.257879444	42.12168632	0
2.276386653	25.12147124	0	2.276386653	42.12134314	0
2.294893861	25.00857566	0	2.294893861	42.1204081	0
2.31340107	24.98435723	0	2.31340107	42.12007001	0
2.331908278	24.9178315	0	2.331908278	42.12065035	0
2.350415487	24.86364288	0	2.350415487	42.1208353	0
2.368922695	24.81348299	0	2.368922695	42.1211513	0
2.387429904	24.79297212	0	2.387429904	42.12158162	0
2.405937113	24.71386061	0	2.405937113	42.12128232	0
2.424444321	24.63001629	0	2.424444321	42.12110373	0
2.44295153	24.55881241	0	2.44295153	42.12115261	0
2.461458738	24.49764365	0	2.461458738	42.12112489	0
2.479965947	24.48394539	0	2.479965947	42.12119078	0
2.498473155	24.43229168	0	2.498473155	42.12153014	0
2.516980364	24.31403623	0	2.516980364	42.12082344	0
2.535487572	24.30059833	0	2.535487572	42.12130939	0
2.553994781	24.16755713	0	2.553994781	42.12176191	0
2.57250199	24.11905014	0	2.57250199	42.12234703	0
2.591009198	24.00453749	0	2.591009198	42.12197663	0
2.609516407	23.85180243	0	2.609516407	42.12180761	0
2.628023615	23.72627471	0	2.628023615	42.12207372	0
2.646530824	23.67392895	0	2.646530824	42.12273354	0
2.665038032	23.6485703	0	2.665038032	42.12299347	0
2.683545241	23.56719938	0	2.683545241	42.122872	0
2.702052449	23.54044997	0	2.702052449	42.12379564	0
2.720559658	23.54064398	0	2.720559658	42.12474526	0
2.739066867	23.53944071	0	2.739066867	42.1241406	0
2.757574075	23.52543183	0	2.757574075	42.12354259	0
2.776081284	23.48819818	0	2.776081284	42.12442614	0
2.794588492	23.38402913	0	2.794588492	42.12346309	0
2.813095701	23.31423227	0	2.813095701	42.12375352	0
2.831602909	23.26607054	0	2.831602909	42.12448966	0
2.850110118	23.21727494	0	2.850110118	42.12493189	0
2.868617326	23.13544257	0	2.868617326	42.12327588	0
2.887124535	23.10110439	0	2.887124535	42.12311034	0
2.905631744	22.98492952	0	2.905631744	42.12367238	0
2.924138952	22.91925524	0	2.924138952	42.12370405	0
2.942646161	22.86411291	0	2.942646161	42.12277138	0
2.961153369	22.82086504	0	2.961153369	42.12361005	0
2.979660578	22.79065205	0	2.979660578	42.1240774	0
2.998167786	22.74748329	0	2.998167786	42.12338077	0
3.016674995	22.6809028	0	3.016674995	42.12397518	0
3.035182203	22.63270217	0	3.035182203	42.12409589	0
3.053689412	22.60773136	0	3.053689412	42.12334936	0
3.072196621	22.5843547	0	3.072196621	42.12338848	0
3.090703829	22.54408053	0	3.090703829	42.12357048	0
3.109211038	22.47693439	0	3.109211038	42.12357768	0
3.127718246	22.39457705	0	3.127718246	42.1212782	0
3.146225455	22.29888006	0	3.146225455	42.12127956	0
3.164732663	22.25985764	0	3.164732663	42.12052985	0
3.183239872	22.18242745	0	3.183239872	42.11889643	0
3.20174708	22.11085467	0	3.20174708	42.11942444	0
3.220254289	22.01772427	0	3.220254289	42.11917503	0
3.238761498	21.98594695	0	3.238761498	42.11857033	0
3.257268706	21.91431015	0	3.257268706	42.12043328	0
3.275775915	21.82671473	0	3.275775915	42.11840568	0
3.294283123	21.72804023	0	3.294283123	42.1210661	0
3.312790332	21.6120615	0	3.312790332	42.11956935	0
3.33129754	21.57922175	0	3.33129754	42.11968763	0
3.349804749	21.5028829	0	3.349804749	42.11898113	0
3.368311958	21.42062567	0	3.368311958	42.11925116	0
3.386819166	21.36926093	0	3.386819166	42.119613	0
3.405326375	21.36924181	0	3.405326375	42.1190522	0
3.423833583	21.32297804	0	3.423833583	42.11991104	0
3.442340792	21.27586387	0	3.442340792	42.11860586	0
3.460848	21.23363195	0	3.460848	42.12010135	0
3.479355209	21.16748934	0	3.479355209	42.12069691	0
3.497862417	21.15293891	0	3.497862417	42.1214745	0
3.516369626	21.09989993	0	3.516369626	42.11986993	0
3.534876835	21.09100752	0	3.534876835	42.12195739	0
3.553384043	21.12356495	0	3.553384043	42.12348339	0
3.571891252	21.09746328	0	3.571891252	42.12247635	0
3.59039846	21.04073354	0	3.59039846	42.12109798	0
3.608905669	21.0159371	0	3.608905669	42.122745	0
3.627412877	20.96995181	0	3.627412877	42.12192121	0
3.645920086	20.93007457	0	3.645920086	42.1196018	0
3.664427294	20.87515126	0	3.664427294	42.1217048	0
3.682934503	20.83300536	0	3.682934503	42.12186983	0
3.701441712	20.70261334	0	3.701441712	42.12010647	0
3.71994892	20.5399496	0	3.71994892	42.11925617	0
3.738456129	20.4338632	0	3.738456129	42.1182297	0
3.756963337	20.37105341	0	3.756963337	42.11996671	0
3.775470546	20.15354987	0	3.775470546	42.1194122	0
3.793977754	20.09196703	0	3.793977754	42.11978975	0
3.812484963	19.86068716	0	3.812484963	42.11549485	0
3.830992171	19.63204732	0	3.830992171	42.11210405	0
3.84949938	19.55766281	0	3.84949938	42.1148911	0
3.868006589	19.46952624	0	3.868006589	42.11169686	0
3.886513797	19.33072452	0	3.886513797	42.10503609	0
3.905021006	19.17246311	0	3.905021006	42.10732431	0
3.923528214	19.06569719	0	3.923528214	42.10930824	0
3.942035423	19.0074529	0	3.942035423	42.11162369	0
3.960542631	18.88563592	0	3.960542631	42.11108103	0
3.97904984	18.84220036	0	3.97904984	42.11571695	0
3.997557048	18.83492079	0	3.997557048	42.1132909	0
4.016064257	18.67883653	0	4.016064257	42.11878579	0
4.034571466	18.51466701	0	4.034571466	42.11694716	0
4.053078674	18.41863695	0	4.053078674	42.11722214	0
4.071585883	18.25417248	0	4.071585883	42.11980383	0
4.090093091	18.1306578	0	4.090093091	42.12031736	0
4.1086003	18.13348121	0	4.1086003	42.11931646	0
4.127107508	17.98855339	0	4.127107508	42.11680474	0
4.145614717	17.82592064	0	4.145614717	42.11466173	0
4.164121925	17.7435759	0	4.164121925	42.11551016	0
4.182629134	17.60206194	0	4.182629134	42.11343241	0
4.201136343	17.54885774	0	4.201136343	42.10767207	0
4.219643551	17.37766168	0	4.219643551	42.10056519	0
4.23815076	17.32908051	0	4.23815076	42.10391346	0
4.256657968	17.20609589	0	4.256657968	42.10338314	0
4.275165177	17.05019275	0	4.275165177	42.10441797	0
4.293672385	17.01397865	0	4.293672385	42.10462242	0
4.312179594	16.8976203	0	4.312179594	42.10754638	0
4.330686803	16.64078393	0	4.330686803	42.10577199	0
4.349194011	16.36171404	0	4.349194011	42.10872875	0
4.36770122	16.22353549	0	4.36770122	42.10182775	0
4.386208428	15.85985459	0	4.386208428	42.10410221	0
4.404715637	15.69080917	0	4.404715637	42.11290832	0
4.423222845	15.54283971	0	4.423222845	42.09539054	0
4.441730054	15.26917814	0	4.441730054	42.06224	0
4.460237262	15.07854766	0	4.460237262	42.04169869	0
4.478744471	14.86560532	0	4.478744471	42.04071528	0
4.49725168	14.77517208	0	4.49725168	42.04785763	0
4.515758888	14.59332477	0	4.515758888	42.04642438	0
4.534266097	14.59003082	0	4.534266097	42.04993303	0
4.552773305	14.42156922	0	4.552773305	42.05574906	0
4.571280514	14.24850296	0	4.571280514	42.05635211	0
4.589787722	14.09270779	0	4.589787722	42.05250614	0
4.608294931	13.98957178	0	4.608294931	42.05623373	0
4.626802139	13.9927594	0	4.626802139	42.05325153	0
4.645309348	13.86384576	0	4.645309348	42.04851134	0
4.663816557	13.69576749	0	4.663816557	42.0516423	0
4.682323765	13.63655819	0	4.682323765	42.05810631	0
4.700830974	13.46425774	0	4.700830974	42.05938706	0
4.719338182	13.52373135	0	4.719338182	42.05324073	0
4.737845391	13.38231887	0	4.737845391	42.06261879	0
4.756352599	13.33329536	0	4.756352599	42.06591065	0
4.774859808	13.20007098	0	4.774859808	42.06787404	0
4.793367016	13.07286834	0	4.793367016	42.06912203	0
4.811874225	12.9694624	0	4.811874225	42.0693104	0
4.830381434	12.89810989	0	4.830381434	42.06556076	0
4.848888642	12.89053222	0	4.848888642	42.06872512	0
4.867395851	12.92272897	0	4.867395851	42.07412431	0
4.885903059	13.05052507	0	4.885903059	42.07962521	0
4.904410268	13.08378871	0	4.904410268	42.07980647	0
4.922917476	13.0728546	0	4.922917476	42.08361031	0
4.941424685	12.97838509	0	4.941424685	42.08397526	0
4.959931893	12.88947762	0	4.959931893	42.0811114	0
4.978439102	12.79826225	0	4.978439102	42.08345921	0
4.996946311	12.73901289	0	4.996946311	42.08395829	0
5.015453519	12.68420394	0	5.015453519	42.08497052	0
5.033960728	12.61399482	0	5.033960728	42.08550316	0
5.052467936	12.56698154	0	5.052467936	42.0852457	0
5.070975145	12.4684427	0	5.070975145	42.08554617	0
5.089482353	12.36153783	0	5.089482353	42.08367717	0
5.107989562	12.3148592	0	5.107989562	42.08747453	0
5.12649677	12.23024029	0	5.12649677	42.08620648	0
5.145003979	12.14407412	0	5.145003979	42.08493188	0
5.163511188	12.0262162	0	5.163511188	42.08352918	0
5.182018396	11.98815396	0	5.182018396	42.08418467	0
5.200525605	11.89503425	0	5.200525605	42.08321451	0
5.219032813	11.83048378	0	5.219032813	42.08369809	0
5.237540022	11.76082096	0	5.237540022	42.08272952	0
5.25604723	11.6830147	0	5.25604723	42.08231472	0
5.274554439	11.64400017	0	5.274554439	42.08532685	0
5.293061648	11.56047983	0	5.293061648	42.08482126	0
5.311568856	11.49041261	0	5.311568856	42.0852549	0
5.330076065	11.42320371	0	5.330076065	42.08248052	0
5.348583273	11.40070724	0	5.348583273	42.08554638	0
5.367090482	11.33842239	0	5.367090482	42.08432935	0
5.38559769	11.26940028	0	5.38559769	42.08568187	0
5.404104899	11.2315519	0	5.404104899	42.08500771	0
5.422612107	11.21560033	0	5.422612107	42.08771612	0
5.441119316	11.19397135	0	5.441119316	42.08509025	0
5.459626525	11.17483368	0	5.459626525	42.08367752	0
5.478133733	11.14128735	0	5.478133733	42.08484587	0
5.496640942	11.13845696	0	5.496640942	42.08469845	0
5.51514815	11.13061231	0	5.51514815	42.08393109	0
5.533655359	11.12040977	0	5.533655359	42.08369211	0
5.552162567	11.09185411	0	5.552162567	42.08582659	0
5.570669776	11.07128838	0	5.570669776	42.08633781	0
5.589176984	11.06206327	0	5.589176984	42.08544995	0
5.607684193	11.06360817	0	5.607684193	42.08800258	0
5.626191402	11.06062948	0	5.626191402	42.08639412	0
5.64469861	11.05313781	0	5.64469861	42.08731076	0
5.663205819	11.03795324	0	5.663205819	42.08747115	0
5.681713027	11.01285249	0	5.681713027	42.08937159	0
5.700220236	11.00434473	0	5.700220236	42.09004613	0
5.718727444	10.99082631	0	5.718727444	42.0905865	0
5.737234653	10.9833187	0	5.737234653	42.08935125	0
5.755741861	10.98131976	0	5.755741861	42.09035567	0
5.77424907	10.98366621	0	5.77424907	42.09214067	0
5.792756279	10.9876676	0	5.792756279	42.09160427	0
5.811263487	10.99575474	0	5.811263487	42.09246675	0
5.829770696	10.99445845	0	5.829770696	42.0913395	0
5.848277904	10.99585504	0	5.848277904	42.09150611	0
5.866785113	11.00087308	0	5.866785113	42.09181068	0
5.885292321	11.00096056	0	5.885292321	42.09131541	0
5.90379953	11.00289182	0	5.90379953	42.09234047	0
