Best Track			Marker		
t	x	y	t	x	y
0	19.27825457	0	0	32.98814118	0
0.023241761	19.27808918	0	0.023241761	32.98849643	0
0.046483522	19.27815334	0	0.046483522	32.98806785	0
0.069725282	19.2780542	0	0.069725282	32.98792798	0
0.092967043	19.27749952	0	0.092967043	32.98835021	0
0.116208804	19.27810157	0	0.116208804	32.98800352	0
0.139450565	19.27885079	0	0.139450565	32.98800255	0
0.162692326	19.27797435	0	0.162692326	32.98798755	0
0.185934086	19.27838241	0	0.185934086	32.98784266	0
0.209175847	19.27847537	0	0.209175847	32.98828999	0
0.232417608	19.27822422	0	0.232417608	32.98815322	0
0.255659369	19.27804162	0	0.255659369	32.98814642	0
0.27890113	19.2783003	0	0.27890113	32.98789827	0
0.30214289	19.27836327	0	0.30214289	32.98835021	0
0.325384651	19.27854313	0	0.325384651	32.98778589	0
0.348626412	19.27804585	0	0.348626412	32.98790077	0
0.371868173	19.27849983	0	0.371868173	32.98793008	0
0.395109934	19.27794443	0	0.395109934	32.98806606	0
0.418351694	19.27816506	0	0.418351694	32.98848826	0
0.441593455	19.27826236	0	0.441593455	32.98826303	0
0.464835216	19.27832478	0	0.464835216	32.9880185	0
0.488076977	19.27847383	0	0.488076977	32.9874956	0
0.511318738	19.27807525	0	0.511318738	32.98765204	0
0.534560498	19.27831012	0	0.534560498	32.98794222	0
0.557802259	19.2783959	0	0.557802259	32.98799351	0
0.58104402	19.27827806	0	0.58104402	32.9877497	0
0.604285781	19.27840346	0	0.604285781	32.98814264	0
0.627527542	19.27804897	0	0.627527542	32.98828106	0
0.650769302	19.27784766	0	0.650769302	32.9881166	0
0.674011063	19.27843006	0	0.674011063	32.98834387	0
0.697252824	19.27854084	0	0.697252824	32.98813559	0
0.720494585	19.27833275	0	0.720494585	32.98784218	0
0.743736346	19.27769715	0	0.743736346	32.98777018	0
0.766978106	19.27831909	0	0.766978106	32.98805347	0
0.790219867	19.27791105	0	0.790219867	32.9885914	0
0.813461628	19.27861331	0	0.813461628	32.98731737	0
0.836703389	19.27850632	0	0.836703389	32.98775984	0
0.859945149	19.27849069	0	0.859945149	32.98782442	0
0.88318691	19.27852047	0	0.88318691	32.98813977	0
0.906428671	19.27821957	0	0.906428671	32.98820991	0
0.929670432	19.27865265	0	0.929670432	32.98781794	0
0.952912193	19.27841271	0	0.952912193	32.98805973	0
0.976153953	19.27761695	0	0.976153953	32.98826221	0
0.999395714	19.27804351	0	0.999395714	32.98803134	0
1.022637475	19.27837266	0	1.022637475	32.98785643	0
1.045879236	19.27837136	0	1.045879236	32.98814723	0
1.069120997	19.27864035	0	1.069120997	32.98768006	0
1.092362757	19.27763598	0	1.092362757	32.98853094	0
1.115604518	19.27763764	0	1.115604518	32.98826206	0
1.138846279	19.27748877	0	1.138846279	32.98811787	0
1.16208804	19.27667191	0	1.16208804	32.98860617	0
1.185329801	19.27516604	0	1.185329801	32.98830004	0
1.208571561	19.27203064	0	1.208571561	32.98777665	0
1.231813322	19.27138323	0	1.231813322	32.98735974	0
1.255055083	19.26266633	0	1.255055083	32.98840311	0
1.278296844	19.24315089	0	1.278296844	32.98720676	0
1.301538605	19.20594324	0	1.301538605	32.98565795	0
1.324780365	19.1381661	0	1.324780365	32.98107948	0
1.348022126	19.0969463	0	1.348022126	32.97604633	0
1.371263887	19.04802885	0	1.371263887	32.96036335	0
1.394505648	18.96386533	0	1.394505648	32.95094269	0
1.417747409	18.90862657	0	1.417747409	32.9571164	0
1.440989169	18.87058288	0	1.440989169	32.95446534	0
1.46423093	18.7656083	0	1.46423093	32.9673087	0
1.487472691	18.74964729	0	1.487472691	32.96666929	0
1.510714452	18.65569339	0	1.510714452	32.96332064	0
1.533956213	18.62253376	0	1.533956213	32.94979156	0
1.557197973	18.54058966	0	1.557197973	32.92558613	0
1.580439734	18.40933156	0	1.580439734	32.83273334	0
1.603681495	18.36140012	0	1.603681495	32.80527323	0
1.626923256	18.31785838	0	1.626923256	32.82089331	0
1.650165017	18.26496638	0	1.650165017	32.84138069	0
1.673406777	18.21162683	0	1.673406777	32.84458804	0
1.696648538	18.16658571	0	1.696648538	32.84555932	0
1.719890299	18.1498248	0	1.719890299	32.84152215	0
1.74313206	18.11957166	0	1.74313206	32.84575145	0
1.76637382	18.09511773	0	1.76637382	32.8484595	0
1.789615581	18.07066059	0	1.789615581	32.84546183	0
1.812857342	18.04753512	0	1.812857342	32.84740991	0
1.836099103	18.01171206	0	1.836099103	32.85053314	0
1.859340864	17.98498864	0	1.859340864	32.85476628	0
1.882582624	17.97909248	0	1.882582624	32.85375251	0
1.905824385	17.9496198	0	1.905824385	32.85499115	0
1.929066146	17.91204481	0	1.929066146	32.85616281	0
1.952307907	17.83570912	0	1.952307907	32.83006519	0
1.975549668	17.83044538	0	1.975549668	32.82013977	0
1.998791428	17.81441653	0	1.998791428	32.8197142	0
2.022033189	17.73096726	0	2.022033189	32.77437427	0
2.04527495	17.6771144	0	2.04527495	32.7475671	0
2.068516711	17.64198555	0	2.068516711	32.78236452	0
2.091758472	17.59544867	0	2.091758472	32.79554839	0
2.115000232	17.53832268	0	2.115000232	32.77069065	0
2.138241993	17.45039723	0	2.138241993	32.6545479	0
2.161483754	17.39638229	0	2.161483754	32.61366506	0
2.184725515	17.32220918	0	2.184725515	32.56408178	0
2.207967276	17.18091028	0	2.207967276	32.56984193	0
2.231209036	17.1471182	0	2.231209036	32.58511096	0
2.254450797	17.05008485	0	2.254450797	32.61463732	0
2.277692558	16.86090015	0	2.277692558	32.62338347	0
2.300934319	16.81050889	0	2.300934319	32.61403159	0
2.32417608	16.5077227	0	2.32417608	32.72300713	0
2.34741784	16.44431145	0	2.34741784	32.69048804	0
2.370659601	16.36010926	0	2.370659601	32.6527487	0
2.393901362	16.25889991	0	2.393901362	32.61437966	0
2.417143123	16.10269064	0	2.417143123	32.6549618	0
2.440384884	15.99068723	0	2.440384884	32.66896972	0
2.463626644	15.84782727	0	2.463626644	32.68813573	0
2.486868405	15.75952518	0	2.486868405	32.69187153	0
2.510110166	15.71941802	0	2.510110166	32.68367345	0
2.533351927	15.62946492	0	2.533351927	32.69112587	0
2.556593688	15.54061037	0	2.556593688	32.69873231	0
2.579835448	15.469141	0	2.579835448	32.70237492	0
2.603077209	15.35808475	0	2.603077209	32.69076086	0
2.62631897	15.28784764	0	2.62631897	32.67417534	0
2.649560731	15.1818652	0	2.649560731	32.6574887	0
2.672802492	15.11451382	0	2.672802492	32.6714761	0
2.696044252	15.08808188	0	2.696044252	32.66650472	0
2.719286013	15.02295797	0	2.719286013	32.66181437	0
2.742527774	14.95096453	0	2.742527774	32.68479333	0
2.765769535	14.89118678	0	2.765769535	32.69655198	0
2.789011295	14.80120172	0	2.789011295	32.70386904	0
2.812253056	14.75728027	0	2.812253056	32.70486703	0
2.835494817	14.71876829	0	2.835494817	32.70405988	0
2.858736578	14.65482245	0	2.858736578	32.70647167	0
2.881978339	14.60570352	0	2.881978339	32.70722925	0
2.905220099	14.56800164	0	2.905220099	32.70073238	0
2.92846186	14.53314483	0	2.92846186	32.69633166	0
2.951703621	14.4855982	0	2.951703621	32.69435842	0
2.974945382	14.44201295	0	2.974945382	32.69307198	0
2.998187143	14.39980783	0	2.998187143	32.68869547	0
3.021428903	14.34502981	0	3.021428903	32.67486552	0
3.044670664	14.30004937	0	3.044670664	32.67255856	0
3.067912425	14.2458098	0	3.067912425	32.67466283	0
3.091154186	14.12964012	0	3.091154186	32.66606007	0
3.114395947	14.09970361	0	3.114395947	32.66405694	0
3.137637707	14.02431803	0	3.137637707	32.64637236	0
3.160879468	13.95774149	0	3.160879468	32.60629834	0
3.184121229	13.89728874	0	3.184121229	32.60952578	0
3.20736299	13.76826487	0	3.20736299	32.63538912	0
3.230604751	13.70428344	0	3.230604751	32.61309296	0
3.253846511	13.61023896	0	3.253846511	32.59836318	0
3.277088272	13.48507556	0	3.277088272	32.59645938	0
3.300330033	13.43533668	0	3.300330033	32.59860811	0
3.323571794	13.292559	0	3.323571794	32.53846902	0
3.346813555	13.20446281	0	3.346813555	32.52650994	0
3.370055315	13.15202283	0	3.370055315	32.52856604	0
3.393297076	13.10276315	0	3.393297076	32.51024939	0
3.416538837	13.03073067	0	3.416538837	32.48022085	0
3.439780598	13.00824568	0	3.439780598	32.4653707	0
3.463022359	12.88234335	0	3.463022359	32.36871989	0
