Calc_2			Trial 2	Marker	
t	x	y	t	x	y
0.000	31.746	0.000	0.000	18.367	0.000
0.023	31.746	0.000	0.023	18.366	0.000
0.047	31.747	0.000	0.047	18.366	0.000
0.070	31.746	0.000	0.070	18.367	0.000
0.093	31.746	0.000	0.093	18.366	0.000
0.116	31.746	0.000	0.116	18.367	0.000
0.140	31.745	0.000	0.140	18.366	0.000
0.163	31.746	0.000	0.163	18.366	0.000
0.186	31.746	0.000	0.186	18.367	0.000
0.210	31.746	0.000	0.210	18.367	0.000
0.233	31.746	0.000	0.233	18.366	0.000
0.256	31.746	0.000	0.256	18.366	0.000
0.279	31.745	0.000	0.279	18.367	0.000
0.303	31.745	0.000	0.303	18.366	0.000
0.326	31.745	0.000	0.326	18.367	0.000
0.349	31.744	0.000	0.349	18.366	0.000
0.373	31.744	0.000	0.373	18.366	0.000
0.396	31.745	0.000	0.396	18.366	0.000
0.419	31.745	0.000	0.419	18.366	0.000
0.442	31.745	0.000	0.442	18.366	0.000
0.466	31.745	0.000	0.466	18.366	0.000
0.489	31.745	0.000	0.489	18.366	0.000
0.512	31.746	0.000	0.512	18.367	0.000
0.536	31.746	0.000	0.536	18.366	0.000
0.559	31.746	0.000	0.559	18.366	0.000
0.582	31.746	0.000	0.582	18.366	0.000
0.605	31.745	0.000	0.605	18.366	0.000
0.629	31.745	0.000	0.629	18.366	0.000
0.652	31.745	0.000	0.652	18.366	0.000
0.675	31.745	0.000	0.675	18.366	0.000
0.699	31.746	0.000	0.699	18.366	0.000
0.722	31.746	0.000	0.722	18.366	0.000
0.745	31.746	0.000	0.745	18.366	0.000
0.768	31.746	0.000	0.768	18.367	0.000
0.792	31.746	0.000	0.792	18.367	0.000
0.815	31.746	0.000	0.815	18.366	0.000
0.838	31.747	0.000	0.838	18.366	0.000
0.862	31.746	0.000	0.862	18.366	0.000
0.885	31.746	0.000	0.885	18.367	0.000
0.908	31.746	0.000	0.908	18.366	0.000
0.931	31.746	0.000	0.931	18.366	0.000
0.955	31.746	0.000	0.955	18.367	0.000
0.978	31.745	0.000	0.978	18.367	0.000
1.001	31.745	0.000	1.001	18.365	0.000
1.025	31.746	0.000	1.025	18.367	0.000
1.048	31.745	0.000	1.048	18.366	0.000
1.071	31.746	0.000	1.071	18.367	0.000
1.094	31.745	0.000	1.094	18.366	0.000
1.118	31.746	0.000	1.118	18.367	0.000
1.141	31.746	0.000	1.141	18.367	0.000
1.164	31.746	0.000	1.164	18.366	0.000
1.188	31.746	0.000	1.188	18.366	0.000
1.211	31.746	0.000	1.211	18.367	0.000
1.234	31.746	0.000	1.234	18.366	0.000
1.257	31.747	0.000	1.257	18.367	0.000
1.281	31.746	0.000	1.281	18.367	0.000
1.304	31.747	0.000	1.304	18.367	0.000
1.327	31.747	0.000	1.327	18.366	0.000
1.351	31.747	0.000	1.351	18.367	0.000
1.374	31.746	0.000	1.374	18.366	0.000
1.397	31.748	0.000	1.397	18.367	0.000
1.420	31.748	0.000	1.420	18.366	0.000
1.444	31.746	0.000	1.444	18.368	0.000
1.467	31.747	0.000	1.467	18.366	0.000
1.490	31.748	0.000	1.490	18.366	0.000
1.514	31.748	0.000	1.514	18.367	0.000
1.537	31.748	0.000	1.537	18.367	0.000
1.560	31.748	0.000	1.560	18.367	0.000
1.583	31.747	0.000	1.583	18.367	0.000
1.607	31.749	0.000	1.607	18.367	0.000
1.630	31.748	0.000	1.630	18.367	0.000
1.653	31.747	0.000	1.653	18.367	0.000
1.677	31.748	0.000	1.677	18.368	0.000
1.700	31.747	0.000	1.700	18.367	0.000
1.723	31.747	0.000	1.723	18.367	0.000
1.746	31.748	0.000	1.746	18.366	0.000
1.770	31.747	0.000	1.770	18.367	0.000
1.793	31.746	0.000	1.793	18.367	0.000
1.816	31.747	0.000	1.816	18.367	0.000
1.840	31.745	0.000	1.840	18.366	0.000
1.863	31.746	0.000	1.863	18.366	0.000
1.886	31.746	0.000	1.886	18.367	0.000
1.909	31.746	0.000	1.909	18.367	0.000
1.933	31.746	0.000	1.933	18.367	0.000
1.956	31.746	0.000	1.956	18.366	0.000
1.979	31.745	0.000	1.979	18.365	0.000
