Calc_2			Trial 2	Marker	
2.003	31.742	0.000	2.003	18.367	0.000
2.026	31.632	0.000	2.026	18.369	0.000
2.049	31.604	0.000	2.049	18.374	0.000
2.072	31.590	0.000	2.072	18.372	0.000
2.096	31.571	0.000	2.096	18.370	0.000
2.119	31.568	0.000	2.119	18.370	0.000
2.142	31.570	0.000	2.142	18.372	0.000
2.166	31.582	0.000	2.166	18.374	0.000
2.189	31.597	0.000	2.189	18.379	0.000
2.212	31.602	0.000	2.212	18.377	0.000
2.235	31.606	0.000	2.235	18.376	0.000
2.259	31.605	0.000	2.259	18.377	0.000
2.282	31.548	0.000	2.282	18.377	0.000
2.305	31.522	0.000	2.305	18.374	0.000
2.329	31.499	0.000	2.329	18.371	0.000
2.352	31.499	0.000	2.352	18.373	0.000
2.375	31.467	0.000	2.375	18.375	0.000
2.398	31.453	0.000	2.398	18.374	0.000
2.422	31.431	0.000	2.422	18.372	0.000
2.445	31.425	0.000	2.445	18.370	0.000
2.468	31.419	0.000	2.468	18.371	0.000
2.492	31.384	0.000	2.492	18.372	0.000
2.515	31.380	0.000	2.515	18.371	0.000
2.538	31.370	0.000	2.538	18.370	0.000
2.561	31.371	0.000	2.561	18.370	0.000
2.585	31.377	0.000	2.585	18.370	0.000
2.608	31.377	0.000	2.608	18.368	0.000
2.631	31.373	0.000	2.631	18.369	0.000
2.655	31.372	0.000	2.655	18.368	0.000
2.678	31.372	0.000	2.678	18.368	0.000
2.701	31.371	0.000	2.701	18.369	0.000
2.724	31.371	0.000	2.724	18.368	0.000
2.748	31.374	0.000	2.748	18.369	0.000
2.771	31.367	0.000	2.771	18.368	0.000
2.794	31.368	0.000	2.794	18.367	0.000
2.818	31.371	0.000	2.818	18.368	0.000
2.841	31.371	0.000	2.841	18.369	0.000
2.864	31.369	0.000	2.864	18.372	0.000
2.887	31.357	0.000	2.887	18.371	0.000
2.911	31.355	0.000	2.911	18.372	0.000
2.934	31.361	0.000	2.934	18.370	0.000
2.957	31.367	0.000	2.957	18.371	0.000
2.981	31.362	0.000	2.981	18.368	0.000
3.004	31.362	0.000	3.004	18.369	0.000
3.027	31.362	0.000	3.027	18.367	0.000
3.050	31.371	0.000	3.050	18.371	0.000
3.074	31.374	0.000	3.074	18.370	0.000
3.097	31.370	0.000	3.097	18.368	0.000
3.120	31.366	0.000	3.120	18.364	0.000
3.144	31.365	0.000	3.144	18.367	0.000
3.167	31.269	0.000	3.167	18.367	0.000
3.190	31.245	0.000	3.190	18.366	0.000
3.213	31.236	0.000	3.213	18.366	0.000
3.237	31.230	0.000	3.237	18.367	0.000
3.260	31.229	0.000	3.260	18.367	0.000
3.283	31.229	0.000	3.283	18.367	0.000
3.307	31.232	0.000	3.307	18.366	0.000
3.330	31.231	0.000	3.330	18.369	0.000
3.353	31.232	0.000	3.353	18.369	0.000
3.376	31.234	0.000	3.376	18.367	0.000
3.400	31.233	0.000	3.400	18.367	0.000
3.423	31.236	0.000	3.423	18.367	0.000
3.446	31.234	0.000	3.446	18.368	0.000
3.470	31.233	0.000	3.470	18.367	0.000
3.493	31.234	0.000	3.493	18.367	0.000
3.516	31.233	0.000	3.516	18.366	0.000
3.539	31.233	0.000	3.539	18.366	0.000
3.563	31.235	0.000	3.563	18.368	0.000
3.586	31.237	0.000	3.586	18.369	0.000
3.609	31.241	0.000	3.609	18.367	0.000
3.633	31.239	0.000	3.633	18.367	0.000
3.656	31.236	0.000	3.656	18.366	0.000
3.679	31.236	0.000	3.679	18.368	0.000
3.702	31.234	0.000	3.702	18.367	0.000
3.726	31.235	0.000	3.726	18.369	0.000
3.749	31.237	0.000	3.749	18.370	0.000
3.772	31.237	0.000	3.772	18.368	0.000
3.796	31.244	0.000	3.796	18.368	0.000
3.819	31.244	0.000	3.819	18.371	0.000
3.842	31.249	0.000	3.842	18.371	0.000
3.865	31.248	0.000	3.865	18.372	0.000
3.889	31.245	0.000	3.889	18.375	0.000
3.912	31.243	0.000	3.912	18.373	0.000
3.935	31.240	0.000	3.935	18.371	0.000
3.959	31.236	0.000	3.959	18.374	0.000
3.982	31.231	0.000	3.982	18.372	0.000
4.005	31.221	0.000	4.005	18.371	0.000
4.028	31.214	0.000	4.028	18.373	0.000
4.052	31.210	0.000	4.052	18.375	0.000
4.075	31.217	0.000	4.075	18.374	0.000
4.098	31.220	0.000	4.098	18.372	0.000
4.122	31.222	0.000	4.122	18.373	0.000
4.145	31.220	0.000	4.145	18.374	0.000
4.168	31.223	0.000	4.168	18.373	0.000
4.191	31.230	0.000	4.191	18.373	0.000
4.215	31.230	0.000	4.215	18.374	0.000
4.238	31.229	0.000	4.238	18.372	0.000
4.261	31.229	0.000	4.261	18.371	0.000
4.285	31.231	0.000	4.285	18.370	0.000
4.308	31.233	0.000	4.308	18.368	0.000
4.331	31.234	0.000	4.331	18.369	0.000
4.354	31.236	0.000	4.354	18.369	0.000
4.378	31.237	0.000	4.378	18.369	0.000
4.401	31.238	0.000	4.401	18.371	0.000
4.424	31.236	0.000	4.424	18.371	0.000
4.448	31.242	0.000	4.448	18.373	0.000
4.471	31.242	0.000	4.471	18.375	0.000
4.494	31.242	0.000	4.494	18.370	0.000
4.517	31.245	0.000	4.517	18.373	0.000
4.541	31.241	0.000	4.541	18.372	0.000
4.564	31.242	0.000	4.564	18.369	0.000
4.587	31.244	0.000	4.587	18.370	0.000
4.611	31.240	0.000	4.611	18.371	0.000
4.634	31.232	0.000	4.634	18.368	0.000
4.657	31.227	0.000	4.657	18.368	0.000
4.680	31.236	0.000	4.680	18.368	0.000
4.704	31.242	0.000	4.704	18.367	0.000
4.727	31.236	0.000	4.727	18.366	0.000
4.750	31.233	0.000	4.750	18.366	0.000
4.774	31.226	0.000	4.774	18.363	0.000
4.797	31.216	0.000	4.797	18.363	0.000
4.820	31.212	0.000	4.820	18.364	0.000
4.843	31.221	0.000	4.843	18.364	0.000
4.867	31.222	0.000	4.867	18.365	0.000
4.890	31.223	0.000	4.890	18.365	0.000
4.913	31.215	0.000	4.913	18.367	0.000
4.937	31.105	0.000	4.937	18.366	0.000
4.960	31.091	0.000	4.960	18.366	0.000
4.983	31.088	0.000	4.983	18.366	0.000
5.006	31.079	0.000	5.006	18.365	0.000
5.030	31.083	0.000	5.030	18.367	0.000
5.053	31.087	0.000	5.053	18.367	0.000
5.076	31.091	0.000	5.076	18.368	0.000
5.100	31.095	0.000	5.100	18.370	0.000
5.123	31.097	0.000	5.123	18.369	0.000
5.146	31.096	0.000	5.146	18.371	0.000
5.169	31.092	0.000	5.169	18.374	0.000
5.193	31.090	0.000	5.193	18.374	0.000
5.216	31.096	0.000	5.216	18.372	0.000
5.239	31.101	0.000	5.239	18.374	0.000
5.263	31.104	0.000	5.263	18.375	0.000
5.286	31.101	0.000	5.286	18.374	0.000
5.309	31.100	0.000	5.309	18.371	0.000
5.332	31.097	0.000	5.332	18.370	0.000
5.356	31.094	0.000	5.356	18.372	0.000
5.379	31.105	0.000	5.379	18.374	0.000
5.402	31.104	0.000	5.402	18.373	0.000
5.426	31.105	0.000	5.426	18.373	0.000
5.449	31.105	0.000	5.449	18.374	0.000
5.472	31.097	0.000	5.472	18.371	0.000
5.495	31.094	0.000	5.495	18.371	0.000
5.519	31.093	0.000	5.519	18.374	0.000
5.542	31.098	0.000	5.542	18.380	0.000
5.565	31.095	0.000	5.565	18.376	0.000
5.589	31.095	0.000	5.589	18.376	0.000
5.612	31.095	0.000	5.612	18.376	0.000
5.635	31.092	0.000	5.635	18.376	0.000
5.658	31.090	0.000	5.658	18.375	0.000
5.682	31.091	0.000	5.682	18.373	0.000
5.705	31.090	0.000	5.705	18.373	0.000
5.728	31.089	0.000	5.728	18.373	0.000
5.752	31.088	0.000	5.752	18.370	0.000
5.775	31.089	0.000	5.775	18.371	0.000
5.798	31.077	0.000	5.798	18.372	0.000
5.821	31.071	0.000	5.821	18.371	0.000
5.845	31.065	0.000	5.845	18.375	0.000
5.868	31.072	0.000	5.868	18.374	0.000
5.891	31.067	0.000	5.891	18.373	0.000
5.915	31.065	0.000	5.915	18.375	0.000
5.938	31.077	0.000	5.938	18.376	0.000
5.961	31.077	0.000	5.961	18.375	0.000
5.984	31.074	0.000	5.984	18.377	0.000
6.008	31.078	0.000	6.008	18.374	0.000
6.031	30.972	0.000	6.031	18.379	0.000
6.054	30.954	0.000	6.054	18.371	0.000
6.078	30.926	0.000	6.078	18.378	0.000
6.101	30.923	0.000	6.101	18.370	0.000
6.124	30.938	0.000	6.124	18.373	0.000
6.147	30.942	0.000	6.147	18.376	0.000
6.171	30.937	0.000	6.171	18.380	0.000
6.194	30.935	0.000	6.194	18.371	0.000
6.217	30.934	0.000	6.217	18.383	0.000
6.241	30.940	0.000	6.241	18.386	0.000
6.264	30.941	0.000	6.264	18.381	0.000
6.287	30.939	0.000	6.287	18.380	0.000
6.310	30.937	0.000	6.310	18.377	0.000
6.334	30.938	0.000	6.334	18.374	0.000
6.357	30.943	0.000	6.357	18.383	0.000
6.380	30.939	0.000	6.380	18.378	0.000
6.404	30.938	0.000	6.404	18.374	0.000
6.427	30.949	0.000	6.427	18.376	0.000
6.450	30.948	0.000	6.450	18.374	0.000
6.473	30.950	0.000	6.473	18.375	0.000
6.497	30.944	0.000	6.497	18.371	0.000
6.520	30.946	0.000	6.520	18.370	0.000
6.543	30.953	0.000	6.543	18.370	0.000
6.567	30.951	0.000	6.567	18.368	0.000
6.590	30.948	0.000	6.590	18.367	0.000
6.613	30.944	0.000	6.613	18.369	0.000
6.636	30.946	0.000	6.636	18.368	0.000
6.660	30.950	0.000	6.660	18.369	0.000
6.683	30.950	0.000	6.683	18.368	0.000
6.706	30.945	0.000	6.706	18.369	0.000
6.730	30.938	0.000	6.730	18.369	0.000
6.753	30.938	0.000	6.753	18.368	0.000
6.776	30.941	0.000	6.776	18.366	0.000
6.799	30.930	0.000	6.799	18.369	0.000
6.823	30.923	0.000	6.823	18.367	0.000
6.846	30.885	0.000	6.846	18.369	0.000
6.869	30.876	0.000	6.869	18.368	0.000
6.893	30.860	0.000	6.893	18.369	0.000
6.916	30.860	0.000	6.916	18.370	0.000
6.939	30.857	0.000	6.939	18.370	0.000
6.962	30.842	0.000	6.962	18.372	0.000
