GM fasc			Ext		
t	x	y	t	x	y
0	14.03440261	1.151582257	0	2.403043894	8.432789058
0.059612519	14.06385562	1.148654336	0.059612519	2.402070834	8.43274172
0.119225037	14.18086385	1.134146088	0.119225037	2.402168817	8.433022358
0.178837556	14.30799635	1.115538092	0.178837556	2.403924878	8.4329163
0.238450075	14.39166389	1.106869231	0.238450075	2.403151946	8.433039289
0.298062593	14.45569787	1.103624785	0.298062593	2.405512631	8.432798505
0.357675112	14.51081256	1.098746829	0.357675112	2.405469994	8.432473702
0.41728763	14.60630989	1.088337236	0.41728763	2.405717191	8.432616302
0.476900149	14.66282315	1.081957506	0.476900149	2.403346384	8.433003008
0.536512668	14.73315419	1.075241274	0.536512668	2.404256547	8.432450277
0.596125186	14.84310078	1.062086248	0.596125186	2.404395348	8.431882867
0.774962742	15.03502494	1.037609004	0.655737705	2.404108045	8.431973624
0.834575261	15.14563516	1.025046782	0.715350224	2.402794349	8.432177457
0.894187779	15.19426345	1.026241865	0.774962742	2.405126242	8.432256087
0.953800298	15.27850754	1.020570129	0.834575261	2.403711627	8.432252385
1.013412817	15.3191215	1.018286203	0.894187779	2.403653456	8.432246064
1.073025335	15.41851754	1.007911845	0.953800298	2.404191936	8.432550087
1.132637854	15.48837628	1.001629065	1.013412817	2.404153811	8.432457345
1.192250373	15.5824976	0.990999535	1.073025335	2.407294429	8.431740492
1.251862891	15.65004709	0.987838341	1.132637854	2.409337766	8.431566663
1.31147541	15.69548111	0.983307383	1.192250373	2.409776469	8.431404127
1.371087928	15.74333269	0.979095684	1.251862891	2.411602489	8.431749873
1.430700447	15.8183232	0.974073086	1.31147541	2.411394898	8.431739006
1.490312966	15.86788011	0.966302821	1.371087928	2.410941075	8.431744691
1.549925484	15.9479248	0.958527011	1.430700447	2.409019142	8.432045376
1.609538003	16.01767223	0.94896159	1.490312966	2.408337504	8.432356485
1.669150522	16.06694649	0.94264855	1.549925484	2.407224412	8.432488518
1.72876304	16.12342692	0.938180807	1.609538003	2.406148141	8.432733378
1.788375559	16.17631873	0.930457218	1.669150522	2.405043396	8.432590795
1.847988077	16.26720565	0.922970789	1.72876304	2.407296319	8.432934395
1.907600596	16.32219225	0.919283526	1.788375559	2.405899117	8.43248566
1.967213115	16.35758767	0.916458019	1.847988077	2.406422187	8.432656254
2.026825633	16.39904001	0.911692032	1.907600596	2.405693135	8.432441764
2.086438152	16.47038147	0.903518686	1.967213115	2.403764465	8.432492861
2.146050671	16.53148166	0.894954601	2.026825633	2.40321468	8.432524499
2.205663189	16.57178737	0.892329728	2.086438152	2.404412016	8.432468202
2.265275708	16.64844035	0.885819957	2.146050671	2.405778128	8.432519402
2.324888227	16.73857466	0.878699429	2.205663189	2.40298188	8.432808476
2.384500745	16.79074684	0.873392564	2.265275708	2.403268967	8.432858069
2.444113264	16.87146541	0.862707612	2.324888227	2.403741747	8.432911484
2.503725782	16.91852301	0.857556409	2.384500745	2.402590743	8.433578278
2.563338301	17.00726224	0.850143157	2.444113264	2.403614989	8.433534636
2.62295082	17.05298078	0.846637508	2.503725782	2.402014593	8.434068746
2.682563338	17.14940134	0.835418175	2.563338301	2.403427052	8.433782077
2.742175857	17.18368104	0.831839926	2.62295082	2.40126582	8.436244867
2.801788376	17.29136123	0.820040494	2.682563338	2.401414269	8.436524348
2.861400894	17.33611347	0.817010126	2.742175857	2.401014883	8.438446696
2.921013413	17.42646885	0.80679089	2.801788376	2.401589907	8.437298314
2.980625931	17.48186261	0.802925602	2.861400894	2.400323309	8.437988249
3.04023845	17.56627178	0.793249623	2.921013413	2.401085835	8.437760101
