"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	0.0669341	-0.141814	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	0.25859	-0.764195	-12.97	-12.0545	-13.4279	-12.97	-0.0251018	-88.3592		
0.0007	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.758723	-12.97	-12.0545	-13.4279	-12.8175	-0.0256667	-52.1771		
0.0013	-0.238233	-0.141814	-0.418085	-0.0879009	0.116788	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.8175	-11.9017	-13.1227	-12.665	-0.0251018	-60.5845		
0.002	-0.238233	-0.446974	-0.112926	-0.0879009	0.116788	-0.240481	-0.36214	-0.0465936	-0.770578	-12.97	-11.9017	-12.97	-12.665	-0.0251018	-63.7929		
0.0027	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.36214	-0.351758	-0.764195	-12.97	-11.9017	-13.2753	-12.97	-0.0254246	-60.28		
0.0033	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.512	-11.7494	-13.5805	-12.8175	-0.0251018	-61.3339		
0.004	0.0669341	0.163369	0.192256	0.217291	0.116788	0.0646887	-0.0569624	-0.0465936	-0.764195	-12.512	-11.9017	-13.1227	-12.512	-0.0251018	-61.1934		
0.0047	-0.238233	0.163369	-0.112926	-0.0879009	-0.188406	0.0646887	-0.0569624	-0.0465936	-0.764195	-12.8175	-11.7494	-13.1227	-12.665	-0.025586	-61.4978		
0.0053	-0.238233	-0.141814	-0.418085	-0.0879009	-0.188406	-0.545651	-0.0569624	-0.0465936	-0.764195	-12.97	-11.5967	-13.2753	-12.3595	-0.0252632	-61.6383		
0.006	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.758723	-12.665	-11.7494	-13.1227	-12.8175	-0.0249403	-61.3339		
0.0067	-0.238233	-0.141814	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	-0.0465936	-0.758723	-12.512	-12.3595	-13.4279	-13.2751	-0.0258282	-61.3339		
0.0073	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.351758	-0.764195	-12.8175	-12.0545	-13.2753	-12.97	-0.0263125	-61.6383		
0.008	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.770578	-12.97	-11.7494	-13.1227	-12.8175	-0.0259896	-61.9428		
0.0087	-0.238233	0.163369	-0.112926	-0.393072	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.8175	-11.9017	-13.1227	-12.97	-0.0256667	-61.4978		
0.0093	-0.238233	-0.141814	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	-0.0465936	-0.764195	-12.8175	-11.7494	-12.97	-12.97	-0.0258282	-61.3339		
0.01	-0.238233	-0.141814	-0.112926	0.217291	0.116788	0.0646887	-0.0569624	-0.0465936	-0.758723	-12.665	-11.7494	-12.6648	-12.97	-0.0263125	-61.6383		
0.0107	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.758723	-12.8175	-11.7494	-12.5122	-13.2751	-0.0259896	-61.4978		
0.0113	-0.238233	-0.141814	-0.112926	-0.393072	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.758723	-13.2751	-12.2072	-12.97	-13.1225	-0.0258282	-61.6383		
0.012	-0.238233	-0.141814	-0.112926	-0.0879009	-0.188406	0.0646887	-0.0569624	-0.0465936	-0.764195	-13.1225	-12.5123	-13.4279	-13.2751	-0.0258282	-61.8023		
0.0127	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.97	-12.6646	-13.7327	-13.1225	-0.025586	-61.3339		
0.0133	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.8175	-12.2072	-13.4279	-12.665	-0.025586	-61.3339		
0.014	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.97	-11.9017	-13.4279	-12.97	-0.0256667	-61.4978		
0.0147	0.0669341	0.163369	0.192256	-0.0879009	0.116788	0.0646887	-0.0569624	0.25859	-0.764195	-13.2751	-12.5123	-13.8853	-13.4276	-0.0258282	-61.1934		
0.0153	0.0669341	0.163369	-0.112926	0.217291	0.116788	0.0646887	-0.0569624	-0.0465936	-0.758723	-13.2751	-12.6646	-13.5805	-13.2751	-0.0259896	-61.3339		
0.016	0.0669341	-0.141814	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	-0.0465936	-0.75234	-13.2751	-11.9017	-13.2753	-13.2751	-0.0258282	-61.4978		
0.0167	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	0.0646887	-0.0569624	-0.0465936	-0.758723	-13.1225	-11.9017	-13.2753	-13.2751	-0.0254246	-61.4978		
0.0173	0.0669341	0.163369	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	-0.0465936	-0.758723	-13.2751	-12.3595	-13.5805	-12.8175	-0.0249403	-61.3339		
0.018	0.0669341	0.163369	0.192256	0.217291	0.116788	0.0646887	-0.0569624	-0.0465936	-0.758723	-13.4276	-12.0545	-13.7327	-12.8175	-0.0252632	-61.4978		
0.0187	0.0669341	-0.141814	-0.112926	0.217291	0.116788	0.0646887	-0.0569624	-0.0465936	-0.764195	-13.2751	-12.2072	-13.8853	-13.2751	-0.0252632	-61.9428		
0.0193	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.97	-12.5123	-13.2753	-13.5805	-0.0249403	-61.9428		
0.02	0.0669341	-0.141814	-0.112926	-0.0879009	-0.188406	-0.240481	-0.0569624	-0.0465936	-0.764195	-12.665	-12.3595	-13.2753	-13.2751	-0.0251018	-61.8023		
0.0207	0.0669341	0.163369	0.192256	0.217291	0.116788	0.0646887	0.248215	0.25859	-0.758723	-12.97	-12.2072	-13.4279	-13.4276	-0.0254246	-62.1067		
0.0213	0.0669341	-0.141814	-0.112926	-0.0879009	0.116788	0.0646887	-0.0569624	-0.0465936	-0.75234	-13.1225	-12.0545	-13.2753	-13.2751	-0.0247789	-61.9428		
0.022	-0.238233	-0.446974	-0.418085	-0.393072	-0.188406	-0.240481	-0.36214	-0.351758	-0.75234	-13.1225	-11.5967	-13.1227	-12.97	-0.0247789	-61.8023		
0.0227	0.0669341	0.163369	-0.112926	-0.0879009	0.116788	-0.240481	-0.0569624	0.25859	-0.75234	-13.1225	-11.4439	-13.4279	-13.1225	-0.0251018	-61.6383		
0.0233	0.0669341	0.163369	0.192256	0.217291	0.116788	0.0646887	-0.0569624	0.25859	-0.758723	-12.512	-11.9017	-13.4279	-13.1225	-0.0251018	-61.4978		
