"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	0.102341	-0.101117	-0.0659201	-0.0541236	-0.135092	-0.150967	-0.0327569	0.0185203	-1.63611	-13.2753	-12.0544	-13.4276	-12.9702	-0.0484012	-3.67142		
0.0007	0.102341	-0.101117	-0.0659201	-0.0541236	-0.135092	-0.150967	-0.0327569	0.0185203	-1.62981	-13.7329	-12.0544	-13.4276	-12.8172	-0.0484012	-89.4111		
0.0013	0.102341	-0.101117	-0.0659201	-0.0541236	0.170091	-0.150967	-0.0327569	0.0185203	-1.63611	-13.5804	-12.0544	-13.7329	-13.2753	-0.0487207	-49.2893		
0.002	0.102341	-0.101117	-0.0659201	-0.0541236	0.170091	-0.150967	-0.0327569	0.0185203	-1.63611	-13.2753	-12.2072	-13.4276	-13.5804	-0.048561	-62.4141		
0.0027	-0.202837	-0.101117	-0.0659201	-0.0541236	0.170091	-0.150967	-0.0327569	0.0185203	-1.62981	-12.9702	-12.3596	-13.2751	-13.2753	-0.0483213	-63.4694		
0.0033	-0.202837	-0.101117	0.239265	-0.0541236	0.170091	-0.150967	-0.0327569	0.0185203	-1.62981	-12.9702	-12.0544	-13.2751	-13.1227	-0.0481616	-60.1277		
0.004	0.102341	-0.101117	0.239265	-0.0541236	0.170091	0.154219	-0.0327569	0.0185203	-1.62981	-13.1227	-12.0544	-13.4276	-13.2753	-0.0483213	-61.4908		
0.0047	0.102341	-0.101117	-0.0659201	-0.0541236	-0.135092	-0.150967	-0.0327569	0.0185203	-1.62981	-13.4278	-12.5124	-13.7329	-13.2753	-0.0483213	-61.183		
0.0053	-0.202837	-0.101117	-0.0659201	-0.0541236	-0.135092	-0.150967	-0.0327569	-0.286652	-1.62981	-13.4278	-12.5124	-13.5805	-13.2753	-0.0481616	-61.183		
0.006	0.102341	-0.101117	-0.0659201	-0.0541236	-0.135092	-0.150967	-0.0327569	0.0185203	-1.62404	-12.9702	-12.2072	-13.5805	-13.4278	-0.0484012	-61.4908		
0.0067	0.407504	0.204058	0.239265	0.556242	0.170091	0.154219	0.272418	0.0185203	-1.62981	-12.6646	-12.2072	-13.4276	-13.2753	-0.048561	-61.6446		
0.0073	0.102341	0.204058	0.239265	0.251049	0.170091	0.154219	-0.0327569	0.0185203	-1.62981	-12.9702	-12.3596	-13.1227	-12.9702	-0.0478421	-61.3369		
0.008	-0.202837	-0.101117	-0.0659201	-0.0541236	0.170091	0.154219	-0.0327569	0.0185203	-1.62404	-13.1227	-12.3596	-13.1227	-13.1227	-0.0478421	-61.3369		
0.0087	-0.202837	-0.101117	-0.371085	-0.0541236	-0.135092	0.154219	-0.0327569	0.0185203	-1.62981	-13.1227	-12.0544	-13.4276	-13.2753	-0.0480019	-61.4908		
0.0093	-0.202837	-0.101117	-0.371085	-0.0541236	-0.135092	-0.150967	-0.337932	-0.286652	-1.62981	-12.8172	-11.7492	-13.5805	-12.9702	-0.0478421	-61.4908		
