"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	0.021164	0.0909467	0.129593	-0.139759	0.0321376	-0.0524941	0.199984	0.174551	-1.54637	-13.1225	-12.0545	-13.5805	-13.1225	-0.0181457	-70.951		
0.0007	0.021164	-0.214231	0.129593	-0.139759	0.0321376	-0.0524941	0.199984	0.174551	-1.54637	-13.1225	-12.2072	-13.4279	-13.1225	-0.0184613	-66.3728		
0.0013	-0.284014	-0.214231	-0.175573	-0.139759	0.0321376	-0.0524941	-0.105189	-0.435802	-1.54043	-13.2751	-12.2072	-13.5805	-13.1225	-0.0186191	-61.0354		
0.002	-0.284014	-0.214231	-0.175573	-0.139759	-0.273022	-0.357668	-0.410362	-0.130614	-1.54637	-13.2751	-12.3595	-13.8853	-13.2751	-0.0189347	-66.5388		
0.0027	0.021164	-0.214231	0.129593	-0.139759	0.0321376	-0.0524941	-0.105189	-0.130614	-1.55269	-13.1225	-12.6646	-13.5805	-13.4276	-0.0187769	-64.2379		
0.0033	0.326342	0.0909467	0.129593	0.165399	0.0321376	0.25268	-0.105189	-0.130614	-1.54637	-13.1225	-12.3595	-13.4279	-13.1225	-0.017988	-63.9295		
0.004	0.021164	0.0909467	0.129593	0.165399	0.0321376	-0.0524941	0.199984	0.174551	-1.54637	-13.1225	-11.9017	-13.7327	-13.1225	-0.0173568	-64.2379		
0.0047	0.021164	-0.214231	0.129593	-0.139759	0.0321376	-0.0524941	0.199984	0.174551	-1.55269	-13.1225	-12.0545	-13.4279	-13.2751	-0.0176724	-64.0955		
0.0053	-0.284014	-0.214231	-0.175573	-0.139759	-0.273022	-0.357668	-0.410362	-0.130614	-1.55269	-13.1225	-12.2072	-13.4279	-13.1225	-0.0184613	-64.6886		
0.006	0.021164	0.0909467	-0.175573	-0.139759	0.0321376	-0.357668	-0.105189	-0.130614	-1.54637	-12.97	-11.9017	-13.1227	-12.97	-0.0181457	-64.5462		
0.0067	0.326342	0.396124	0.129593	0.165399	0.0321376	-0.0524941	0.199984	0.174551	-1.54637	-12.97	-12.0545	-13.1227	-12.8175	-0.0169623	-63.7871		
